大項目,Major item,項番 Item number,項目,Item,平成23年度 FY 2011,平成24年度 FY 2012,平成25年度 FY 2013,平成26年度 FY 2014,平成27年度 FY 2015,平成28年度 FY 2016,平成29年度 FY 2017,平成30年度 FY 2018,令和元年度 FY 2019
名目,At current prices,1,都内総生産 (生産側及び支出側),Gross prefectural domestic product (production and expenditure approach),101954.8,103077.1,106332.4,106672.7,110233.9,111459.1,113660.9,115382.2,115682.4
名目,At current prices,2,都内総生産 (生産側及び支出側) (増加率),Gross prefectural domestic product (production and expenditure approach) (Percent changes from previous fiscal year),-,1.1,3.2,0.3,3.3,1.1,2,1.5,0.3
名目,At current prices,3,国内総生産 (生産側及び支出側),Gross domestic product (production and expenditure approach),500040.5,499423.9,512685.6,523418.3,540739.4,544827.2,555687.4,556827.9,559698.8
名目,At current prices,4,国内総生産 (生産側及び支出側) (増加率),Gross domestic product (production and expenditure approach) (Percent changes from previous fiscal year),-,-0.1,2.7,2.1,3.3,0.8,2,0.2,0.5
名目,At current prices,5,国に対する都の構成比,Tokyo's percentage,20.4,20.6,20.7,20.4,20.4,20.5,20.5,20.7,20.7
実質 (連鎖方式),Real (Chain-linked),6,都内総生産 (生産側及び支出側),Gross prefectural domestic product (production and expenditure approach),102322,104484.6,108366,106642.7,110361.3,111096.2,113441.5,114483.1,113860.3
実質 (連鎖方式),Real (Chain-linked),7,都内総生産 (生産側及び支出側) (増加率),Gross prefectural domestic product (production and expenditure approach) (Percent changes from previous fiscal year),-,2.1,3.7,-1.6,3.5,0.7,2.1,0.9,-0.5
実質 (連鎖方式),Real (Chain-linked),8,国内総生産 (支出側),Gross domestic product (expenditure approach),514679.9,517922.8,532080.4,530191.6,539409.3,543462.5,553144.3,554787.8,552930.5
実質 (連鎖方式),Real (Chain-linked),9,国内総生産 (支出側) (増加率),Gross domestic product (expenditure approach) (Percent changes from previous fiscal year),-,0.6,2.7,-0.4,1.7,0.8,1.8,0.3,-0.3
実質 (連鎖方式),Real (Chain-linked),10,国に対する都の構成比,Tokyo's percentage,19.9,20.2,20.4,20.1,20.5,20.4,20.5,20.6,20.6
名目,At current prices,11,都民所得 ,Gross prefectural income,92605.2,94197.4,99370.2,101038.8,105361,105061.6,107123.1,108990.5,108476.9
名目,At current prices,12,都民総所得 (増加率),Gross prefectural income (Percent changes from previous fiscal year),-,1.7,5.5,1.7,4.3,-0.3,2,1.7,-0.5
名目,At current prices,13,国民総所得,Gross national income,514188.6,513713.1,530809.5,543351.7,561900.4,563981.3,576007.8,578402.1,581498.8
名目,At current prices,14,国民総所得 (増加率),Gross national income (Percent changes from previous fiscal year),-,-0.1,3.3,2.4,3.4,0.4,2.1,0.4,0.5
名目,At current prices,15,国に対する都の構成比,Tokyo's percentage,18,18.3,18.7,18.6,18.8,18.6,18.6,18.8,18.7
名目,At current prices,16,都民所得 ,Prefectural income,68900.1,70572.4,75183,75852,79166.2,78581,80094.9,81596.5,80635.6
名目,At current prices,17,都民所得 (増加率),Prefectural income (Percent changes from previous fiscal year),-,2.4,6.5,0.9,4.4,-0.7,1.9,1.9,-1.2
名目,At current prices,18,国民所得,National income,357473.5,358156.2,372570,376677.6,392629.3,392293.9,400688.1,402229,401287
名目,At current prices,19,国民所得 (増加率),National income (Percent changes from previous fiscal year),-,0.2,4,1.1,4.2,-0.1,2.1,0.4,-0.2
名目,At current prices,20,国に対する都の構成比,Tokyo's percentage,19.3,19.7,20.2,20.1,20.2,20,20,20.3,20.1
,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS,,,,,,,,,,,,,
16-4 都内総生産と国内総生産等の時系列比較 (平成23～令和元年度） 16-4 TIME-SERIES COMPARISON OF GROSS PREFECTURAL DOMESTIC PRODUCT，GROSS DOMESTIC PRODUCT， ETC.( Fiscal Years 2011-2019 ),,,,,,,,,,,,,
資料：都総務局統計部調整課 「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,
（単位  金額 10 億円，%）(Value in billions of yen， %),,,,,,,,,,,,,
