年次,Year,月次,Month,月間有効求職者数 Monthly active applications (A)／総数Total,月間有効求職者数 Monthly active applications (A)／男 Male,月間有効求職者数 Monthly active applications (A)／女 Female,新規求職申込件数 New applications (B)／総数Total,新規求職申込件数 New applications (B)／男Male,新規求職申込件数 New applications (B)／女 Female,月間有効求人数 Monthly active job openings (C),新規求人数 New job openings (D),就職件数 Persons who found employment (E)／総数Total,就職件数 Persons who found employment (E)／男 Male,就職件数 Persons who found employment (E)／女Female,充足数 Sufficiency (F),充足数 Sufficiency (F)／うち他県から of which from other prefectures,有効求人倍率 Active job openings-to-applicants ratio (C／A),就職率 Ratio of persons who found employment  (E／B) (%),充足率 Sufficiency ratio (F／D) (%)
平成23,2011,,,2429950,1425638,992030,538457,312953,222484,1727748,644116,88132,56333,31346,121500,47602,0.71,16.4,18.9
平成24,2012,,,2176570,1270752,900165,472581,272902,198403,2012599,734927,89221,56145,32705,124572,51337,0.92,18.9,17
平成25,2013,,,2010075,1151248,855000,430618,242591,187136,2262221,811420,90576,56170,34296,123413,49008,1.13,21,15.2
平成26,2014,,,1836846,1034045,799676,398026,220619,176742,2426613,854055,89639,54557,34988,120996,47277,1.32,22.5,14.2
平成27,2015,,,1723155,963437,756669,375066,205918,168465,2529484,884579,87251,52567,34580,117482,45137,1.47,23.3,13.3
平成27,2015,1,Jan.,135921,76645,59067,33521,18373,15104,203982,81450,6787,4172,2613,8783,3247,1.5,20.2,10.8
平成27,2015,2,Feb.,140870,79100,61550,32938,17984,14903,209110,68840,7216,4308,2898,9727,3741,1.48,21.9,14.1
平成27,2015,3,Mar.,148720,83519,64961,35183,19450,15668,215587,74769,7834,4532,3293,11024,4577,1.45,22.3,14.7
平成27,2015,4,Apr.,156126,87312,68541,40449,21794,18574,208351,75275,7945,4750,3185,10881,4272,1.33,19.6,14.5
平成27,2015,5,May,151936,84790,66880,30664,16736,13879,199368,61094,7534,4477,3047,9878,3641,1.31,24.6,16.2
平成27,2015,6,June,148644,82818,65553,32512,17893,14544,205214,76180,7566,4625,2933,10274,3989,1.38,23.3,13.5
平成27,2015,7,July,146866,81655,64916,31352,17178,14089,208907,77978,7583,4582,2991,10033,3691,1.42,24.2,12.9
平成27,2015,8,Aug.,143390,79462,63633,28069,15324,12687,211695,69565,6948,4271,2663,9235,3383,1.48,24.8,13.3
平成27,2015,9,Sept.,140205,77852,62079,28952,15980,12913,211897,74491,7062,4281,2775,9544,3653,1.51,24.4,12.8
平成27,2015,10,Oct.,142677,79572,62846,33136,18420,14657,218144,81823,7517,4564,2941,10151,3926,1.53,22.7,12.4
平成27,2015,11,Nov.,137807,77451,60117,25588,14308,11250,221206,72764,6890,4180,2704,9320,3631,1.61,26.9,12.8
平成27,2015,12,Dec.,129993,73261,56526,22702,12478,10197,216023,70350,6369,3825,2537,8632,3386,1.66,28.1,12.3
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,
7-1  一般職業紹介状況 (平成23～27年) 7-1  EMPLOYMENT REFERRALS FOR GENERAL WORKERS ( 2011-2015 ),,,,,,,,,,,,,,,,,,,
「一般」とは常用労働者，臨時労働者及び季節労働者の計をいう。 ただし 「新規学卒」と「パートタイム」は除く。,,,,,,,,,,,,,,,,,,,
“General workers”  refer to the regular， casual and seasonal workers， excluding new school graduates and part-timers.,,,,,,,,,,,,,,,,,,,
注) 求職申込書における「性別」欄の記載が任意になったことに伴い，男女別の合計は総数と必ずしも一致しない。,,,,,,,,,,,,,,,,,,,
Note: Total figures may not always equal the combined number of men and women because specification of gender on the application has become voluntary.,,,,,,,,,,,,,,,,,,,
資料：東京労働局 Source: Tokyo Labor Bureau,,,,,,,,,,,,,,,,,,,
