年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／調停成立 Successful conciliation,既済 Disposed／調停不成立 Unsuccessful conciliation,既済 Disposed／取下 Withdrawal,既済 Disposed／合意に相当する審判 Adjudication equivalent to agreement,既済 Disposed／調停に代わる審判 Adjudication in lieu of conciliation,既済 Disposed／調停をしないもの Non-conciliation,既済 Disposed／その他 Others,未済 Pending,異議 Objection／合意に相当する審判 Adjudication equivalent to agreement,異議 Objection／調停に代わる審判 Adjudication in lieu of conciliation
平成26,2014,0,,総数,Total,22818,7888,14930,15385,8326,2932,3005,273,457,132,260,7433,-,60
平成27,2015,0,,総数,Total,22913,7433,15480,15025,7807,3016,2726,262,683,129,402,7888,2,103
平成27,2015,1,,別表第二調停事件総数,Total number of domestic relations conciliation cases stipulated in Appended Table 2 of the Domestic Relations Case Procedure Act,12921,4443,8478,8240,4819,1053,1398,-,602,65,303,4681,-,98
平成27,2015,2,1,夫婦の同居・協力扶助,Cohabitation， cooperation， and mutual assistance between husband and wife,18,7,11,9,-,3,4,-,-,2,-,9,-,-
平成27,2015,2,2,婚姻費用の分担,Sharing of living expenses arising from marriage,3586,969,2617,2435,1599,300,350,-,94,11,81,1151,-,39
平成27,2015,2,3,子の監護者の指定その他の処分,Designation of a child custodian and other dispositions,4711,1553,3158,3028,1733,472,486,-,154,21,162,1683,-,36
平成27,2015,3,,うち監護者の指定,(of which) Designation of a child custodian,426,125,301,284,118,68,62,-,2,-,34,142,-,-
平成27,2015,3,,うち養育費請求,(of which) Claim for child support payments,1851,556,1295,1358,869,173,161,-,98,14,43,493,-,24
平成27,2015,3,,うち面会交流,(of which) Visitation and contacts,2160,786,1374,1196,688,187,215,-,52,7,47,964,-,12
平成27,2015,3,,うち子の引渡し,(of which) Surrender of child custody ,274,86,188,190,58,44,48,-,2,-,38,84,-,-
平成27,2015,2,4,財産の分与に関する処分,Disposition regarding the distribution of property,328,144,184,195,116,34,37,-,4,-,4,133,-,1
平成27,2015,2,5,祭祀の承継者の指定,Appointment of a successor of rights relating to rituals,57,19,38,38,8,8,11,-,10,-,1,19,-,1
平成27,2015,2,6,離縁後の親権者の指定,Designation of person who is to have parental authority upon dissolution of adoptive relationship,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成27,2015,2,7,親権者の指定又は変更,Designation or change of person having parental authority,597,142,455,482,268,48,98,-,42,14,12,115,-,4
平成27,2015,2,8,扶養に関する処分,Disposition on support,105,29,76,68,26,16,21,-,2,1,2,37,-,1
平成27,2015,2,9,遺産の分割に関する処分など,Disposition on division of estate， etc. ,3212,1474,1738,1777,937,144,366,-,276,16,38,1435,-,15
平成27,2015,2,10,寄与分を定める処分,Disposition to determine an heir's contributory portion,158,54,104,97,51,22,16,-,7,-,1,61,-,-
平成27,2015,2,11,請求すべき按分割合に関する処分,Disposition regarding the pro rata share to be requested,149,52,97,111,81,6,9,-,13,-,2,38,-,1
平成27,2015,2,12,生活保護法77条2項の事件,Cases under Article 77， Paragraph 2 of the Public Assistance Act,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成27,2015,2,13,推定相続人の廃除及びその取消し（家事審判法第9条乙類）,Disinheritance of a presumptive heir ／ rescission of such disinheritance (Article 9， Clause 2 of the Domestic Relations Trial Act),-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成27,2015,1,,別表第二以外の調停事件総数,Total number of cases of conciliation of domestic relations other than those stipulated in Appended Table 2 of the Domestic Relations Case Procedure Act,9992,2990,7002,6785,2988,1963,1328,262,81,64,99,3207,2,5
平成27,2015,2,1,婚姻中の夫婦間の事件,Cases between married couple,7755,2342,5413,5214,2597,1503,921,-,70,44,79,2541,-,4
平成27,2015,2,2,婚姻外の男女間の事件,Cases between men and women outside of marriage,45,5,40,31,10,6,10,-,1,2,2,14,-,1
平成27,2015,2,3,離婚その他男女関係解消に基づく慰謝料,Compensation for divorce or breakup of a male-female relationship,85,35,50,62,23,19,19,-,-,1,-,23,-,-
平成27,2015,2,4,親族間の紛争,Dispute among relatives,347,80,267,267,66,86,111,-,-,4,-,80,-,-
平成27,2015,2,5,合意に相当する審判事項,Ruling equivalent to agreement,665,172,493,481,1,106,100,262,-,6,6,184,2,-
平成27,2015,3,,うち協議離婚無効・取消し,(of which) Invalidation／annulment of divorce by agreement,77,11,66,63,-,21,11,30,-,-,1,14,-,-
平成27,2015,3,,うち認知,(of which) Acknowledgement of paternity,219,70,149,149,-,39,43,63,-,4,-,70,1,-
平成27,2015,3,,うち嫡出否認,(of which) Rebuttal of presumption of a child in wedlock,102,26,76,64,-,4,3,56,-,1,-,38,1,-
平成27,2015,3,,うち親子関係不存在確認,(of which) Clarification of non-existence of a parent-child relationship,162,41,121,116,-,11,20,84,-,1,-,46,-,-
平成27,2015,2,6,離縁,Dissolution of an adoptive relationship,130,32,98,107,36,41,27,-,2,-,1,23,-,-
平成27,2015,2,7,その他,Others,965,324,641,623,255,202,140,-,8,7,11,342,-,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,
20-6 家事調停事件の種類別件数 （平成26， 27年） 20-6  CASES OF CONCILIATION OF DOMESTIC RELATIONS BY KIND ( 2014 and 2015 ),,,,,,,,,,,,,,,,,,,
資料：東京家庭裁判所事務局総務課 Source: Tokyo Family Court,,,,,,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,,,,,,,,,,
