年度末,End of fiscal year,地域階層,地区コード,地域,District,総人口 (A) Total population 1),排水区域 Areas served by sewerage system／人口 (B) Population,排水区域 Areas served by sewerage system／計画面積 Planned area (ha),排水区域 Areas served by sewerage system／面積 Area　(ha),処理区域 Areas served by sewerage system and sewage treatment system／人口 Population,処理区域 Areas served by sewerage system and sewage treatment system／計画面積 Planned area (ha),処理区域Areas served by sewerage system and sewage treatment system／面積 Area (ha),終末処理場数 Number of sewage treatment plants 2),終末処理場数 Number of sewage treatment plants,普及率 (B／A) Sewerage system coverage (%),,,
平成25,2013,0,13000,総数,Tokyo-to,13205581,13157384,109390,105567,13155918,109386,105352,7,27,100,,,
平成26,2014,0,13000,総数,Tokyo-to,13313060,13267849,109406,105660,13266942,109406,105455,7,27,100,,,
平成27,2015,0,13000,総数,Tokyo-to,13435570,13393002,109749.93,105770.29,13392253,109749.93,105563.29,7,27,100,,,
平成27,2015,1,13100,区部,All ku,9245184,9235892,56375,56227,9235892,56375,56227,-,13,99.89917478,,,
平成27,2015,2,13101,千代田区,Chiyoda-ku,59042,59042,1102,1102,59042,1102,1102,-,-,100,,,
平成27,2015,2,13102,中央区,Chuo-ku,145004,145004,903,903,145004,903,903,-,-,100,,,
平成27,2015,2,13103,港区,Minato-ku,246664,246484,1986,1970,246484,1986,1970,-,1,99.92692412,,,
平成27,2015,2,13104,新宿区,Shinjuku-ku,335510,335510,1798,1798,335510,1798,1798,-,1,100,,,
平成27,2015,2,13105,文京区,Bunkyo-ku,211451,211451,1138,1138,211451,1138,1138,-,-,100,,,
平成27,2015,2,13106,台東区,Taito-ku,192510,192510,856,856,192510,856,856,-,-,100,,,
平成27,2015,2,13107,墨田区,Sumida-ku,263456,263456,1195,1195,263456,1195,1195,-,-,100,,,
平成27,2015,2,13108,江東区,Koto-ku,502779,501205,3432,3396,501205,3432,3396,-,2,99.68695596,,,
平成27,2015,2,13109,品川区,Shinagawa-ku,380293,379932,2051,2045,379932,2051,2045,-,-,99.90527972,,,
平成27,2015,2,13110,目黒区,Meguro-ku,272478,272478,1440,1440,272478,1440,1440,-,-,100,,,
平成27,2015,2,13111,大田区,Ota-ku,715156,714835,4804,4798,714835,4804,4798,-,1,99.95506454,,,
平成27,2015,2,13112,世田谷区,Setagaya-ku,887994,887503,5726,5708,887503,5726,5708,-,-,99.94463639,,,
平成27,2015,2,13113,渋谷区,Shibuya-ku,221311,221311,1511,1511,221311,1511,1511,-,-,100,,,
平成27,2015,2,13114,中野区,Nakano-ku,323688,323688,1566,1566,323688,1566,1566,-,1,100,,,
平成27,2015,2,13115,杉並区,Suginami-ku,555897,555572,3338,3332,555572,3338,3332,-,-,99.94145433,,,
平成27,2015,2,13116,豊島区,Toshima-ku,281540,281540,1299,1299,281540,1299,1299,-,-,100,,,
平成27,2015,2,13117,北区,Kita-ku,342732,342732,1836,1836,342732,1836,1836,-,1,100,,,
平成27,2015,2,13118,荒川区,Arakawa-ku,211808,211808,887,887,211808,887,887,-,1,100,,,
平成27,2015,2,13119,板橋区,Itabashi-ku,553257,553186,2997,2994,553186,2997,2994,-,1,99.9871892,,,
平成27,2015,2,13120,練馬区,Nerima-ku,720915,720679,4684,4677,720679,4684,4677,-,-,99.96719604,,,
平成27,2015,2,13121,足立区,Adachi-ku,680109,676708,4787,4778,676708,4787,4778,-,2,99.50003996,,,
平成27,2015,2,13122,葛飾区,Katsushika-ku,453734,452529,2996,2961,452529,2996,2961,-,1,99.73449443,,,
平成27,2015,2,13123,江戸川区,Edogawa-ku,687856,686729,4043,4037,686729,4043,4037,-,1,99.8360586,,,
平成27,2015,1,13200,市部,All shi,4129057,4098566,51357.93,47867.17,4098484,51357.93,47717.17,7,12,99.2,,,
平成27,2015,2,13201,八王子市,Hachioji-shi,562019,558334,8739,8415,558257,8739,8413,1,2,99.3,,,
平成27,2015,2,13202,立川市,Tachikawa-shi,180277,180277,2278,2172,180277,2278,2172,-,1,100,,,
平成27,2015,2,13203,武蔵野市,Musashino-shi,143630,143630,1073,1073,143630,1073,1073,-,-,100,,,
平成27,2015,2,13204,三鷹市,Mitaka-shi,183951,183951,1650,1644,183951,1650,1644,-,1,100,,,
平成27,2015,2,13205,青梅市,Ome-shi,136545,132256,2379,2134,132256,2379,2134,-,-,96.9,,,
平成27,2015,2,13206,府中市,Fuchu-shi,257318,257318,2725,2725,257318,2725,2725,1,1,100,,,
平成27,2015,2,13207,昭島市,Akishima-shi,112906,112827,1504,1378,112827,1504,1378,1,1,99.9,,,
平成27,2015,2,13208,調布市,Chofu-shi,227208,227208,2037,1955,227208,2037,1955,-,-,100,,,
平成27,2015,2,13209,町田市,Machida-shi,427180,420634,5421.93,4919.21,420634,5421.93,4919.21,-,2,98,,,
平成27,2015,2,13210,小金井市,Koganei-shi,118346,118346,1133,1133,118346,1133,1133,-,-,100,,,
平成27,2015,2,13211,小平市,Kodaira-shi,188576,188576,2046,2046,188576,2046,2046,-,-,100,,,
平成27,2015,2,13212,日野市,Hino-shi,182953,173452,2397,2233,173452,2397,2233,1,1,94.8,,,
平成27,2015,2,13213,東村山市,Higashimurayama-shi,150790,150790,1696,1696,150790,1696,1696,-,-,100,,,
平成27,2015,2,13214,国分寺市,Kokubunji-shi,120333,120316,1148,1140.96,120316,1148,1140.96,-,-,100,,,
平成27,2015,2,13215,国立市,Kunitachi-shi,75054,75054,792,792,75054,792,792,1,1,100,,,
平成27,2015,2,13218,福生市,Fussa-shi,58798,58798,1000,653,58798,1000,653,-,-,100,,,
平成27,2015,2,13219,狛江市,Komae-shi,80422,80422,582,582,80422,582,582,-,-,100,,,
平成27,2015,2,13220,東大和市,Higashiyamato-shi,86044,85993,1009,983,85993,1009,983,-,-,99.9,,,
平成27,2015,2,13221,清瀬市,Kiyose-shi,74485,74471,1019,871,74471,1019,871,1,1,100,,,
平成27,2015,2,13222,東久留米市,Higashikurume-shi,117053,117053,1292,1292,117053,1292,1292,-,-,100,,,
平成27,2015,2,13223,武蔵村山市,Musashimurayama-shi,72165,72154,1522,1164,72154,1522,1164,-,-,100,,,
