年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,理容所 Barber,美容所  Beauty salon,クリーニング所 Dry-cleaner,公衆浴場 Public baths／総数 Total,公衆浴場 Public baths／普通 General,公衆浴場 Public baths／その他 Others,温泉利用施設 Hot springs,旅館等  Hotels and inns／総数 Total,旅館等 Hotels and inns／ホテル hotels,旅館等 Hotels and inns／旅館 Japanese-style hotels & inns (ryokan),旅館等 Hotels and inns／簡易宿所 Budget hotel,旅館等  Hotels and inns／下宿 Boarding houses and lodgings,常設興行場 Entertainment places／総数 Total,常設興行場 Entertainment places／映画館 Cinemas,常設興行場 Entertainment places／スポーツ施設 Sports center,常設興行場 Entertainment places／その他 Others,プール Swimming pool
平成23,2011,0,13000,,東京都,Tokyo-to,8880,19311,11370,2308,761,1547,222,2925,683,1259,966,17,834,303,35,496,2861
平成24,2012,0,13000,,東京都,Tokyo-to,8763,19783,10960,2243,740,1503,257,2893,684,1230,962,17,841,296,37,508,2875
平成25,2013,0,13000,,東京都,Tokyo-to,8603,20396,10770,2179,707,1472,248,2851,680,1204,951,16,846,299,36,511,2866
平成26,2014,0,13000,,東京都,Tokyo-to,8488,21028,10536,2110,659,1451,241,2846,675,1194,963,14,839,286,35,518,2859
平成27,2015,0,13000,,東京都,Tokyo-to,8365,21566,10397,2082,618,1464,245,2883,682,1209,978,14,872,306,35,531,2838
平成27,2015,1,13100,,区部,All ku,6070,16570,8112,1686,564,1122,111,1898,550,934,400,14,686,228,21,437,1942
平成27,2015,2,13101,1,千代田区,Chiyoda-ku,160,185,198,35,5,30,-,80,47,24,9,-,60,16,1,43,35
平成27,2015,2,13102,2,中央区,Chuo-ku,160,637,251,51,10,41,1,108,64,34,10,-,38,14,-,24,34
平成27,2015,2,13103,3,港区,Minato-ku,183,1067,449,130,6,124,3,139,71,53,15,-,67,26,1,40,84
平成27,2015,2,13104,4,新宿区,Shinjuku-ku,283,957,492,105,27,78,4,250,36,165,42,7,99,46,2,51,91
平成27,2015,2,13105,5,文京区,Bunkyo-ku,125,280,234,20,7,13,3,41,18,20,2,1,15,-,1,14,82
平成27,2015,2,13106,6,台東区,Taito-ku,181,370,258,236,30,206,3,429,76,182,169,2,25,5,-,20,40
平成27,2015,2,13107,7,墨田区,Sumida-ku,208,421,236,43,22,21,4,58,21,24,13,-,20,6,1,13,47
平成27,2015,2,13108,8,江東区,Koto-ku,250,478,365,69,25,44,4,53,21,21,11,-,53,22,3,28,112
平成27,2015,2,13109,9,品川区,Shinagawa-ku,216,593,386,64,28,36,8,78,45,24,9,-,16,4,1,11,71
平成27,2015,2,13110,10,目黒区,Meguro-ku,148,709,251,38,15,23,1,20,11,7,2,-,15,1,-,14,53
平成27,2015,2,13111,11,大田区,Ota-ku,414,811,499,98,43,55,22,86,7,65,14,-,18,9,2,7,119
平成27,2015,2,13112,12,世田谷区,Setagaya-ku,388,1449,641,87,31,56,6,19,3,13,1,2,47,13,4,30,156
平成27,2015,2,13113,13,渋谷区,Shibuya-ku,174,2056,277,112,12,100,1,111,56,47,7,1,76,26,3,47,58
平成27,2015,2,13114,14,中野区,Nakano-ku,213,506,313,38,21,17,4,9,3,3,3,-,12,1,-,11,56
平成27,2015,2,13115,15,杉並区,Suginami-ku,298,754,373,44,23,21,26,17,5,9,3,-,15,2,-,13,92
平成27,2015,2,13116,16,豊島区,Toshima-ku,224,738,261,79,25,54,1,183,21,141,21,-,43,19,-,24,55
平成27,2015,2,13117,17,北区,Kita-ku,249,459,283,59,31,28,-,30,12,9,9,-,14,-,1,13,77
平成27,2015,2,13118,18,荒川区,Arakawa-ku,151,279,162,37,28,9,2,58,8,10,40,-,7,-,-,7,45
平成27,2015,2,13119,19,板橋区,Itabashi-ku,342,634,418,73,34,39,4,16,1,11,3,1,6,2,-,4,111
