年度末,End of fiscal year,地域階層,地区コード,地域,District,終末処理場数 Sewerage treatment plants,ポンプ所数 Pumping stations,事務所数 Sewerage offices,下水道暗きょ Sewer pipes／総数 Total (m),下水道暗きょ Sewer pipes／幹線 Trunk sewers (m),下水道暗きょ Sewer pipes／枝線 Branch sewers (m),マンホール数 (個) Manholes,汚水枡数 (個) Sewage basins
平成25,2013,0,13000,総数,Tokyo-to,20,87,8,16207668,1325593,14882075,484078,1911914
平成26,2014,0,13000,総数,Tokyo-to,20,86,8,16234410,1326600,14907810,484660,1919017
平成27,2015,0,13000,総数,Tokyo-to,20,86,8,16262099,1330657,14931441,485288,1925686
平成27,2015,1,13100,区部,All ku,13,84,7,16029909,1098467,14931441,484058,1925686
平成27,2015,2,13101,千代田区,Chiyoda-ku,-,2,1,291080,36893,254187,6683,26296
平成27,2015,2,13102,中央区,Chuo-ku,-,7,-,320456,26960,293496,7002,28049
平成27,2015,2,13103,港　区,Minato-ku,1,4,-,466433,56733,409700,11457,41114
平成27,2015,2,13104,新宿区,Shinjuku-ku,1,-,-,485629,33819,451811,14261,62206
平成27,2015,2,13105,文京区,Bunkyo-ku,-,2,-,319866,47950,271916,8808,38359
平成27,2015,2,13106,台東区,Taito-ku,-,2,1,373184,44918,328267,8725,44317
平成27,2015,2,13107,墨田区,Sumida-ku,-,5,-,369677,26915,342762,10322,49984
平成27,2015,2,13108,江東区,Koto-ku,2,20,1,737360,43977,693383,16950,54092
平成27,2015,2,13109,品川区,Shinagawa-ku,-,7,-,447466,34455,413011,13208,68553
平成27,2015,2,13110,目黒区,Meguro-ku,-,-,-,352863,22763,330099,12006,59849
平成27,2015,2,13111,大田区,Ota-ku,1,10,1,1205735,83002,1122733,35811,157892
平成27,2015,2,13112,世田谷区,Setagaya-ku,-,-,-,1592790,105462,1487328,52182,198265
平成27,2015,2,13113,渋谷区,Shibuya-ku,-,-,-,312652,15749,296904,10362,52339
平成27,2015,2,13114,中野区,Nakano-ku,1,-,1,438886,30115,408771,14127,75283
平成27,2015,2,13115,杉並区,Suginami-ku,-,-,-,815684,41911,773773,24439,115844
平成27,2015,2,13116,豊島区,Toshima-ku,-,-,-,397074,27997,369077,13957,68866
平成27,2015,2,13117,北　区,Kita-ku,1,2,1,469802,27311,442492,13938,67903
平成27,2015,2,13118,荒川区,Arakawa-ku,1,3,-,314049,34739,279309,8425,45269
平成27,2015,2,13119,板橋区,Itabashi-ku,1,1,-,799328,63854,735474,26151,107131
平成27,2015,2,13120,練馬区,Nerima-ku,-,-,-,1279509,64182,1215327,42885,158516
平成27,2015,2,13121,足立区,Adachi-ku,2,6,-,2099156,109340,1989816,64214,155059
平成27,2015,2,13122,葛飾区,Katsushika-ku,1,7,1,1018834,53348,965485,33564,116208
平成27,2015,2,13123,江戸川区,Edogawa-ku,1,6,-,1122395,66074,1056321,34581,134292
平成27,2015,2,,流域下水道,Drainage basin sewer system,7,2,1,232190,232190,-,1230,-
,,,,,,,,,,,,,
6-9  地域別下水道施設及び付属設備 （平成25～27年度末） ,,,,,,,,,,,,,
6-9  SEWERAGE FACILITIES AND EQUIPMENT BY DISTRICT ,,,,,,,,,,,,,
( End of Fiscal Years 2013～2015 ) ,,,,,,,,,,,,,
この表は都下水道局の事業実績である。              　　Data here are business figures of the Bureau of Sewerage，TMG.,,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課      Source: Bureau of Sewerage， TMG,,,,,,,,,,,,,
