年次,Year,月次 ,Month,調査産業計 Industries covered,鉱業，採石業，砂利採取業 Mining and quarruing of stone and gravel,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
平成23,2011,平均,Average,99.6,100.8,101.2,98.8,101.4,100.3,101.8,98.6,98.9,99,98.2,103.7,100.8,97.3,97,95.9,100.6
平成24,2012,平均,Average,100.9,87.7,104.3,100.8,100.9,102.6,99.4,99.7,99.5,98.4,102.4,104.1,101.2,98.6,98.9,92.5,102.7
平成25,2013,平均,Average,98.8,52.2,100,99.5,97.3,101,95.6,98.9,98.5,96.8,101.3,96.4,98.5,93,96.4,97,101.9
平成26,2014,平均,Average,97.9,18.4,97.3,98.9,98.4,100.3,93.1,98.5,98.2,98.9,99.2,89.9,99,90.3,96.8,98.2,102.6
平成27,2015,平均,Average,98.1,-,102.6,98.7,99.5,99.3,97.4,98.7,97.9,99.2,95,88.5,95.2,91.5,97.9,101.4,102.3
平成27,2015,1,Jan.,92.4,-,89.9,92,94.1,93.7,92.3,94.4,93.7,94,86.8,86.8,91.2,86.5,91.6,93.7,97.1
平成27,2015,2,Feb.,95.7,-,101.9,98.6,93.5,95.9,95.8,95.7,92.1,96.3,94.5,83.5,93.1,90.4,95.9,94.5,99.5
平成27,2015,3,Mar.,99.9,-,106.9,100.9,109,104,95.1,98,103.4,100.8,98.3,86.6,95.5,95.8,97.8,111.3,104.3
平成27,2015,4,Apr.,103.2,-,110.1,104.5,107.1,105.5,102.6,102.8,104.7,107.3,100.4,89.2,98.9,99.1,100.8,108.7,105.7
平成27,2015,5,May,93.8,-,97,94.3,87.1,93.5,94.4,93.5,91.2,94.4,89.7,88.9,94.8,88.3,97.7,89.6,98.5
平成27,2015,6,June,102.5,-,107.4,102.6,107.7,103.7,99.1,102.6,103.4,102.4,100.2,89.4,98.4,99.9,105.4,107.6,106.4
平成27,2015,7,July,105.7,-,110.9,106,106.3,106.6,102.6,112,105.2,104.8,101.6,89.8,100.5,100.1,103.7,109,108.6
平成27,2015,8,Aug.,96.3,-,96.5,96.2,101.9,99.4,98.4,97.6,96.9,98.7,93,89.8,95.6,73.7,95.9,95,102.4
平成27,2015,9,Sept.,95.4,-,102.5,95.3,92.6,94.4,96.4,95.3,92.4,95.3,93.2,89.4,93,90.4,96.1,95.1,100.9
平成27,2015,10,Oct.,97.9,-,101.3,97.4,103.6,99.3,97.5,98.2,99.9,99.6,92.6,87.5,94.8,94.9,97,104.1,102.4
平成27,2015,11,Nov.,97.9,-,103.5,100.6,96.5,99.1,97.4,97.8,94.6,99.5,96.7,90.7,93.5,92.7,96.8,97.1,101.3
平成27,2015,12,Dec.,96.3,-,102.7,96.5,94.7,96.5,97.7,96.8,97.5,97.4,92.7,90.7,93.6,86.2,96,110.5,100.1
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,
7-11  産業別常用労働者労働時間指数 (総実労働時間) (平成23～27年) 7-11  HOURS WORKED INDICES OF REGULAR WORKERS BY INDUSTRY ( TOTAL HOURS WORKED ) ( 2011-2015 ),,,,,,,,,,,,,,,,,,,,
「毎月勤労統計地方調査」 による。 本表は，常用労働者30人以上の事業所約1700カ所を対象とした第1種事業所調査の結果である。,,,,,,,,,,,,,,,,,,,,
Data are based on the Monthly Labor Prefectural Survey . In this table，figures are as of 1700 establishments with 30 or more regular workers. ,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
（平成22年平均＝100）  (2010 average＝100),,,,,,,,,,,,,,,,,,,,
