男女 ,Gender,就業状態,Labour force status,項番 Item number,就業状態，就業希望意識，就業希望の有無，求職活動の有無,Labour force status， wish for work，  whether wishing to work ， whether seeking a job,項番 Item number,就業状態，就業希望の有無,Labour force status， whether wishing to work,項番 Item number,休職活動の有無,Whether seeking a job,総数 Total,総数 Total／平均年齢 Average age,15～19歳 15-19 years old,20～24歳 20-24 years old,25～29歳 25-29 years old,30～34歳 30-34 years old,35～39歳 35-39 years old,40～44歳 40-44 years old,45～49歳 45-49 years old,50～54歳 50-54 years old,55～59歳 55-59 years old,60～64歳 60-64 years old,65～69歳 65-69 years old,70～74歳 70-74 years old,75～79歳 75-79 years old,80～84歳 80-84 years old,85歳以上 85 years old and over
総数,Total,,,,,,,,,,,,11726600,48.5,526800,779500,940700,1011200,1132300,1140900,970800,795100,716200,901500,767500,697200,587700,405700,353600
総数,Total,有業者 ,Engaged in work,,,,,,,,,,7328400,43.9,93700,485900,801600,848900,903400,916100,810300,656200,545300,569100,322400,202100,103000,44600,25600
総数,Total,有業者 ,Engaged in work,1,仕事が主な者 ,Mainly engaged in work,,,,,,,6110500,43.6,23900,339000,744600,778500,799400,785900,683100,538500,454600,454600,244800,147300,71700,29800,14800
総数,Total,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,,,,,,,1170200,45.7,69400,145100,49200,65000,101500,124200,121400,114900,85600,109000,76000,53600,30900,14000,10400
総数,Total,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,3,家事が主な者 ,Mainly keeping house,,,,885800,51.4,400,7100,26700,58100,98800,119500,115700,111800,83100,101900,67700,45300,28100,12200,9500
総数,Total,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,4,通学が主な者 ,Mainly attending school,,,,215300,21.2,66500,127100,14200,4600,1200,800,300,-,-,-,300,300,-,-,-
総数,Total,有業者 ,Engaged in work,2,仕事は従な者 ,Engaged in work on the side,5,家事・通学以外が主な者 ,Mainly doing something else,,,,69000,48.7,2500,10900,8300,2200,1600,3900,5300,3100,2600,7100,8000,8000,2800,1900,900
総数,Total,有業者 ,Engaged in work,,（就業希望意識）,（Wish for work）,6,継続就業希望者 ,Wishing to continue the present job,,,,5587500,45,55800,290900,540600,596400,698000,716100,649300,551800,457400,477700,256900,164900,77600,34400,19800
総数,Total,有業者 ,Engaged in work,,（就業希望意識）,（Wish for work）,7,追加就業希望者 ,Wishing to have an additional job,,,,510000,38.2,19100,60100,67900,77100,70200,67700,50200,31000,26600,22500,13000,4300,300,-,-
総数,Total,有業者 ,Engaged in work,,（就業希望意識）,（Wish for work）,8,転職希望者 ,Wishing to switch to another job,,,,876800,36.9,15000,110300,165900,147600,108800,105800,90500,55700,39800,19900,10600,3100,2800,1000,-
総数,Total,有業者 ,Engaged in work,,（就業希望意識）,（Wish for work）,9,就業休止希望者 ,Wishing to stop working,,,,258000,54.3,1300,15600,16200,18400,17700,16100,14400,10100,16300,40800,35100,25600,20900,6800,2700
総数,Total,無業者 ,Not engaged in work,,,,,,,,,,4398300,56.2,433100,293600,139100,162300,229000,224800,160500,138800,170800,332400,445000,495000,484700,361000,328000
総数,Total,無業者 ,Not engaged in work,10,家事をしている者 ,Keeping house　　,,,,,,,2122100,60.2,2000,15700,57000,112200,181300,161800,114500,107600,122700,210100,255000,273000,257400,169300,82600
総数,Total,無業者 ,Not engaged in work,11,通学している者 ,Attending school　,,,,,,,713400,19.6,419900,241300,31000,8000,5200,3100,2300,300,300,500,700,300,400,-,-
総数,Total,無業者 ,Not engaged in work,12,その他 ,Other,,,,,,,1515600,67.7,9600,36500,49900,39200,40100,57900,40400,30600,45900,118200,183100,217500,217500,186200,242900
総数,Total,無業者 ,Not engaged in work,,(就業希望の有無・求職活動の有無),（Whether wishing to work ， whether seeking a job）,13,就業希望者 ,Wishing to work,,,,1272900,44.8,100700,113600,95200,106300,142000,150800,85900,62700,74600,92300,93700,79000,50800,20300,5000
総数,Total,無業者 ,Not engaged in work,,(就業希望の有無・求職活動の有無),（Whether wishing to work ， whether seeking a job）,13,就業希望者 ,Wishing to work,14,求職者 ,Seeking a job,520100,41.5,43600,64600,48300,39300,52700,66600,42400,30200,34200,37100,33700,18200,7700,900,300
