年度平均,Fiscal year average,地域階層,地域コード,地域,District,被保護世帯数 Households assisted 1),生活扶助 Livelihood assistance,住宅扶助 Housing assistance,教育扶助 Education assistance,介護扶助 LTC assistance,医療扶助 Medical assistance,出産扶助 Maternity assistance,生業扶助 Occupational assistance,葬祭扶助 Funeral assistance,被保護人員数 Persons assisted(人 persons)
平成22,2010,0,13000,東京都,Tokyo-to,195110,172500,169481,11206,27361,166493,7,5216,526,256841
平成23,2011,0,13000,東京都,Tokyo-to,209264,185475,183527,11686,29965,177090,7,5823,556,275528
平成24,2012,0,13000,東京都,Tokyo-to,219415,194473,193503,11832,32882,184304,6,5974,595,287566
平成25,2013,0,13000,東京都,Tokyo-to,225222,198888,199221,11656,35308,190800,7,5920,600,293106
平成26,2014,0,13000,東京都,Tokyo-to,228604,202237,202822,11320,37642,194753,8,5836,581,294877
平成26,2014,1,13100,区部,All ku,172667,153287,153731,7740,28567,147369,6,4043,460,218480
平成26,2014,2,13101,千代田区,Chiyoda-ku,566,411,407,14,92,490,-,5,2,629
平成26,2014,2,13102,中央区,Chuo-ku,935,767,737,22,164,776,-,13,3,1090
平成26,2014,2,13103,港区,Minato-ku,1958,1686,1661,72,356,1530,0,43,3,2361
平成26,2014,2,13104,新宿区,Shinjuku-ku,9166,8098,7888,210,1230,7416,1,107,26,10555
平成26,2014,2,13105,文京区,Bunkyo-ku,2202,1888,1905,48,379,1806,-,28,4,2527
平成26,2014,2,13106,台東区,Taito-ku,8080,7011,6721,95,1006,6567,0,52,32,8769
平成26,2014,2,13107,墨田区,Sumida-ku,6494,6029,5904,277,1299,6034,0,167,22,8173
平成26,2014,2,13108,江東区,Koto-ku,7762,7075,6904,357,1360,6483,-,194,27,10123
平成26,2014,2,13109,品川区,Shinagawa-ku,4757,4120,4201,131,912,4106,0,71,17,5656
平成26,2014,2,13110,目黒区,Meguro-ku,2471,2133,2112,62,436,2113,-,56,4,2934
平成26,2014,2,13111,大田区,Ota-ku,13350,11635,12071,588,2431,12171,0,291,43,16695
平成26,2014,2,13112,世田谷区,Setagaya-ku,8413,7355,7480,292,1439,6390,0,178,19,10229
平成26,2014,2,13113,渋谷区,Shibuya-ku,2835,2470,2397,45,482,2227,-,33,3,3202
平成26,2014,2,13114,中野区,Nakano-ku,6566,5974,6030,146,1003,6103,0,100,9,7571
平成26,2014,2,13115,杉並区,Suginami-ku,6669,5947,6008,160,1073,6318,0,100,7,7832
平成26,2014,2,13116,豊島区,Toshima-ku,6270,5437,5511,109,962,5701,0,42,10,7104
平成26,2014,2,13117,北区,Kita-ku,7891,6962,7077,253,1489,6960,0,139,27,9738
平成26,2014,2,13118,荒川区,Arakawa-ku,5349,4849,4851,188,997,4578,-,95,26,6496
平成26,2014,2,13119,板橋区,Itabashi-ku,14252,12425,12742,917,2015,11506,0,421,46,19230
平成26,2014,2,13120,練馬区,Nerima-ku,12771,11484,11700,890,2290,9996,1,481,13,17153
平成26,2014,2,13121,足立区,Adachi-ku,18667,16757,16258,1177,3220,15473,-,564,46,26090
平成26,2014,2,13122,葛飾区,Katsushika-ku,10215,9019,9154,545,1799,8658,1,259,29,13570
平成26,2014,2,13123,江戸川区,Edogawa-ku,15029,13757,14012,1142,2134,13967,1,605,45,20752
平成26,2014,1,13200,市部,All shi,54796,48027,48322,3515,8830,46367,2,1754,120,74800
平成26,2014,2,13201,八王子市,Hachioji-shi,8021,6857,6840,574,1321,6431,0,212,17,11116
平成26,2014,2,13202,立川市,Tachikawa-shi,3792,3377,3447,222,686,3475,0,100,9,5076
平成26,2014,2,13203,武蔵野市,Musashino-shi,1722,1461,1492,40,232,1301,-,23,3,2013
平成26,2014,2,13204,三鷹市,Mitaka-shi,2720,2384,2425,143,408,2601,-,68,5,3519
平成26,2014,2,13205,青梅市,Ome-shi,1932,1679,1606,148,253,1405,-,76,5,2744
平成26,2014,2,13206,府中市,Fuchu-shi,3812,3473,3460,283,578,3569,0,149,11,5262
平成26,2014,2,13207,昭島市,Akishima-shi,1749,1532,1497,99,327,1417,-,45,7,2353
平成26,2014,2,13208,調布市,Chofu-shi,2311,1960,1992,75,385,2115,-,42,5,2875
平成26,2014,2,13209,町田市,Machida-shi,5169,4506,4652,444,818,3916,0,248,10,7530
平成26,2014,2,13210,小金井市,Koganei-shi,1318,1120,1161,33,163,893,-,21,4,1546
平成26,2014,2,13211,小平市,Kodaira-shi,2366,2168,2087,157,396,2293,-,80,8,3267
