年度,Fiscal year,月次,Month,受給者実人員 Beneficiaries／総数 Total,受給者実人員 Beneficiaries／男 Male,受給者実人員 Beneficiaries／女 Female,雇用保険支給金額 Benefits paid／総数Total,雇用保険支給金額 Benefits paid／男Male,雇用保険支給金額 Benefits paid／女Female,1人1か月当たり平均支給金額 (円) Average monthly benefits per person (yen)
平成23,2011,,,58938,27442,31496,94926502,48434175,46492327,134218
平成24,2012,,,53328,24484,28843,85692443,43339843,42352599,133907
平成25,2013,,,48312,21775,26537,78145371,39013395,39131975,134792
平成26,2014,,,42338,18227,24111,67412261,32035998,35376263,132686
平成27,2015,,,40175,17166,23009,64676787,30501446,34175342,134156
平成27,2015,4,Apr.,37682,16826,20856,5172701,2535611,2637090,137272
平成27,2015,5,May,38558,16676,21882,4741665,2283108,2458557,122974
平成27,2015,6,June,41801,17840,23961,5570905,2648455,2922450,133272
平成27,2015,7,July,43439,18394,25045,5978762,2782057,3196705,137635
平成27,2015,8,Aug.,44256,18451,25805,5748842,2668405,3080437,129899
平成27,2015,9,Sept.,43696,18309,25387,5912993,2739848,3173145,135321
平成27,2015,10,Oct.,43142,18189,24953,5948804,2746641,3202163,137888
平成27,2015,11,Nov.,39760,16749,23011,5237334,2428310,2809024,131723
平成27,2015,12,Dec.,38539,16441,22098,4614913,2163793,2451120,119746
平成28,2016,1,Jan.,38399,16573,21826,5844594,2789713,3054881,152206
平成28,2016,2,Feb.,36834,15941,20893,4704308,2246008,2458300,127716
平成28,2016,3,Mar.,35995,15606,20389,5200967,2469496,2731471,144491
7-4  雇用保険 （一般） 支給状況 （平成23～27年度）,,,,,,,,,,
PAYMENT OF （ GENERAL ） EMPLOYMENT INSURANCE BENEFITS ( Fiscal Years 2011-2015 ) ,,,,,,,,,,
（単位　金額　千円）   (In thousands of yen),,,,,,,,,,
,,,,,,,,,,
  注) 年度別「受給者実人員」 は月平均である。金額については， 単位未満を切り捨ててある。,,,,,,,,,,
Ｎote: Fiscal year “Beneficiaries” refer to monthly average. Ｆractional sum less than a thousand yen is discarded.,,,,,,,,,,
資料：東京労働局          Source: Tokyo Labor Bureau ,,,,,,,,,,
