年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,飲食店 Eateries／総数 Total,飲食店 Eateries／旅館・ホテル Ryokan ・ hotel,飲食店 Eateries／バー・キャバレー Bars ・ cabarets,飲食店 Eateries／一般飲食店 Restaurant,飲食店 Eateries／民生食堂 Low-cost eatery,飲食店 Eateries／すし屋 Sushi restaurant,飲食店 Eateries／そば屋 Soba restaurant,飲食店 Eateries／仕出し屋 Caterer,飲食店 Eateries／弁当屋 Bento shop,飲食店 Eateries／そうざい店 Deli,飲食店 Eateries／その他 Others,喫茶店 Cafes／店舗 Shop,喫茶店 Cafes／その他 Others,乳類販売業 Dairy product sales,食肉販売業 Processed meat sales,魚介類販売業 Seafood sales,食料品等販売業 Food sales,アイスクリーム販売業 Ice cream sales,菓子販売業 Confectionery sales,魚介類加工品販売業 Fishery products sales
平成23,2011,0,13000,,東京都,Tokyo-to,188622,1888,9318,136780,41,5309,5912,1723,7126,8117,12408,2116,26664,29920,13556,14161,28941,20528,27265,13449
平成24,2012,0,13000,,東京都,Tokyo-to,190274,1871,9588,137747,38,5186,5762,1680,7109,8369,12924,2159,23824,29171,13934,14607,29381,20502,27309,13427
平成25,2013,0,13000,,東京都,Tokyo-to,191411,1828,9752,138755,33,5060,5664,1674,7032,8297,13316,2207,22094,28423,14230,14877,29349,20469,27336,13369
平成26,2014,0,13000,,東京都,Tokyo-to,191781,1806,9902,138770,31,4859,5481,1665,6894,8307,14066,2355,20895,27994,14511,15187,29542,20587,27571,13494
平成27,2015,0,13000,,東京都,Tokyo-to,191591,1788,9894,138618,28,4696,5240,1640,6777,8211,14699,2487,20151,27298,14574,15196,29060,20679,27693,13594
平成27,2015,1,13100,,区部,All ku,156755,1071,8875,115047,28,3819,4269,1235,5115,6615,10681,1965,16135,20472,11027,11714,22278,13522,19868,8185
平成27,2015,2,13101,1,千代田区,Chiyoda-ku,8412,62,157,6518,-,179,328,12,210,357,589,184,1925,1254,396,387,1643,190,645,145
平成27,2015,2,13102,2,中央区,Chuo-ku,11270,68,1999,7452,1,454,272,36,211,210,567,256,1365,916,521,1468,1474,292,707,172
平成27,2015,2,13103,3,港区,Minato-ku,15879,68,1156,12291,1,399,317,57,234,533,823,159,2593,1564,665,628,1767,429,466,425
平成27,2015,2,13104,4,新宿区,Shinjuku-ku,14822,140,1763,11420,-,239,231,61,118,184,666,101,1138,1240,641,619,1358,610,1293,290
平成27,2015,2,13105,5,文京区,Bunkyo-ku,3496,34,68,2736,2,88,122,28,133,70,215,41,335,573,230,229,606,319,515,171
平成27,2015,2,13106,6,台東区,Taito-ku,7591,202,413,5349,5,202,233,40,211,240,696,109,443,601,392,374,800,633,1105,261
平成27,2015,2,13107,7,墨田区,Sumida-ku,4773,38,449,3114,7,108,145,49,180,206,477,60,277,566,371,349,666,1269,1125,533
平成27,2015,2,13108,8,江東区,Koto-ku,5781,20,32,4279,1,126,162,78,268,224,591,79,1087,1173,575,571,1152,559,876,400
平成27,2015,2,13109,9,品川区,Shinagawa-ku,6019,58,302,4142,3,178,186,56,170,474,450,42,913,916,463,437,841,628,545,535
平成27,2015,2,13110,10,目黒区,Meguro-ku,3898,10,87,2897,-,107,101,49,116,229,302,65,229,473,249,233,486,132,386,104
平成27,2015,2,13111,11,大田区,Ota-ku,7760,53,220,5386,1,185,226,82,387,361,859,73,934,1514,765,835,1565,631,990,745
平成27,2015,2,13112,12,世田谷区,Setagaya-ku,8169,6,36,6277,1,190,230,110,350,368,601,119,460,1225,738,718,1350,1151,2069,629
平成27,2015,2,13113,13,渋谷区,Shibuya-ku,9721,88,690,7674,-,160,175,40,203,183,508,215,1008,911,428,411,994,343,1096,290
平成27,2015,2,13114,14,中野区,Nakano-ku,3751,3,133,2954,1,123,111,27,115,106,178,36,245,472,286,277,461,369,723,326
平成27,2015,2,13115,15,杉並区,Suginami-ku,5584,10,94,4308,-,127,162,56,229,264,334,64,259,726,458,432,775,713,751,389
平成27,2015,2,13116,16,豊島区,Toshima-ku,6949,97,459,5211,1,154,183,51,234,247,312,99,494,807,443,423,865,301,769,314
