項目,Item,平成25年度 Fiscal year 2013／実数 Value,平成25年度 Fiscal year 2013／構成比 Percentage Distribution (%),平成25年度 Fiscal year 2013／対前年度増加率 Percent changes from previous fiscal year (%),平成26年度 Fiscal year 2014／実数 Value,平成26年度 Fiscal year 2014／構成比 Percentage Distribution (%),平成26年度 Fiscal year 2014／対前年度増加率 Percent changes from previous fiscal year (%)
雇用者報酬（都内活動による）,Compensation of employees (from activities in Tokyo),49000.5,52.1,-1.3,49643.8,52.3,1.3
営業余剰・混合所得,Operating surplus and mixed income,24167.3,25.7,6,23514,24.8,-2.7
固定資本減耗,Consumption of fixed capital,16039.3,17.1,2.5,16710.9,17.6,4.2
生産・輸入品に課される税,Taxes on production and imports,5133.6,5.5,2.7,5439.6,5.7,6
（控除）補助金,(less) Subsidies,310,0.3,-1.1,406.2,0.4,31
都内総生産 (市場価格),Gross prefectural domestic product (production approach),94030.6,100,1.3,94902.1,100,0.9
民間最終消費支出,Private final consumption expenditure,39123.8,41.6,0.8,39450.9,41.6,0.8
政府最終消費支出,Government final consumption expenditure,13797.6,14.7,0.7,14677.4,15.5,6.4
都内総固定資本形成,Gross prefectural domestic fixed capital formation,14143.8,15,9.5,14271.4,15,0.9
在庫品増加,Changes in inventories,-331.4,-0.4,-,-306.4,-0.3,-
財貨・サービスの移出入(純）,Outflows of goods and services， net,27842.5,29.6,4.6,27113.3,28.6,-2.6
統計上の不突合,Statistical discrepancy,-545.7,-0.6,-,-304.4,-0.3,-
都内総生産 (支出側)（市場価格）,Gross prefectural domestic product (expenditure approach),94030.6,100,1.3,94902.1,100,0.9
,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,
16-1  都内総生産勘定 (生産側及び支出側) (平成25，26年度) 16-1  GROSS PREFECTURAL DOMESTIC PRODUCT ACCOUNT (PRODUCTION AND EXPENDITURE APPROACH) ( Fiscal Years 2013 and 2014 ),,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,
