男女別階層,男女,Gender,年齢別階層,年齢(歳),Age(years old),総数 Total,脳血管疾患 Cerebro-vascular disease,悪性新生物Malignant neoplasm,心疾患 Heart disease,肺炎 Pneumonia ,肝疾患 Liver disease,老衰 Senility,不慮の事故 Unforeseen accident,自殺 Suicide,その他の全死因 All other causes of death
0,総数 ,Total,0,総数,Total,111673,9088,33530,16938,10000,1737,7025,2616,2290,28449
0,総数 ,Total,1,0～14,0-14,335,3,25,13,12,2,-,20,8,252
0,総数 ,Total,1,15～19,15-19,93,-,11,1,-,1,-,13,51,16
0,総数 ,Total,1,20～24,20-24,215,1,18,8,1,1,-,16,126,44
0,総数 ,Total,1,25～29,25-29,282,3,25,10,4,1,-,26,158,55
0,総数 ,Total,1,30～34,30-34,380,19,61,26,7,8,-,24,157,78
0,総数 ,Total,1,35～39,35-39,545,29,135,49,3,17,-,26,179,107
0,総数 ,Total,1,40～44,40-44,1074,93,320,90,7,54,-,44,213,253
0,総数 ,Total,1,45～49,45-49,1564,143,521,162,22,68,-,64,235,349
0,総数 ,Total,1,50～54,50-54,2146,185,848,242,26,142,-,80,223,400
0,総数 ,Total,1,55～59,55-59,2738,195,1225,323,53,140,-,97,164,541
0,総数 ,Total,1,60～64,60-64,4539,334,2229,502,139,181,2,121,148,883
0,総数 ,Total,1,65～69,65-69,8169,572,4056,938,330,247,12,183,178,1653
0,総数 ,Total,1,70～74,70-74,10733,776,4828,1372,575,231,59,225,177,2490
0,総数 ,Total,1,75～79,75-79,14099,1155,5450,1925,1089,204,187,358,109,3622
0,総数 ,Total,1,80～,80 and over,64758,5579,13778,11276,7732,440,6765,1319,163,17706
0,総数 ,Total,1,不詳,Unreported,3,1,-,1,-,-,-,-,1,-
1,男 ,Male,0,総数,Total,59164,4486,19688,8331,5587,1201,1747,1552,1598,14974
1,男 ,Male,1,0～14,0-14,198,3,17,6,9,2,-,13,7,141
1,男 ,Male,1,15～19,15-19,65,-,9,-,-,-,-,13,35,8
1,男 ,Male,1,20～24,20-24,148,-,12,6,-,1,-,13,91,25
1,男 ,Male,1,25～29,25-29,177,2,10,7,2,-,-,21,105,30
1,男 ,Male,1,30～34,30-34,253,14,25,23,4,7,-,14,110,56
1,男 ,Male,1,35～39,35-39,362,21,52,41,2,10,-,24,138,74
1,男 ,Male,1,40～44,40-44,676,67,137,75,5,44,-,36,137,175
1,男 ,Male,1,45～49,45-49,1004,103,233,136,13,55,-,52,170,242
1,男 ,Male,1,50～54,50-54,1407,137,424,200,13,118,-,54,163,298
1,男 ,Male,1,55～59,55-59,1916,143,727,278,40,121,-,73,114,420
1,男 ,Male,1,60～64,60-64,3179,243,1400,401,111,160,1,87,112,664
1,男 ,Male,1,65～69,65-69,5745,408,2681,719,267,198,8,127,121,1216
1,男 ,Male,1,70～74,70-74,7256,513,3230,907,445,164,38,152,125,1682
1,男 ,Male,1,75～79,75-79,8831,696,3441,1168,761,125,99,218,70,2253
1,男 ,Male,1,80～,80 and over,27945,2135,7290,4363,3915,196,1601,655,100,7690
1,男 ,Male,1,不詳,Unreported,2,1,-,1,-,-,-,-,-,-
1,女 ,Female,0,総数,Total,52509,4602,13842,8607,4413,536,5278,1064,692,13475
1,女 ,Female,1,0～14,0-14,137,-,8,7,3,-,-,7,1,111
1,女 ,Female,1,15～19,15-19,28,-,2,1,-,1,-,-,16,8
1,女 ,Female,1,20～24,20-24,67,1,6,2,1,-,-,3,35,19
1,女 ,Female,1,25～29,25-29,105,1,15,3,2,1,-,5,53,25
1,女 ,Female,1,30～34,30-34,127,5,36,3,3,1,-,10,47,22
1,女 ,Female,1,35～39,35-39,183,8,83,8,1,7,-,2,41,33
1,女 ,Female,1,40～44,40-44,398,26,183,15,2,10,-,8,76,78
1,女 ,Female,1,45～49,45-49,560,40,288,26,9,13,-,12,65,107
1,女 ,Female,1,50～54,50-54,739,48,424,42,13,24,-,26,60,102
1,女 ,Female,1,55～59,55-59,822,52,498,45,13,19,-,24,50,121
1,女 ,Female,1,60～64,60-64,1360,91,829,101,28,21,1,34,36,219
1,女 ,Female,1,65～69,65-69,2424,164,1375,219,63,49,4,56,57,437
1,女 ,Female,1,70～74,70-74,3477,263,1598,465,130,67,21,73,52,808
1,女 ,Female,1,75～79,75-79,5268,459,2009,757,328,79,88,140,39,1369
1,女 ,Female,1,80～,80 and over,36813,3444,6488,6913,3817,244,5164,664,63,10016
1,女 ,Female,1,不詳,Unreported,1,-,-,-,-,-,-,-,1,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,
19-4  年齢(5歳階級)，主要死因別死亡数 (平成27年) 19-4  DEATHS BY AGE ( FIVE-YEAR GROUPS ) AND PRINCIPAL CAUSES ( 2015 ),,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,
男女別階層（0:総数　1:男・女）,,,,,,,,,,,,,,,
年齢階層（0:総数　1:各年齢）,,,,,,,,,,,,,,,
