年次,Year,原因,Cause,区分,Classification,発生件数 Accidents／総数 Total,発生件数 Accidents／死亡事故 Killed,発生件数 Accidents／重傷事故 Serious injury,発生件数 Accidents／軽傷事故 Minor injury,死傷者数 Killed or injured／総数 Total,死傷者数 Killed or injured／死者 Killed,死傷者数 Killed or injured／重傷者 Serious injury,死傷者数 Killed or injured／軽傷者 Minor injury
平成23,2011,総数,Total,,,166,28,24,114,176,28,25,123
平成24,2012,総数,Total,,,227,29,29,169,236,29,31,176
平成25,2013,総数,Total,,,216,23,22,171,243,23,23,197
平成26,2014,総数,Total,,,179,15,16,148,193,15,18,160
平成27,2015,総数,Total,,,190,31,21,138,202,31,25,146
平成27,2015,信号無視,Ignoring traffic light signals,,,66,17,14,35,70,17,17,36
平成27,2015,通行区分,Lane violation,左側通行,Walking on the left side of the road,-,-,-,-,-,-,-,-
平成27,2015,通行区分,Lane violation,車道通行,Walking on roadways,-,-,-,-,-,-,-,-
平成27,2015,通行区分,Lane violation,その他,Others,-,-,-,-,-,-,-,-
平成27,2015,横断,Crossing,横断歩道外横断,Crossing outside pedestrian crossings,21,-,1,20,22,-,2,20
平成27,2015,横断,Crossing,斜め横断,Diagonal crossing,3,-,-,3,3,-,-,3
平成27,2015,横断,Crossing,駐停車車両の直前直後,Crossing immediately in front of or behind a parked vehicle,8,-,-,8,9,-,-,9
平成27,2015,横断,Crossing,走行車両の直前直後,Crossing immediately in front of or behind a vehicle in motion,4,-,-,4,4,-,-,4
平成27,2015,横断,Crossing,横断禁止場所横断,Crossing at prohibited places,45,10,6,29,49,10,6,33
平成27,2015,幼児のひとり歩き,Toddlers walking alone,,,-,-,-,-,-,-,-,-
平成27,2015,踏切不注意,Lack of caution at railroad crossings,,,2,1,-,1,2,1,-,1
平成27,2015,道路における禁止行為,Prohibited acts on roads,めいていはいかい，ねそべり等,Drunk， wandering， lying on the road， etc.,3,3,-,-,3,3,-,-
平成27,2015,道路における禁止行為,Prohibited acts on roads,路上遊戯,Playing on road,1,-,-,1,1,-,-,1
平成27,2015,無許可道路使用,Use of roads without permission,路上作業,Working on roads,-,-,-,-,-,-,-,-
平成27,2015,飛び出し,Rushing out into the street　,,,30,-,-,30,31,-,-,31
平成27,2015,その他の違反,Others,,,6,-,-,6,7,-,-,7
平成27,2015,調査不能,Cause undetermined,,,1,-,-,1,1,-,-,1
,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,
20-14  歩行者がわの事故原因による人身事故発生件数及び死傷者数 （平成23～27年） 20-14 TRAFFIC ACCIDENTS CAUSED BY PEDESTRIANS RESULTING IN INJURY OR DEATH AND PERSONS KILLED OR INJURED IN THE ACCIDENTS ( 2011-2015 ),,,,,,,,,,,,,
資料：警視庁総務部文書課 「警視庁の統計」(ホームページ) Source: Metropolitan Police Department， TMG,,,,,,,,,,,,,
