年度,Fiscal year,適用事業所数 Establishments covered (A),被保険者数 Workers insured (B),徴収決定額 Premium decided,収納済額 Premium received,不納欠損額 Deficit from uncollectable accounts,収納未済額 Premium unreceived
平成23,2011,326061,8684420,934536098,921337531,1847118,11351447
平成24,2012,328370,8802377,829969303,818611677,1891815,9465811
平成25,2013,331384,8959456,835619087,825394065,2029061,8195959
平成26,2014,335949,9210646,866147015,857338450,1509048,7299517
平成27,2015,343020,9414674,890142049,882846836,1336812,5958399
,,,,,,,
7-3  雇用保険 （一般） 適用と労働保険の徴収状況 （平成23～27年度） ,,,,,,,
7-3 COVERAGE BY （ GENERAL ） EMPLOYMENT INSURANCE AND COLLECTION OF LABOR INSURANCE ,,,,,,,
（ Fiscal Years 2011～2015 ） ,,,,,,,
（単位　金額　千円） ,,,,,,,
注) A，B欄の各年の数字は３月末のもの。金額については， 単位未満を切り捨ててある。 ,,,,,,,
　Note: Columns A and B： Yearly figures as of March of the year stated.  Figures under thousand are rounded down. ,,,,,,,
資料：東京労働局          Source: Tokyo Labor Bureau ,,,,,,,
