地域階層,地域コード,項番 Item number,地域,District,マーク Mark,総数 Total,交通事故 Traffic accidents,火災事故 Fire accidents,運動競技事故 Sports accidents,自然災害事故 Natural disasters accidents,水難事故 Drowning accidents,労働災害事故 Labor accidents,一般負傷 Injuries in general,自損行為 Self - immolations,加害 Crimes,急病 Acute illness,転院搬送 Change hospital,医師搬送 with Doctor,資器材等輸送 Materials， implements,その他 Other responses
0,13000,,総数,Tokyo-to,,759802,52674,3494,5392,13,951,4789,130843,5236,7205,495730,43632,217,534,9092
1,13100,,区部,All ku,,559803,37497,2626,3626,11,774,3570,96695,3676,5880,367191,30621,169,435,7032
2,13101,1,千代田区,Chiyoda-ku,,14014,1000,60,94,-,7,204,2708,56,155,8979,596,-,4,151
2,13102,2,中央区,Chuo-ku,,13031,1189,67,44,-,16,207,2231,40,126,8358,581,-,-,172
2,13103,3,港区,Minato-ku,,23125,1736,126,119,-,20,277,4045,99,392,15005,988,1,2,315
2,13104,4,新宿区,Shinjuku-ku,,33873,1757,179,236,1,12,204,5901,264,654,21949,2167,-,8,541
2,13105,5,文京区,Bunkyo-ku,,11924,698,55,130,-,9,70,1992,63,57,7129,1568,4,13,136
2,13106,6,台東区,Taito-ku,,18506,1112,93,57,-,29,113,3388,135,309,12388,564,-,-,318
2,13107,7,墨田区,Sumida-ku,,17042,1104,86,81,-,28,101,2840,105,174,11028,1325,1,5,164
2,13108,8,江東区,Koto-ku,,28500,2044,126,279,6,42,268,4583,181,230,18735,1505,126,28,347
2,13109,9,品川区,Shinagawa-ku ,,21039,1296,126,146,-,46,162,3777,83,168,14052,1001,-,6,176
2,13110,10,目黒区,Meguro-ku,,12991,942,64,94,-,9,69,2355,101,111,8363,710,2,25,146
2,13111,11,大田区,Ota-ku ,,38629,2683,167,254,2,111,279,6897,204,338,25262,1989,-,9,434
2,13112,12,世田谷区,Setagaya-ku,,41040,2993,166,439,-,40,201,7456,269,286,26574,2050,5,87,474
2,13113,13,渋谷区,Shibuya-ku,,19533,1325,103,172,-,6,191,3451,115,343,12474,1004,25,21,303
2,13114,14,中野区,Nakano-ku,,17090,952,103,68,1,13,64,2975,148,161,11574,759,-,18,254
2,13115,15,杉並区,Suginami-ku,,26157,1870,118,189,-,28,111,4706,183,178,17129,1122,3,49,471
2,13116,16,豊島区,Toshima-ku,,20731,965,112,112,-,16,103,3793,140,326,13924,801,-,6,433
2,13117,17,北区,Kita-ku,,20925,1026,85,124,-,28,80,3653,144,194,14162,1173,-,-,256
2,13118,18,荒川区,Arakawa-ku ,,12941,664,55,44,-,24,61,2184,88,133,8370,1117,1,51,149
2,13119,19,板橋区,Itabashi-ku,,30468,2048,175,127,-,32,128,4934,221,257,20334,1891,-,32,289
2,13120,20,練馬区,Nerima-ku,,34465,2382,135,214,-,42,126,5819,247,251,22627,2223,1,20,378
2,13121,21,足立区,Adachi-ku,,41557,3254,185,238,-,76,239,6540,309,416,27185,2612,-,33,470
2,13122,22,葛飾区,Katsushika-ku,,26292,1863,85,135,1,54,129,4494,189,237,17501,1357,-,2,245
2,13123,23,江戸川区,Edogawa-ku ,,35930,2594,155,230,-,86,183,5973,292,384,24089,1518,-,16,410
3,,,消防事務受託地区,Suburban fire service entrusted districts,,199694,15106,865,1766,2,177,1219,34145,1560,1325,128536,12801,33,99,2060
3,,,その他,Others,※,305,71,3,-,-,-,-,3,-,-,3,210,15,-,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,
20-19  地域別種類別救急件数 （平成27年） 20-19  EMERGENCY CASES BY DISTRICT AND KIND ( 2015 ),,,,,,,,,,,,,,,,,,,,
この表は， 区部及び消防事務受託地区で， 東京消防庁が扱った件数である。,,,,,,,,,,,,,,,,,,,,
Figures refer to the number of cases handled by the Tokyo Fire Department in the special ward (ku) area and entrusted districts.,,,,,,,,,,,,,,,,,,,,
注) ※東京消防庁管轄区域以外の地域をいう。,,,,,,,,,,,,,,,,,,,,
Note: ※Districts outside the jurisdiction of the Tokyo Fire Department.,,,,,,,,,,,,,,,,,,,,
資料：東京消防庁企画調整部企画課 「東京消防庁統計書」 Source: Tokyo Fire Department,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部　2:区市町村　3:消防事務受託地区・その他),,,,,,,,,,,,,,,,,,,,
