年度,Fiscal year,地域階層,地域コード,地域,District,第1号被保険者数 (1月末) Primary insured persons (as of the end of  January),要介護(要支援)認定者数 (1月末) Persons certified for LTC／support (as of the end of January)／第1号 Primary,要介護(要支援)認定者数 (1月末) Persons certified for LTC／support (as of the end of January)／第2号 Secondary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第1号 Primary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第2号 Secondary,地域密着型サービス受給者数 (1月末) Recipient of communitybased LTC services (as of the end of January)／第1号 Primary,地域密着型サービス受給者数 (1月末) Recipient of communitybased LTC services (as of the end of January)／第2号 Secondary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第1号 Primary,施設介護サービス受給者数 (1月末) Recipient of LTC services in facilities (as of the end of January)／第2号 Secondary
平成25,2013,0,13000,東京都,Tokyo-to,2860243,506041,13232,328562,8708,22954,358,67534,987
平成26,2014,0,13000,東京都,Tokyo-to,2947406,527390,12728,345535,8441,24350,352,68825,914
平成27,2015,0,13000,東京都,Tokyo-to,3012871,546155,12492,356639,8260,24924,327,70462,876
平成27,2015,1,13100,区部,All ku,2004848,372401,8298,247565,5515,17383,225,44276,554
平成27,2015,2,13101,千代田区,Chiyoda-ku,10826,2187,36,1477,25,179,-,235,1
平成27,2015,2,13102,中央区,Chuo-ku,23380,4372,116,2894,82,273,6,509,8
平成27,2015,2,13103,港区,Minato-ku,43052,8459,179,5768,124,203,5,1174,6
平成27,2015,2,13104,新宿区,Shinjuku-ku,67752,12791,219,9020,155,682,7,1666,14
平成27,2015,2,13105,文京区,Bunkyo-ku,42543,7817,150,5445,112,402,6,899,7
平成27,2015,2,13106,台東区,Taito-ku,46235,9071,201,5995,135,323,4,1054,7
平成27,2015,2,13107,墨田区,Sumida-ku,60250,10936,253,7628,177,560,10,1446,15
平成27,2015,2,13108,江東区,Koto-ku,107697,17397,446,11260,278,690,5,2363,48
平成27,2015,2,13109,品川区,Shinagawa-ku,80788,14035,345,9560,241,820,10,1710,26
平成27,2015,2,13110,目黒区,Meguro-ku,54989,11013,204,7419,149,425,4,1303,7
平成27,2015,2,13111,大田区,Ota-ku,162177,30242,736,21052,486,1354,11,2930,51
平成27,2015,2,13112,世田谷区,Setagaya-ku,178962,36813,731,25644,477,1693,30,3493,39
平成27,2015,2,13113,渋谷区,Shibuya-ku,42735,8357,193,5496,122,300,5,1021,10
平成27,2015,2,13114,中野区,Nakano-ku,67623,12983,237,9272,156,738,6,1415,16
平成27,2015,2,13115,杉並区,Suginami-ku,117735,23795,446,16355,298,1071,16,2517,18
平成27,2015,2,13116,豊島区,Toshima-ku,57823,11330,219,7539,159,442,1,1334,9
平成27,2015,2,13117,北区,Kita-ku,87970,16938,373,11181,271,761,5,2112,22
平成27,2015,2,13118,荒川区,Arakawa-ku,49763,8624,196,4994,130,445,4,1248,18
平成27,2015,2,13119,板橋区,Itabashi-ku,126276,22761,514,14899,339,1132,21,2816,26
平成27,2015,2,13120,練馬区,Nerima-ku,156018,30119,615,18727,404,1426,26,3711,55
平成27,2015,2,13121,足立区,Adachi-ku,166696,30921,786,19368,486,1451,19,4051,70
平成27,2015,2,13122,葛飾区,Katsushika-ku,110922,19690,462,13364,314,836,6,2661,35
平成27,2015,2,13123,江戸川区,Edogawa-ku,142636,21750,641,13208,395,1177,18,2608,46
平成27,2015,1,13200,市部,All shi,982351,169568,4088,106850,2680,7377,102,25133,306
平成27,2015,2,13201,八王子市,Hachioji-shi,140192,24524,557,15092,362,1043,16,3325,38
平成27,2015,2,13202,立川市,Tachikawa-shi,42303,7581,170,4897,131,472,2,1134,14
平成27,2015,2,13203,武蔵野市,Musashino-shi,31489,6093,133,3797,87,201,6,917,10
平成27,2015,2,13204,三鷹市,Mitaka-shi,39174,7143,139,4852,96,351,4,911,8
平成27,2015,2,13205,青梅市,Ome-shi,35337,5002,167,2625,98,210,1,1107,18
平成27,2015,2,13206,府中市,Fuchu-shi,54065,9668,271,5856,177,406,7,1232,21
平成27,2015,2,13207,昭島市,Akishima-shi,27516,4632,121,2817,77,189,5,866,9
平成27,2015,2,13208,調布市,Chofu-shi,48604,9084,185,5825,131,360,2,1219,12
平成27,2015,2,13209,町田市,Machida-shi,108448,18367,434,11586,292,997,12,2783,34
平成27,2015,2,13210,小金井市,Koganei-shi,24689,4821,104,3219,63,195,1,575,11
平成27,2015,2,13211,小平市,Kodaira-shi,42631,7704,175,4820,116,416,6,1057,15
平成27,2015,2,13212,日野市,Hino-shi,43905,7878,170,5248,117,301,5,1120,1
平成27,2015,2,13213,東村山市,Higashimurayama-shi,37932,7492,191,4690,121,259,3,1160,16
平成27,2015,2,13214,国分寺市,Kokubunji-shi,26186,4788,111,3181,70,208,4,652,7
平成27,2015,2,13215,国立市,Kunitachi-shi,16670,3113,92,1752,55,139,4,461,5
平成27,2015,2,13218,福生市,Fussa-shi,14004,1943,53,1229,33,15,-,453,7
平成27,2015,2,13219,狛江市,Komae-shi,19400,3735,85,2486,50,117,-,419,6
平成27,2015,2,13220,東大和市,Higashiyamato-shi,21907,3369,92,2073,54,83,-,541,8
平成27,2015,2,13221,清瀬市,Kiyose-shi,20155,3713,84,2488,50,143,2,571,8
平成27,2015,2,13222,東久留米市,Higashikurume-shi,31561,5005,108,3245,67,153,2,699,9
平成27,2015,2,13223,武蔵村山市,Musashimurayama-shi,17787,2489,78,1567,66,110,1,468,7
平成27,2015,2,13224,多摩市,Tama-shi,38863,5018,120,3383,86,262,2,734,9
平成27,2015,2,13225,稲城市,Inagi-shi,17685,2284,74,1349,46,175,3,414,6
平成27,2015,2,13227,羽村市,Hamura-shi,13369,1846,50,989,26,49,2,342,2
平成27,2015,2,13228,あきる野市,Akiruno-shi,21814,2939,98,1597,61,85,2,760,12
平成27,2015,2,13229,西東京市  ,Nishitokyo-shi,46665,9337,226,6187,148,438,10,1213,13
平成27,2015,1,13300,郡部,All gun,16692,2461,70,1253,47,61,-,670,9
平成27,2015,1,13350,島部,All islands,8980,1725,36,971,18,103,-,383,7
,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
18-9  介護保険被保険者数 ・認定者・受給者の状況（平成25～平成27年度） 18-9  PERSONS INSURED BY LONG-TERM CARE (LTC) INSURANCE， CERTIFIED FOR LTC／SUPPORT，AND BENEFICIARIES OF LTC SERVICES ( Fiscal Years 2013-2015 ) ,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,
