年次,Year,月次,Month,出生 Livebirths／計 Total,出生 Livebirths／男 Male,出生 Livebirths／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲）乳児死亡  (relisted) Infant deaths／計 Total,(再掲)乳児死亡  (relisted) Infant deaths／男 Male,(再掲)乳児死亡  (relisted) Infant deaths／女 Female,(再掲)乳児死亡  (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡  (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡  (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡  (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,婚姻 Marriages,離婚 Divorces
昭和60,1985,総数,Total,126178,64822,61356,62499,34265,28234,63679,30557,33122,622,339,283,378,207,171,5885,3213,2672,83021,17955
昭和61,1986,総数,Total,121745,62502,59243,62935,34722,28213,58810,27780,31030,591,303,288,338,178,160,5435,3017,2418,79960,18271
昭和62,1987,総数,Total,118509,60988,57521,63879,35108,28771,54630,25880,28750,559,315,244,295,167,128,5474,2893,2581,78532,17152
昭和63,1988,総数,Total,114422,58777,55645,67078,36735,30343,47344,22042,25302,474,258,216,276,141,135,4968,2546,2422,79276,16884
昭和64・平成元,1989,総数,Total,106480,54829,51651,67629,37160,30469,38851,17669,21182,474,247,227,270,130,140,4562,2321,2241,80883,17593
平成2,1990,総数,Total,103983,53330,50653,70370,38743,31627,33613,14587,19026,438,255,183,245,141,104,4543,2248,2295,81920,17935
平成3,1991,総数,Total,103226,53373,49853,70675,38733,31942,32551,14640,17911,400,211,189,204,107,97,4333,2157,2176,83171,19400
平成4,1992,総数,Total,100965,51868,49097,72974,40217,32757,27991,11651,16340,430,265,165,231,143,88,3992,2012,1980,82371,20211
平成5,1993,総数,Total,98291,50583,47708,74758,40896,33862,23533,9687,13846,467,248,219,255,135,120,3559,1821,1738,85518,21114
平成6,1994,総数,Total,101998,52251,49747,75299,41306,33993,26699,10945,15754,433,252,181,247,144,103,3362,1776,1586,83563,21372
