大項目,Major item,項番 Item number,項目,Item,平成15年度 FY 2003,平成16年度 FY 2004,平成17年度 FY 2005,平成18年度 FY 2006,平成19年度 FY 2007,平成20年度 FY 2008,平成21年度 FY 2009,平成22年度 FY 2010,平成23年度 FY 2011,平成24年度 FY 2012,平成25年度 FY 2013,平成26年度 FY 2014
名目,At current prices,1,都内総生産 (生産側及び支出側),Gross prefectural domestic product (production and expenditure approach),95089.7,97962.8,99361.4,99912.7,100143.9,97112.8,92059.9,91925.7,93397.1,92803.6,94030.6,94902.1
名目,At current prices,2,都内総生産 (生産側及び支出側) (増加率),Gross prefectural domestic product (production and expenditure approach) (Percent changes from previous fiscal year),1.1,3,1.4,0.6,0.2,-3,-5.2,-0.1,1.6,-0.6,1.3,0.9
名目,At current prices,3,国内総生産 (生産側及び支出側),Gross domestic product (production and expenditure approach),501889.1,502760.8,505349.4,509106.3,513023.3,489520.1,473996.4,480527.5,474170.5,474403.7,482430.4,489623.4
名目,At current prices,4,国内総生産 (生産側及び支出側) (増加率),Gross domestic product (production and expenditure approach) (Percent changes from previous fiscal year),0.8,0.2,0.5,0.7,0.8,-4.6,-3.2,1.4,-1.3,0,1.7,1.5
名目,At current prices,5,国に対する都の構成比,Tokyo's percentage,18.9,19.5,19.7,19.6,19.5,19.8,19.4,19.1,19.7,19.6,19.5,19.4
実質 (連鎖方式),Real (Chain-linked),6,都内総生産 (生産側),Gross prefectural domestic product (production approach),94332.8,97503.1,99333.8,100411.5,100949.4,98245.3,94482.8,95618.3,97617.7,98048.6,99996.1,99344.1
実質 (連鎖方式),Real (Chain-linked),7,都内総生産 (生産側) (増加率),Gross prefectural domestic product (production approach) (Percent changes from previous fiscal year),1.9,3.4,1.9,1.1,0.5,-2.7,-3.8,1.2,2.1,0.4,2,-0.7
実質 (連鎖方式),Real (Chain-linked),8,国内総生産 (支出側),Gross domestic product  (expenditure approach),490755.9,497912.6,507158,516038.2,525469.9,505794.7,495558.9,512720.3,514695.1,519540.2,529809.9,524664.3
実質 (連鎖方式),Real (Chain-linked),9,国内総生産 (支出側) (増加率),Gross domestic product (expenditure approach) (Percent changes from previous fiscal year),2.3,1.5,1.9,1.8,1.8,-3.7,-2,3.5,0.4,0.9,2,-1
実質 (連鎖方式),Real (Chain-linked),10,国に対する都の構成比,Tokyo's percentage,19.2,19.6,19.6,19.5,19.2,19.4,19.1,18.6,19,18.9,18.9,18.9
実質（固定基準年方式）,At Current prices  (Fixation),11,都内総生産 (支出側),Gross expenditure in Tokyo-to   (Expenditure approach),92261.1,96904.8,99381.6,100736.5,102180.3,100349.8,96385.3,99614.6,101646,101733,103641.2,102945.8
実質（固定基準年方式）,At Current prices  (Fixation),12,都内総生産 (支出側) (増加率),Gross expenditure in Tokyo-to   (Expenditure approach)  (Rate of year-to-year increase) ,1.1,5,2.6,1.4,1.4,-1.8,-4,3.4,2,0.1,1.9,-0.7
実質（固定基準年方式）,At Current prices  (Fixation),13,国内総生産 (支出側),Gross domestic product  (Expenditure approach) ,491445.5,497508.5,507230.9,516069,526352.9,507025.2,500404.9,527759.6,530480,527913,541802.9,534559.1
実質（固定基準年方式）,At Current prices  (Fixation),14,国内総生産 (支出側) (増加率),Gross domestic product  (Expenditure approach) (Rate of year-to-year increase) ,2,1.2,2,1.7,2,-3.7,-1.3,5.5,0.5,-0.5,2.6,-1.3
実質（固定基準年方式）,At Current prices  (Fixation),15,国に対する都の構成比,Tokyo's percentage,18.8,19.5,19.6,19.5,19.4,19.8,19.3,18.9,19.2,19.3,19.1,19.3
名目,At current prices,16,都民総所得 ,Gross prefectural income,81338.1,82689.6,85854.1,87996.4,88550.3,83861.7,78354.6,78898.5,80122.3,79110.3,81404.4,82159.8
名目,At current prices,17,都民総所得 (増加率),Gross prefectural income (Percent changes from previous fiscal year),2,1.7,3.8,2.5,0.6,-5.3,-6.6,0.7,1.6,-1.3,2.9,0.9
名目,At current prices,18,国民総所得,Gross national income,510419.9,512591.8,518485.3,524200.6,530752.9,504792.3,487066.3,493786.3,488926.7,489799.8,500367.8,510670.4
名目,At current prices,19,国民総所得 (増加率),Gross national income (Percent changes from previous fiscal year),0.9,0.4,1.1,1.1,1.2,-4.9,-3.5,1.4,-1,0.2,2.2,2.1
名目,At current prices,20,国に対する都の構成比,Tokyo's percentage,15.9,16.1,16.6,16.8,16.7,16.6,16.1,16,16.4,16.2,16.3,16.1
実質（固定基準年方式）,At Current prices  (Fixation),21,都民総所得 ,Gross income in Tokyo-to,78918.6,81796.6,85871.6,88721.9,90350.8,86657,82036.1,85497.8,87198.7,86722.2,89724.5,89123.5
実質（固定基準年方式）,At Current prices  (Fixation),22,都民総所得 (増加率),Gross income in Tokyo-to(Rate of year-to-year increase) ,2,3.6,5,3.3,1.8,-4.1,-5.3,4.2,2,-0.5,3.5,-0.7
実質（固定基準年方式）,At Current prices  (Fixation),23,国民総所得,Gross national income,506859.3,511538.5,518482.1,525467,533219,508705.6,507727.7,530819.3,528823.5,526746.6,542576.8,539359
実質（固定基準年方式）,At Current prices  (Fixation),24,国民総所得 (増加率),Gross national income (Rate of year-to-year increase) ,1.9,0.9,1.4,1.3,1.5,-4.6,-0.2,4.5,-0.4,-0.4,3,-0.6
実質（固定基準年方式）,At Current prices  (Fixation),25,国に対する都の構成比,Tokyo's percentage,15.6,16,16.6,16.9,16.9,17,16.2,16.1,16.5,16.5,16.5,16.5
名目,At current prices,26,都民所得 ,Prefectural income,61905.8,62547.8,65264.1,66897.7,66927.3,62338.6,57724.3,58595.6,59707.8,58770.7,60541.6,60415.5
名目,At current prices,27,都民所得 (増加率),Prefectural income (Percent changes from previous fiscal year),2.9,1,4.3,2.5,0,-6.9,-7.4,1.5,1.9,-1.6,3,-0.2
名目,At current prices,28,国民所得,National income,368100.9,370116.6,374125.1,378190.3,381239.2,355038,344384.8,352702.8,349597.1,351174.4,359115.1,364444.1
名目,At current prices,29,国民所得 (増加率),National income (Percent changes from previous fiscal year),1.2,0.5,1.1,1.1,0.8,-6.9,-3,2.4,-0.9,0.5,2.3,1.5
名目,At current prices,30,国に対する都の構成比,Tokyo's percentage,16.8,16.9,17.4,17.7,17.6,17.6,16.8,16.6,17.1,16.7,16.9,16.6
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,,,,,,,,,
16-4 都内総生産と国内総生産等の時系列比較 (平成15～26年度） 16-4 TIME-SERIES COMPARISON OF GROSS PREFECTURAL DOMESTIC PRODUCT，GROSS DOMESTIC PRODUCT， ETC.( Fiscal Years 2003-2014 ),,,,,,,,,,,,,,,,
資料：都総務局統計部調整課 「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,
（単位  金額 10 億円，%）(Value in billions of yen， %),,,,,,,,,,,,,,,,
