年次,Year,月次 ,Month,調査産業計 Industries covered,鉱業，採石業，砂利採取業 Mining and quarruing of stone and gravel,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
平成23,2011,平均,Average,99.3,100.6,103.3,103,93.6,103.8,96.9,96.8,96.3,96.2,98.6,100.6,103.6,97.1,102.1,85.2,95.2
平成24,2012,平均,Average,98.4,81.4,99.4,99.5,91.6,102,101,98.7,97.7,93.4,101.1,100.1,111.4,91.3,98.9,82.2,95.8
平成25,2013,平均,Average,98.9,46.4,99.1,98.2,87.3,100,106.3,100.9,103.7,97.1,94.7,93.5,114.4,93.1,97.7,93.2,97.8
平成26,2014,平均,Average,99.2,15.6,98.1,100.6,84.6,96.8,109.5,101.3,107.2,103,93.4,89.1,110,88.3,96.5,92.4,103.1
平成27,2015,平均,Average,98.8,-,100.2,103.3,86,94.2,107.8,101.6,108.1,104.5,94.8,85.2,97,87.9,95,101.5,102.7
平成27,2015,1,Jan.,79.5,-,80.2,75.9,66.2,74.4,89.9,82,80.6,85.3,79.1,76.3,93,71.3,79.1,76.3,89
平成27,2015,2,Feb.,78.3,-,81.1,76.1,64.6,74.5,89.3,79,80.1,86,72.5,72.7,87.9,69.7,80.5,72.4,88.2
平成27,2015,3,Mar.,88.5,-,84,89.4,70.3,84.4,92.2,88.9,114.5,90.5,79.1,75.8,88.6,74.1,93.2,101.8,91
平成27,2015,4,Apr.,83.5,-,83.5,80.5,77.9,76.9,96.4,87.2,82,96,83.5,80.2,96.4,73.2,83.8,85.3,93.1
平成27,2015,5,May,85.5,-,79.9,79.6,64.7,74.8,92.3,85.6,134.9,82.2,82.6,76.4,85.3,67.1,79,74.3,91.1
平成27,2015,6,June,153.9,-,140.7,162.4,139.4,165.4,153.6,146.1,205.9,161.3,146,92.8,122.2,153.5,138.6,187.2,138.5
平成27,2015,7,July,111.7,-,150.4,138.2,83.7,91.7,133.5,131.3,85.7,106.2,109,100.9,106.8,77.1,101.3,76.2,114.7
平成27,2015,8,Aug.,80.1,-,79,76.7,71.8,75,90.3,82.6,79.7,84.2,87.2,79.5,91.2,68.2,77.6,74.3,91.4
平成27,2015,9,Sept.,80.8,-,80.5,77.9,69.8,77.8,86.8,81.4,88.9,86.6,79.3,80.3,89,70.7,77.3,74.6,90.7
平成27,2015,10,Oct.,82.3,-,83.1,79.9,73.8,75.8,90.8,82.9,86.3,82.3,85.8,81.6,86,73.4,83,82.8,93.5
平成27,2015,11,Nov.,84.2,-,93.5,83.4,72.2,85.5,87.7,86.1,88.7,92.8,74.9,81.1,81.7,69.2,85,79.2,91.3
平成27,2015,12,Dec.,177.8,-,166.5,219.7,177.2,173.9,190.2,185.5,170,201,158.9,124.5,136.1,187.6,162.1,234,160.2
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,
7-9  産業別常用労働者名目賃金指数 (現金給与総額) (平成23～27年) 7-9  NOMINAL WAGE INDICES OF REGULAR WORKERS BY INDUSTRY ( TOTAL CASH EARNINGS ) ( 2011-2015 ),,,,,,,,,,,,,,,,,,,,
「毎月勤労統計地方調査」 による。 本表は，常用労働者30人以上の事業所約1700カ所を対象とした第1種事業所調査の結果である。,,,,,,,,,,,,,,,,,,,,
Data are based on the Monthly Labor Prefectural Survey . In this table，figures are as of 1700 establishments with 30 or more regular workers. ,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
（平成22年平均＝100） (2010 average＝100)  ,,,,,,,,,,,,,,,,,,,,
