年度,Fiscal year,区分,Classification,款,Item,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
平成23,2011,歳入,Revenue,総数,Total,6236000,6320233,5970153
平成24,2012,歳入,Revenue,総数,Total,6149000,6225103,5955489
平成25,2013,歳入,Revenue,総数,Total,6264000,6404744,6130261
平成26,2014,歳入,Revenue,総数,Total,6666708,6789403,6546693
平成27,2015,歳入,Revenue,総数,Total,6952000,7201711,6913752
平成27,2015,歳入,Revenue,都税,Metropolitan taxes,5021557,5205752,5183569
平成27,2015,歳入,Revenue,地方譲与税,Local transfer tax,279664,276717,271981
平成27,2015,歳入,Revenue,助成交付金,Subsidies and grants,30,30,30
平成27,2015,歳入,Revenue,区市町村たばこ税都交付金,Transferred municipal tobacco tax,-,1,1
平成27,2015,歳入,Revenue,地方特例交付金,Special local grants,4874,4874,4700
平成27,2015,歳入,Revenue,特別交付金,Special grants,3284,3284,3102
平成27,2015,歳入,Revenue,分担金及負担金,Beneficiary contribution,14527,13437,9533
平成27,2015,歳入,Revenue,使用料及手数料,Charges and fees,83450,83321,79196
平成27,2015,歳入,Revenue,国庫支出金,National treasury disbursements,378511,405434,346758
平成27,2015,歳入,Revenue,財産収入,Revenue from property,45020,45020,36731
平成27,2015,歳入,Revenue,寄附金,Contributions,71,71,96
平成27,2015,歳入,Revenue,繰入金,Funds transferred,189099,187172,130651
平成27,2015,歳入,Revenue,諸収入,Miscellaneous,482374,484089,574871
平成27,2015,歳入,Revenue,都債,Metropolitan bonds,449539,349733,129759
平成27,2015,歳入,Revenue,繰越金,Balance brought forward,1,142775,142775
平成23,2011,歳出,Expenditure,総数,Total,6236000,6320233,5934573
平成24,2012,歳出,Expenditure,総数,Total,6149000,6225103,5902977
平成25,2013,歳出,Expenditure,総数,Total,6264000,6404744,6049866
平成26,2014,歳出,Expenditure,総数,Total,6666708,6789403,6403918
平成27,2015,歳出,Expenditure,総数,Total,6952000,7201711,6787125
平成27,2015,歳出,Expenditure,議会費,Metropolitan assembly,6169,6169,5633
平成27,2015,歳出,Expenditure,総務費,General services,208062,204758,188047
平成27,2015,歳出,Expenditure,徴税費,Tax collection,66929,66693,63758
平成27,2015,歳出,Expenditure,生活文化費,Citizens and cultural affairs,35510,35492,32757
平成27,2015,歳出,Expenditure,スポーツ振興費,Sports promotion,64272,44929,41190
平成27,2015,歳出,Expenditure,都市整備費,Urban development,157995,119316,105364
平成27,2015,歳出,Expenditure,環境費,Environmental protection,79235,78640,71575
平成27,2015,歳出,Expenditure,福祉保健費,Welfare and public health,1108167,1123597,1055350
平成27,2015,歳出,Expenditure,産業労働費,Industry and labor ,475138,477843,380099
平成27,2015,歳出,Expenditure,土木費,Civil engineering works,549873,476318,387877
平成27,2015,歳出,Expenditure,港湾費,Port and harbor,112479,89565,73462
平成27,2015,歳出,Expenditure,教育費,Education,763754,747526,736105
平成27,2015,歳出,Expenditure,学務費,School affairs,201412,201395,186568
平成27,2015,歳出,Expenditure,警察費,Police,632012,628582,607350
平成27,2015,歳出,Expenditure,消防費,Fire fighting,245932,245448,242120
平成27,2015,歳出,Expenditure,公債費,Debt services,481276,473388,473292
平成27,2015,歳出,Expenditure,諸支出金,Miscellaneous,1758785,2177110,2136578
平成27,2015,歳出,Expenditure,予備費,Reserve funds,5000,4941,-
,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　21  財政 21  PUBLIC FINANCE,,,,,,,,
21-2  一般会計款別予算，決算額 (平成23～27年度) 21-2  BUDGET AND SETTLEMENT BY GENERAL ACCOUNT ITEM ( Fiscal Years 2011-2015 ),,,,,,,,
注．1) 最終予算額は， 前年度からの繰越額を含む。,,,,,,,,
Note.1) The final budget includes the account brought from the previous fiscal year.,,,,,,,,
注．2) 歳出における予備費の決算額は各款への充当額の合計であり， 再掲である。,,,,,,,,
Note.2) Number in parenthesis refer to appropriation for other items.　　,,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,
