年度,Fiscal year,地域階層,地域コード,地域,District,身体障害者手帳交付台帳 Physical impairment certificate ledger data／年度末現在 As of the end of the fiscal year,身体障害者手帳交付台帳 Physical impairment certificate ledger data／新規交付 New issues,身体障害者手帳交付台帳 Physical impairment certificate ledger data／返還 Returned,身体障害者手帳交付台帳 Physical impairment certificate ledger data／他県より転入 In-migrants from other prefectures,身体障害者手帳交付台帳 Physical impairment certificate ledger data／他県へ転出 Out-migrants to other prefectures,身体障害者手帳交付台帳 Physical impairment certificate ledger data／都内より転入 In-migrants  within Tokyo,身体障害者手帳交付台帳 Physical impairment certificate ledger data／都内へ転出 Out-migrants within Tokyo,「愛の手帳」交付数（年度末現在） Intellectual impairment certificates issued (As of the end of the fiscal year) 1)
平成22,2010,0,13000,東京都,Tokyo-to,459200,27777,19870,570,1386,12333,12333,69807
平成23,2011,0,13000,東京都,Tokyo-to,465928,26731,20523,2421,1901,11932,11932,72261
平成24,2012,0,13000,東京都,Tokyo-to,471833,27299,22335,2728,1787,13683,13683,74971
平成25,2013,0,13000,東京都,Tokyo-to,479527,27528,21385,2814,1264,12235,12234,77633
平成26,2014,0,13000,東京都,Tokyo-to,482223,23484,22099,2845,1535,12555,12555,80369
平成26,2014,1,13100,区部,All ku,332029,16069,14964,2028,1139,8642,8818,50808
平成26,2014,2,13101,千代田区,Chiyoda-ku,2357,80,45,23,11,46,43,201
平成26,2014,2,13102,中央区,Chuo-ku,3146,181,157,59,14,153,148,432
平成26,2014,2,13103,港区,Minato-ku,7424,329,239,58,27,263,243,867
平成26,2014,2,13104,新宿区,Shinjuku-ku,13529,642,502,86,53,395,434,1473
平成26,2014,2,13105,文京区,Bunkyo-ku,6325,321,300,55,23,165,178,907
平成26,2014,2,13106,台東区,Taito-ku,10223,392,251,47,35,260,258,929
平成26,2014,2,13107,墨田区,Sumida-ku,9328,529,495,67,44,289,299,1590
平成26,2014,2,13108,江東区,Koto-ku,18652,860,776,150,73,625,594,2904
平成26,2014,2,13109,品川区,Shinagawa-ku,14212,705,635,58,54,263,270,1844
平成26,2014,2,13110,目黒区,Meguro-ku,7718,380,367,42,29,167,197,1201
平成26,2014,2,13111,大田区,Ota-ku,27759,1322,1251,148,65,574,572,4040
平成26,2014,2,13112,世田谷区,Setagaya-ku,24658,1358,1211,182,94,578,619,4052
平成26,2014,2,13113,渋谷区,Shibuya-ku,6729,363,294,37,19,211,237,823
平成26,2014,2,13114,中野区,Nakano-ku,10167,604,519,70,31,309,352,1408
平成26,2014,2,13115,杉並区,Suginami-ku,16354,893,864,92,54,377,434,2437
平成26,2014,2,13116,豊島区,Toshima-ku,10103,502,412,81,38,243,263,1205
平成26,2014,2,13117,北区,Kita-ku,17447,690,634,63,56,325,343,2256
平成26,2014,2,13118,荒川区,Arakawa-ku,9608,404,396,38,23,205,237,1225
平成26,2014,2,13119,板橋区,Itabashi-ku,21087,951,940,154,66,688,640,3579
平成26,2014,2,13120,練馬区,Nerima-ku,23476,1116,1101,103,77,598,577,4498
平成26,2014,2,13121,足立区,Adachi-ku,29832,1421,1511,165,105,813,792,5170
平成26,2014,2,13122,葛飾区,Katsushika-ku,17622,860,884,96,59,418,408,3124
平成26,2014,2,13123,江戸川区,Edogawa-ku,24273,1166,1180,154,89,677,680,4643
平成26,2014,1,13200,市部,All shi,145729,7248,6919,808,386,3767,3648,28791
平成26,2014,2,13201,八王子市,Hachioji-shi,18461,1030,1044,97,45,469,442,4066
平成26,2014,2,13202,立川市,Tachikawa-shi,7164,341,345,34,17,208,203,1375
平成26,2014,2,13203,武蔵野市,Musashino-shi,4244,229,211,28,11,124,125,1083
平成26,2014,2,13204,三鷹市,Mitaka-shi,5575,295,216,31,21,132,140,1086
平成26,2014,2,13205,青梅市,Ome-shi,6031,245,246,29,18,219,154,1021
平成26,2014,2,13206,府中市,Fuchu-shi,8482,423,575,49,17,254,258,1734
平成26,2014,2,13207,昭島市,Akishima-shi,4010,198,191,24,6,112,105,860
平成26,2014,2,13208,調布市,Chofu-shi,8143,370,255,40,18,170,186,1381
平成26,2014,2,13209,町田市,Machida-shi,15527,773,756,122,26,329,326,3279
平成26,2014,2,13210,小金井市,Koganei-shi,3213,201,191,17,9,82,101,647
平成26,2014,2,13211,小平市,Kodaira-shi,6304,304,382,28,22,169,181,1315
平成26,2014,2,13212,日野市,Hino-shi,5944,323,237,38,17,141,132,1176
平成26,2014,2,13213,東村山市,Higashimurayama-shi,7202,288,222,35,22,140,135,1198
平成26,2014,2,13214,国分寺市,Kokubunji-shi,3638,199,128,27,14,65,88,723
平成26,2014,2,13215,国立市,Kunitachi-shi,2497,110,103,13,11,78,84,509
平成26,2014,2,13218,福生市,Fussa-shi,2187,125,79,5,3,60,56,363
平成26,2014,2,13219,狛江市,Komae-shi,2769,155,107,15,6,65,59,442
平成26,2014,2,13220,東大和市,Higashiyamato-shi,3218,169,121,9,7,92,98,609
平成26,2014,2,13221,清瀬市,Kiyose-shi,4345,165,199,27,19,76,72,593
平成26,2014,2,13222,東久留米市,Higashikurume-shi,4568,206,123,16,17,96,103,905
平成26,2014,2,13223,武蔵村山市,Musashimurayama-shi,3233,135,132,8,3,108,95,628
平成26,2014,2,13224,多摩市,Tama-shi,4958,205,217,25,7,161,153,983
平成26,2014,2,13225,稲城市,Inagi-shi,2608,140,196,24,10,75,58,469
平成26,2014,2,13227,羽村市,Hamura-shi,1791,82,87,9,1,76,64,429
平成26,2014,2,13228,あきる野市,Akiruno-shi,2736,152,223,13,9,100,80,655
平成26,2014,2,13229,西東京市,Nishitokyo-shi,6881,385,333,45,30,166,150,1262
平成26,2014,1,13300,郡部,All gun,2819,113,139,6,4,119,58,544
平成26,2014,1,13350,島部,All islands,1646,54,77,3,6,27,31,215
,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,
18-3  身体障害者手帳交付台帳登載状況及び「愛の手帳」交付状況（平成22～26年度） 18-3  DATA FROM THE PHYSICAL IMPAIRMENT CERTIFICATE ISSUE LEDGER AND ISSUE OF THE INTELLECTUAL IMPAIRMENT CERTIFICATE ( Fiscal Years 2010-2014 ),,,,,,,,,,,,,
注 1) 「愛の手帳」交付数の総数は，都外施設に入所している場合等で管轄区市町村が未定の者を含むため，内訳と一致しない。,,,,,,,,,,,,,
Note: 1) The total number of intellectual impairment certificates issued does not match the breakdown because it includes persons who were not under the jurisdiction of a municipality for reasons such as living in facilities outside Tokyo. ,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,
