区分階層,区分,Section,総数 Total,事務 Administrative employees,技術 Technically skilled employees,医療福祉 Health and welfare employees,技能労務 Public field worker
0,総数,Total,37944,14548,8625,8454,6317
1,議会局,Secretariat to the Metropolitan Assembly,148,126,-,-,22
1,知事部局,Governor's Bureaus and Offices,24053,10965,4137,8427,524
2,政策企画局,Office of the Governor for Policy Planning,116,113,3,-,-
2,総務局,Bureau of General Affairs,2487,2269,180,1,37
2,財務局,Bureau of Finance,424,253,166,-,5
2,主税局,Bureau of Taxation,2941,2940,1,-,-
2,生活文化局　　　　　,Bureau of Citizens and Cultural affairs      ,394,329,62,-,3
2,オリンピック・パラリンピック準備局,Bureau of Tokyo 2020 Olympic and Paralympic Games Preparation,214,180,34,-,-
2,都市整備局,Bureau of Urban Development          ,1133,464,669,-,-
2,環境局,Bureau of Environment,473,231,237,-,5
2,福祉保健局,Bureau of Social Welfare and Public Health,4075,1504,463,2035,73
2,産業労働局,Bureau of Industrial and Labor Affairs ,1212,694,478,9,31
2,建設局,Bureau of Construction,2360,903,1421,-,36
2,港湾局,Bureau of Port and Harbor,601,251,305,-,45
2,会計管理局,Bureau of Accounting,114,114,-,-,-
2,青少年・治安対策本部,Office for Youth Affairs and Public Safety,44,43,1,-,-
2,病院経営本部,Office of Metropolitan Hospital Management,6791,385,5,6382,19
2,中央卸売市場,Central Wholesale Market,606,226,110,-,270
2,収用委員会,Secretariat to Expropriation Commission,30,28,2,-,-
2,労働委員会,Secretariat to Labor Relations Commission,38,38,-,-,-
2,公営企業体,Public Enterprises,12898,2688,4434,5,5771
2,交通局,Bureau of Transportation,6516,620,528,5,5363
1,水道局,Bureau of Waterworks,3863,1562,1988,-,313
2,下水道局,Bureau of Sewerage,2519,506,1918,-,95
2,行政委員会事務局,Executive Offices of Administrative Commission ,845,769,54,22,-
2,教育委員会,Board of Education ,663,613,28,22,-
1,選挙管理委員会,Election Administration Commission,25,25,-,-,-
2,人事委員会,Personnel Commission,63,56,7,-,-
2,監査事務局,Audit and Inspection Commissioners,89,73,16,-,-
2,海区漁業調整委員会,Sea Area Fisheries Adjustment Commission,5,2,3,-,-
,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,
22-5  職員数 (1) 都 (平成27年4月1日) 22-5  GOVERNMENT EMPLOYEES (1) TOKYO METROPOLITAN GOVERNMENT ( Apr. 1， 2015 ),,,,,,,
この表の職員数は定数である。,,,,,,,
Number of employees refers to the personnel quota.,,,,,,,
資料：都総務局人事部調査課 Source: Bureau of General Affairs， TMG,,,,,,,
区分階層（0:総数　1:議会局・知事部局・公営企業体・行政委員会事務局　2:区分）,,,,,,,
