年次,Year,月次 ,Month,件数 Total,負債額 (百万円) Liabilities (million yen),業種別件数 Number of cases  by industry／建設業 Construction,業種別件数 Number of cases by industry／製造業 Manufacturing,業種別件数 Number of cases by industry／情報通信業 Information and communications,業種別件数 Number of cases by industry／運輸業，郵便業 Transport and postal services,業種別件数 Number of cases by industry／卸売業 Wholesale,業種別件数 Number of cases by industry／小売業 Retail,業種別件数 Number of cases by industry／不動産業 Real estate,業種別件数 Number of cases by industry／宿泊業，飲食サービス業 Accommodations， eating and drinking services,業種別件数 Number of cases by industry／教育，学習支援業・医療，福祉 Education， learning support， medical， health care and welfare,業種別件数 Number of cases by industry／サービス業 Services,業種別件数 Number of cases by industry／その他 Others,原因別件数 Number of cases by cause／販売不振 Sluggish sales,原因別件数 Number of cases by cause／既往のしわ寄せ (赤字累積) Accumulating deficits,原因別件数 Number of cases by cause／売掛金等回収難 Trouble with account receivable collection,原因別件数 Number of cases by cause／放漫経営 Lax management,原因別件数 Number of cases by cause／過小資本 Insufficient capital,原因別件数 Number of cases by cause／他社倒産の余波 Impact of another company's bankruptcy,原因別件数 Number of cases by cause／信用性低下 Declining credibility,原因別件数 Number of cases by cause／在庫状態悪化 Poor inventory control,原因別件数 Number of cases by cause／設備投資過大 Excessive capital investment,原因別件数 Number of cases by cause／その他 Others
平成27,2015,総数,Total,1797,898813,203,212,214,89,368,171,67,99,22,328,24,1260,206,12,63,31,170,8,3,5,39
平成27,2015,1,Jan.,136,85535,16,17,16,5,21,16,6,8,3,28,-,108,12,2,3,2,8,-,-,-,1
平成27,2015,2,Feb.,127,43953,17,13,17,1,32,10,3,5,1,26,2,85,23,-,5,3,9,-,-,-,2
平成27,2015,3,Mar.,152,31723,16,16,18,3,32,10,3,11,1,41,1,95,20,1,11,4,15,1,-,2,3
平成27,2015,4,Apr.,154,41842,19,21,16,4,38,12,11,6,-,27,-,103,24,-,6,3,10,2,-,1,5
平成27,2015,5,May,126,20136,15,18,13,5,28,11,5,7,2,21,1,87,22,2,2,2,8,-,1,-,2
平成27,2015,6,June,167,45059,12,26,20,4,32,12,4,14,5,38,-,124,11,1,2,2,22,1,-,1,3
平成27,2015,7,July,185,33544,23,17,31,7,38,16,8,11,2,32,-,136,17,-,4,3,16,1,1,-,7
平成27,2015,8,Aug.,130,22123,17,21,19,3,23,12,5,9,2,18,1,96,14,2,6,1,6,-,-,1,4
平成27,2015,9,Sept.,119,189198,10,12,17,5,22,13,4,8,1,21,6,87,16,2,4,2,6,-,1,-,1
平成27,2015,10,Oct.,154,22239,14,18,11,5,46,24,6,6,2,20,2,113,18,1,4,4,8,3,-,-,3
平成27,2015,11,Nov.,160,56946,23,20,19,4,27,18,8,5,-,29,7,116,14,1,6,2,18,-,-,-,3
平成27,2015,12,Dec.,187,306515,21,13,17,43,29,17,4,9,3,27,4,110,15,-,10,3,44,-,-,-,5
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-10  企業倒産状況 （平成27年） 15-10  COMPANY BANKRUPTCIES ( 2015 ),,,,,,,,,,,,,,,,,,,,,,,,,,
倒産した企業のうち負債額1000万円以上のもの。,,,,,,,,,,,,,,,,,,,,,,,,,,
Bankrupt companies with liabilities of 10 million yen or more.,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都産業労働局総務部企画計理課 「東京の企業倒産状況」 ( (株) 東京商工リサーチ調べ) Source: Bureau of Industrial and Labor Affairs， TMG ( Tokyo Shoko Research， Ltd. survey ),,,,,,,,,,,,,,,,,,,,,,,,,,
