年末,End of year,地域階層,地域コード,項番 Item number,地域,District,医師数 Physicians／総数 Total,医師数 Physicians／医療施設の従事者 Medical institution personnel,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院の開設者又は法人の代表者 Hospital founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院(医育機関附属の病院を除く)の勤務者 Hospital employees (excluding university hospitals),医師数 Physicians／医療施設の従事者 Medical institution personnel／医育機関附属の病院の勤務者 University hospital employees,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の開設者又は法人の代表者 Clinic founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の勤務者 Clinic employee,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の開設者又は法人の代表者 Long-term care health facility founder or president,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の勤務者 Long-term care health facility employee,医師数 Physicians／医療施設・介護老人保健施設以外の従事者 Personnel other than those in medical institutions， long-term care health facilities.,医師数 Physicians／その他 Others,医師数 Physicians／不詳／Unknown,歯科医師 Dentist,看護師 Nurse,准看護師 Assistant nurses,薬剤師 Pharmacist,人口10万人あたりの医師数 The number of physicians per population of 100000
平成16 ,2004,0,13000,,東京都,Tokyo-to,34463,32698,400,10957,9359,8462,3520,79,16,63,1418,268,-,15331,67995,17576,37704,278.4
平成18 ,2006,0,13000,,東京都,Tokyo-to,35695,33604,384,11537,9244,8511,3928,101,16,85,1579,409,2,15260,73123,17346,39323,282
平成20,2008,0,13000,,東京都,Tokyo-to,38079,35616,352,12024,10388,8653,4199,138,18,120,1893,432,-,15620,77897,16825,42535,296.6
平成22,2010,0,13000,,東京都,Tokyo-to,39965,37552,355,13004,10741,8894,4558,141,14,127,1875,397,-,16054,86033,16822,44356,303.7
平成24,2012,0,13000,,東京都,Tokyo-to,41498,39116,348,13612,11172,8848,5136,155,25,130,1833,394,-,16045,90336,15377,44718,313.7
平成26,2014,0,13000,,東京都,Tokyo-to,43297,40769,348,13840,12167,9049,5365,170,21,149,1872,486,-,16395,97383,14702,46343,323.4
平成26,2014,1,13100,,区部,All ku,34572,32453,233,10082,10898,6957,4283,80,9,71,1622,417,-,13254,68329,8842,36434,378.1
平成26,2014,2,13101,1,千代田区,Chiyoda-ku,1725,1390,8,501,216,226,439,-,-,-,324,11,-,1626,3121,164,3993,3248.6
平成26,2014,2,13102,2,中央区,Chuo-ku,1309,1214,5,647,-,297,265,2,-,2,62,31,-,583,2159,136,4059,945.2
平成26,2014,2,13103,3,港区,Minato-ku,2798,2571,7,892,912,420,340,3,-,3,193,31,-,785,4739,171,3050,1286.5
平成26,2014,2,13104,4,新宿区,Shinjuku-ku,4622,4308,7,862,2649,379,411,1,-,1,278,35,-,722,6499,234,2733,1382.3
平成26,2014,2,13105,5,文京区,Bunkyo-ku,4575,4263,2,353,3639,180,89,-,-,-,274,38,-,1048,5429,79,1800,2124.9
平成26,2014,2,13106,6,台東区,Taito-ku,424,403,2,129,-,165,107,2,-,2,8,11,-,306,995,245,522,229.5
平成26,2014,2,13107,7,墨田区,Sumida-ku,694,683,7,441,-,161,74,3,-,3,7,1,-,245,1903,280,669,272.1
平成26,2014,2,13108,8,江東区,Koto-ku,1241,1175,10,461,220,252,232,1,-,1,47,18,-,422,2530,359,1169,257.2
平成26,2014,2,13109,9,品川区,Shinagawa-ku,1445,1332,7,350,494,311,170,1,-,1,101,11,-,532,2697,205,2081,385.6
平成26,2014,2,13110,10,目黒区,Meguro-ku,1104,1071,6,463,265,234,103,1,-,1,15,17,-,370,2469,111,815,400.4
平成26,2014,2,13111,11,大田区,Ota-ku,1841,1774,12,585,556,444,177,7,-,7,49,11,-,1064,4569,656,1605,260.5
平成26,2014,2,13112,12,世田谷区,Setagaya-ku,1977,1858,15,860,73,675,235,10,2,8,82,27,-,865,4676,602,1881,220
