年度,Fiscal year,地域階層,地域コード,項番 Item number,地域,District,ごみ Refuse volume／排出量 Discharged／総計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／可燃ごみ Combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量Volume collected and carried-in／不燃ごみ Non-combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／粗大ごみ Large-sized refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／資源ごみ Recyclable refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Collected and carried-in refuse／有害ごみ Toxic refuse (t),ごみ Refuse volume／排出量 Discharged／集団回収量 Group-collection recyclables (t),ごみ Refuse volume／排出量 Discharged／ピックアップ回収量 Recyclables recovered from refuse (t),ごみ Refuse volume／中間処分量 Intermediate disposal／焼却 Incinerated (t),ごみ Refuse volume／中間処分量 Intermediate disposal／その他 Others (t),ごみ Refuse volume／最終処分量 Final disposal (t),ごみ Refuse volume／総資源化量 Total recycled amount (t),し尿 Human waste／排出量 Discharged (kl),し尿 Human waste／処分量 Disposed (kl)
平成24,2012,0,13000,,東京都,Tokyo-to,4583769,4288796,3465814,148673,92082,580721,1506,294973,…,3582799,865227,359481,1061952,106054,106054
平成25,2013,0,13000,,東京都,Tokyo-to,4571648,4280859,3450917,142231,91560,594625,1527,290789,…,3566119,866616,355498,1068760,98768,98768
平成26,2014,0,13000,,東京都,Tokyo-to,4517456,4229251,3428197,128123,84801,586574,1556,272750,15455,3539411,840003,351805,1046412,95579,95579
平成26,2014,1,13100,,区部,All ku　,3333194,3115387,2663356,64793,55169,332069,-,202352,15455,2704870,493058,345770,614287,15603,15603
平成26,2014,2,13101,1,千代田区,Chiyoda-ku ,21392,20489,15353,644,495,3997,-,904,-,…,…,…,…,…,…
平成26,2014,2,13102,2,中央区,Chuo-ku,46389,41682,32272,1470,1307,6633,-,4697,11,…,…,…,…,…,…
平成26,2014,2,13103,3,港区,Minato-ku ,75984,69057,49754,1780,1906,15618,-,6343,584,…,…,…,…,…,…
平成26,2014,2,13104,4,新宿区,Shinjuku-ku,93607,87134,67924,2861,2376,13973,-,6198,275,…,…,…,…,…,…
平成26,2014,2,13105,5,文京区,Bunkyo-ku ,58071,51719,40510,1692,1283,8233,-,6001,352,…,…,…,…,…,…
平成26,2014,2,13106,6,台東区,Taito-ku ,57108,51746,41263,2877,1315,6291,-,5358,3,…,…,…,…,…,…
