区分階層,項番 Item number,裁判所,Court,略号,Abbreviation,新受 Newly received (A)／総数 Total,新受 Newly received (A)／検察官の起訴 Prosecuted by public prosecutors,新受 Newly received (A)／その他 Others,既済 Disposed／総数 (B) Total,既済 Disposed／有罪 (C) Guilty,既済 Disposed／有罪 (C) Guilty／執行猶予を付したもの With suspension of sentence,既済 Disposed／有罪 (C) Guilty／執行猶予を付したもの With suspension of sentence／執行猶予のうちの保護観察 Under probation,既済 Disposed／無罪 (D) Not guilty,既済 Disposed／その他 (E) Others,既済 Disposed／同一被告人に関する事件の併合 Joinder of actions against the same defendant,未済 (F) Pending
0,,総数,Total,通,R,10859,…,…,10465,7779,4455,378,6,186,2496,3480
0,,総数,Total,略,S,21422,…,…,21398,21394,-,-,-,4,-,720
1,,地方裁判所,District Court,通,R,9555,…,…,9079,6600,3744,276,4,121,2354,3298
2,1,東京,Tokyo,通,R,7763,…,…,7417,5353,3041,234,3,96,1965,2668
2,2,立川支部,Tachikawa Branch,通,R,1792,…,…,1662,1247,703,42,1,25,389,630
1,,簡易裁判所,Summary Court,通,R,1304,…,…,1386,1179,711,102,2,65,142,182
1,,簡易裁判所,Summary Court,略,S,21422,…,…,21398,21394,-,-,-,4,-,720
2,1,東京,Tokyo,通,R,1176,…,…,1259,1081,654,95,2,53,125,158
2,1,東京,Tokyo,略,S,15301,…,…,15407,15403,-,-,-,4,-,590
2,2,八丈島,Hachijojima ,通,R,-,…,…,-,-,-,-,-,-,-,-
2,2,八丈島,Hachijojima ,略,S,9,…,…,9,9,-,-,-,-,-,-
2,3,伊豆大島,Izu-oshima,通,R,-,…,…,-,-,-,-,-,-,-,-
2,3,伊豆大島,Izu-oshima,略,S,1,…,…,1,1,-,-,-,-,-,-
2,4,新島,Niijima,通,R,-,…,…,-,-,-,-,-,-,-,-
2,4,新島,Niijima,略,S,-,…,…,-,-,-,-,-,-,-,-
2,5,八王子,Hachioji,通,R,45,…,…,47,35,22,2,-,2,10,8
2,5,八王子,Hachioji,略,S,534,…,…,525,525,-,-,-,-,-,9
2,6,立川 ,Tachikawa,通,R,8,…,…,8,7,-,-,-,1,-,4
2,6,立川 ,Tachikawa,略,S,4322,…,…,4215,4215,-,-,-,-,-,107
2,7,武蔵野 ,Musashino ,通,R,52,…,…,52,41,23,3,-,8,3,8
2,7,武蔵野 ,Musashino ,略,S,621,…,…,621,621,-,-,-,-,-,-
2,8,青梅,Ome,通,R,-,…,…,-,-,-,-,-,-,-,-
2,8,青梅,Ome,略,S,252,…,…,238,238,-,-,-,-,-,14
2,9,町田,Machida ,通,R,23,…,…,20,15,12,2,-,1,4,4
2,9,町田,Machida ,略,S,382,…,…,382,382,-,-,-,-,-,-
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,
20-8  刑事事件の種類，手続，裁判所別人員 （平成27年） 20-8  DEFENDANTS BY TYPE OF CRIMINAL CASE， COURT PROCEEDING， AND COURT ( 2015 ),,,,,,,,,,,,,,,,
この表の数字は再審事件を含む。,,,,,,,,,,,,,,,,
Figures in this table include retrial cases.,,,,,,,,,,,,,,,,
注 1)  表側の略号のうち 「通」 は通常第一審事件， 「略」 は略式事件をいう。,,,,,,,,,,,,,,,,
2)  表頭のうち，(Ａ)，(B)及び(F)は延べ人員である。また， (C)，（D)及び（E)は実人員である。,,,,,,,,,,,,,,,,
"Note: 1) Abbreviations ""R"" and ""S"" indicate ordinary cases of the court of first instance and summary proceeding cases， respectively.",,,,,,,,,,,,,,,,
2) Figures in (A)， (B)， and (F) are the total numbers of persons， while those in (C)， (D)， and (E) indicate the actual numbers of persons. ,,,,,,,,,,,,,,,,
資料：東京地方裁判所事務局総務課 Source: Tokyo District Court,,,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,,,,,,,
