年次,Year,月次 ,Month,調査産業計 Industries covered,鉱業，採石業，砂利採取業 Mining and quarruing of stone and gravel,建設業 Construction,製造業 Manufacturing,電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.
平成23,2011,平均,Average,99.8,101.1,103.8,103.5,94.1,104.3,97.4,97.3,96.8,96.7,99.1,101.1,104.1,97.6,102.6,85.6,95.7
平成24,2012,平均,Average,99.4,82.2,100.4,100.5,92.5,103,102,99.7,98.7,94.3,102.1,101.1,112.5,92.2,99.9,83,96.8
平成25,2013,平均,Average,99.7,46.8,99.9,99,88,100.8,107.2,101.7,104.5,97.9,95.5,94.3,115.3,93.9,98.5,94,98.6
平成26,2014,平均,Average,97.1,15.3,96,98.4,82.8,94.7,107.1,99.1,104.9,100.8,91.4,87.2,107.6,86.4,94.4,90.4,100.9
平成27,2015,平均,Average,95.7,-,97.1,100.1,83.3,91.3,104.5,98.4,104.7,101.3,91.9,82.6,94,85.2,92.1,98.4,99.5
平成27,2015,1,Jan.,77.3,-,77.9,73.8,64.3,72.3,87.4,79.7,78.3,82.9,76.9,74.1,90.4,69.3,76.9,74.1,86.5
平成27,2015,2,Feb.,76.3,-,79,74.2,63,72.6,87,77,78.1,83.8,70.7,70.9,85.7,67.9,78.5,70.6,86
平成27,2015,3,Mar.,85.8,-,81.4,86.6,68.1,81.8,89.3,86.1,110.9,87.7,76.6,73.4,85.9,71.8,90.3,98.6,88.2
平成27,2015,4,Apr.,80.6,-,80.6,77.7,75.2,74.2,93.1,84.2,79.2,92.7,80.6,77.4,93.1,70.7,80.9,82.3,89.9
平成27,2015,5,May,82.4,-,77,76.7,62.3,72.1,88.9,82.5,130,79.2,79.6,73.6,82.2,64.6,76.1,71.6,87.8
平成27,2015,6,June,148.8,-,136.1,157.1,134.8,160,148.5,141.3,199.1,156,141.2,89.7,118.2,148.5,134,181,133.9
平成27,2015,7,July,108.3,-,145.9,134,81.2,88.9,129.5,127.4,83.1,103,105.7,97.9,103.6,74.8,98.3,73.9,111.3
平成27,2015,8,Aug.,77.5,-,76.5,74.2,69.5,72.6,87.4,80,77.2,81.5,84.4,77,88.3,66,75.1,71.9,88.5
平成27,2015,9,Sept.,78.1,-,77.9,75.3,67.5,75.2,83.9,78.7,86,83.8,76.7,77.7,86.1,68.4,74.8,72.1,87.7
平成27,2015,10,Oct.,79.6,-,80.4,77.3,71.4,73.3,87.8,80.2,83.5,79.6,83,78.9,83.2,71,80.3,80.1,90.4
平成27,2015,11,Nov.,81.7,-,90.8,81,70.1,83,85.1,83.6,86.1,90.1,72.7,78.7,79.3,67.2,82.5,76.9,88.6
平成27,2015,12,Dec.,172.6,-,161.7,213.3,172,168.8,184.7,180.1,165,195.1,154.3,120.9,132.1,182.1,157.4,227.2,155.5
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,,,,
7-10  産業別常用労働者実質賃金指数 (現金給与総額)  (平成23～27年) 7-10  REAL WAGE INDICES OF REGULAR WORKERS BY INDUSTRY ( TOTAL CASH EARNINGS ) ( 2011-2015 ),,,,,,,,,,,,,,,,,,,,
「毎月勤労統計地方調査」 による。 本表は，常用労働者30人以上の事業所約1700カ所を対象とした第1種事業所調査の結果である。,,,,,,,,,,,,,,,,,,,,
Data are based on the Monthly Labor Prefectural Survey . In this table，figures are as of 1700 establishments with 30 or more regular workers. ,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「東京都の賃金、労働時間及び雇用の動き」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
 （平成22年平均＝100）   (2010 average＝100)  ,,,,,,,,,,,,,,,,,,,,
