年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成25,2013,13200,,市部,All shi,1399474,10347,163153,655304,112921,6476,2793,8804,138541,50508,158372,49,92040,164
平成26,2014,13200,,市部,All shi,1457790,10505,170308,690236,117303,6433,3535,9100,140142,52327,166955,271,90264,410
平成27,2015,13200,,市部,All shi,1497851,11007,172946,714011,120472,6044,3323,11748,144411,54692,174939,406,83373,480
平成27,2015,13201,1,八王子市,Hachioji-shi,191287,785,16373,96598,16101,364,564,2046,20022,6750,19002,-,12682,-
平成27,2015,13202,2,立川市,Tachikawa-shi,74877,497,9018,35725,5500,542,141,480,7848,2982,8339,-,3807,-
平成27,2015,13203,3,武蔵野市,Musashino-shi,65560,474,10364,24587,9097,242,74,497,8846,2003,7453,-,1924,-
平成27,2015,13204,4,三鷹市,Mitaka-shi,69445,543,8791,32936,3816,158,177,445,5359,2221,10599,7,3915,480
平成27,2015,13205,5,青梅市,Ome-shi,49623,434,6050,24037,4521,14,340,473,3543,1751,5161,379,2920,-
平成27,2015,13206,6,府中市,Fuchu-shi,95517,558,11249,45871,6489,522,144,491,11654,2927,11171,-,4441,-
平成27,2015,13207,7,昭島市,Akishima-shi,41910,385,4774,20476,3333,399,38,377,3778,1525,4682,-,2144,-
平成27,2015,13208,8,調布市,Chofu-shi,85554,537,12228,39933,4905,268,95,473,11165,2666,9660,-,3625,-
平成27,2015,13209,9,町田市,Machida-shi,142853,719,16719,71596,13135,353,323,1062,10709,4995,17228,-,6013,-
平成27,2015,13210,10,小金井市,Koganei-shi,38542,392,4773,17475,4170,310,37,243,3406,1684,3310,-,2741,-
平成27,2015,13211,11,小平市,Kodaira-shi,61549,495,6325,30946,4737,170,105,272,4776,2347,7938,10,3429,-
平成27,2015,13212,12,日野市,Hino-shi,64394,437,6401,28924,5868,239,124,589,8698,2555,7462,2,3094,-
平成27,2015,13213,13,東村山市,Higashimurayama-shi,51375,380,4271,26710,3518,393,88,276,4471,1790,5509,-,3969,-
平成27,2015,13214,14,国分寺市,Kokubunji-shi,41706,366,5090,18080,3773,180,72,153,5101,2180,4513,0,2198,-
平成27,2015,13215,15,国立市,Kunitachi-shi,30560,343,4257,13808,1833,159,41,328,4346,1220,2827,-,1399,-
平成27,2015,13218,16,福生市,Fussa-shi,23579,298,3092,11031,2169,187,44,254,1853,1271,2569,-,811,-
平成27,2015,13219,17,狛江市,Komae-shi,28277,333,3709,13469,1890,68,31,180,2107,1137,3160,-,2193,-
平成27,2015,13220,18,東大和市,Higashiyamato-shi,30732,323,4141,15856,2267,40,50,192,1505,1106,3719,-,1533,-
平成27,2015,13221,19,清瀬市,Kiyose-shi,28346,279,3448,15575,1758,106,90,165,936,1021,2932,2,2034,-
平成27,2015,13222,20,東久留米市,Higashikurume-shi,38379,333,4004,19682,2850,195,68,242,3173,1759,3444,-,2628,-
平成27,2015,13223,21,武蔵村山市,Musashimurayama-shi,27425,287,2967,14836,1821,63,69,249,2236,972,2721,-,1204,-
平成27,2015,13224,22,多摩市,Tama-shi,54529,408,7709,25323,3775,260,66,494,3822,1922,8675,-,2075,-
平成27,2015,13225,23,稲城市,Inagi-shi,33758,328,2760,13052,2937,125,84,401,4821,1461,5815,-,1974,-
平成27,2015,13227,24,羽村市,Hamura-shi,22051,271,2909,10230,1944,145,52,333,1754,898,2309,-,1206,-
平成27,2015,13228,25,あきる野市,Akiruno-shi,31843,299,4514,12640,3037,180,313,686,2849,1135,3140,6,3045,-
平成27,2015,13229,26,西東京市,Nishitokyo-shi,74178,504,7010,34615,5229,359,93,348,5631,2416,11603,-,6370,-
平成25,2013,13300,,郡部,All gun,31823,490,5426,9303,2946,331,1186,1024,3798,1266,4466,73,1514,0
平成26,2014,13300,,郡部,All gun,32660,487,4572,9961,2891,333,1508,1406,3934,1366,4564,178,1459,-
平成27,2015,13300,,郡部,All gun,32210,508,4944,10180,3034,328,1525,965,4585,1559,3144,25,1412,-
平成27,2015,13303,1,瑞穂町,Mizuho-machi,13413,182,1746,4839,1448,131,49,110,1989,747,1653,-,519,-
平成27,2015,13305,2,日の出町,Hinode-machi,8865,148,1309,3623,712,80,239,189,859,415,728,2,562,-
平成27,2015,13307,3,檜原村,Hinohara-mura,3517,76,816,653,274,61,455,95,510,178,289,23,87,-
平成27,2015,13308,4,奥多摩町,Okutama-machi,6415,102,1073,1065,601,57,782,571,1227,219,475,-,245,-
平成25,2013,13350,,島部,All islands,37968,449,7855,6076,8158,488,1739,1696,2978,1613,3215,548,3044,110
平成26,2014,13350,,島部,All islands,38249,445,7581,5636,8930,441,2290,1784,3603,1297,2876,480,2762,125
平成27,2015,13350,,島部,All islands,37601,457,7512,5734,4993,453,2202,2356,3929,2498,3643,1072,2635,118
平成27,2015,13361,1,大島町,Oshima-machi,10356,83,1628,1601,1172,102,388,992,1366,610,709,1029,657,17
平成27,2015,13362,2,利島村,Toshima-mura,1073,22,231,145,131,29,188,131,39,67,52,-,39,-
