年度,Fiscal year,会計階層,会計,Account,当初予算額 Original budget,最終予算額 Final budget 1) ,決算額 Settlement
平成23,2011,0,総数,Total,11764184,11947440,11246029
平成24,2012,0,総数,Total,11774245,12004140,11176819
平成25,2013,0,総数,Total,12083829,12422398,11763967
平成26,2014,0,総数,Total,13339433,13587296,12754537
平成27,2015,0,総数,Total,13870594,14391307,13413243
平成27,2015,1,一般会計,General account,6952000,7201711,6787125
平成27,2015,1,特別会計,Special accounts,4704549,4915414,4795363
平成27,2015,2,特別区財政調整,Financial adjustments for ku,974258,996357,996356
平成27,2015,2,地方消費税清算,Local consumption tax adjustment,1888945,2066990,2009191
平成27,2015,2,小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,463,463,-
平成27,2015,2,母子父子福祉貸付資金,Single parent welfare loan funds,4732,4732,3228
平成27,2015,2,心身障害者扶養年金,Annuity for the mentally or physically impaired,5569,5569,5424
平成27,2015,2,中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.， funds,2729,2729,1381
平成27,2015,2,林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,52,52,0
平成27,2015,2,沿岸漁業改善資金助成,Coastal fishery improvement subsidies,48,48,0
平成27,2015,2,と場,Slaughter house,6601,6601,5804
平成27,2015,2,都営住宅等事業,Metropolitan public housing， etc.,176208,185540,164689
平成27,2015,2,都営住宅等保証金,Metropolitan public housing， etc.， security deposits,4543,4543,4016
平成27,2015,2,都市開発資金,Urban development funds,3474,3474,2387
平成27,2015,2,用地,Land acquisition,25218,25367,14275
平成27,2015,2,公債費,Debt services,1598569,1598569,1583478
平成27,2015,2,臨海都市基盤整備事業,Waterfront urban infrastructure development,13140,14379,5133
平成27,2015,1,公営企業会計,Public enterprise accounts,2214045,2274182,1830755
平成27,2015,2,病院,Hospital,182991,182991,171184
平成27,2015,2,中央卸売市場,Central Wholesale Market,270138,287700,137752
平成27,2015,2,都市再開発事業,Urban redevelopment,145371,146042,1489
平成27,2015,2,臨海地域開発事業,Waterfront area development ,70272,75248,68862
平成27,2015,2,港湾事業,Port and harbor,8620,8885,5714
平成27,2015,2,交通事業,Transportation,71692,71692,63481
平成27,2015,2,高速電車事業,Railway,256336,258790,231973
平成27,2015,2,電気事業,Electric power,2212,2412,1984
平成27,2015,2,水道事業,Waterworks,455437,462837,430467
平成27,2015,2,工業用水道事業,Industrial waterworks,2169,2169,1854
平成27,2015,2,下水道事業,Sewerage,748807,775417,715995
,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-1 会計別予算，決算額 (平成23～27年度) (歳出) 21-1  BUDGET AND SETTLEMENT BY ACCOUNT ( Fiscal Years 2011-2015 ) ( EXPENDITURE ),,,,,,,
注1) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,
2) 公営企業会計は，収益的支出額及び資本的支出額の合算額である。 ,,,,,,,
Note:1) The final budget includes the balance brought forward from the previous fiscal year.,,,,,,,
2) The Public enterprise accounts are the sum of revenue expenditure and capital expenditure.,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,
会計階層（0:総数　1:一般会計・特別会計・公営企業会計　2:会計）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
