年次,Year,区分階層,種類,Kind,東京地方裁判所 Tokyo District Court／新受 Newly received,東京地方裁判所 Tokyo District Court／既済 Disposed,東京地方裁判所 Tokyo District Court／未済 Pending,立川支部 Tachikawa Branch／新受 Newly received,立川支部 Tachikawa Branch／既済 Disposed,立川支部 Tachikawa Branch／未済 Pending
平成23,2011,0,総数,Total,14825,15176,2503,4334,4506,403
平成24,2012,0,総数,Total,13669,13987,2185,3902,3977,328
平成25,2013,0,総数,Total,12398,12586,1997,3554,3551,331
平成26,2014,0,総数,Total,10541,10598,1940,2993,2975,349
平成27,2015,0,総数,Total,9591,9743,1788,3100,3104,345
平成27,2015,1,執行イ,Type A,2446,2418,288,673,669,76
平成27,2015,2,動産執行,Execution against movables ,2435,2409,283,671,667,76
平成27,2015,2,動産競売,Auction of movables,11,9,5,2,2,-
平成27,2015,1,執行ロ,Type B,3778,3867,567,1106,1100,127
平成27,2015,2,不動産等の引渡し,Delivery of immovables， etc.,3608,3667,517,1071,1073,115
平成27,2015,2,動産の引渡し,Delivery of movables,31,32,4,20,20,1
平成27,2015,2,船舶国籍証書等の取り上げ,Confiscation of vessel nationality certificates， etc.,2,2,-,-,-,-
平成27,2015,2,自動車・建設機械の引渡し,Delivery of automobiles and construction machinery,42,49,2,1,1,-
平成27,2015,2,代替執行,Execution by substitute ,81,113,20,7,5,2
平成27,2015,2,援助（民執法6Ⅱ等）,Assistance (Civil Execution Act 6 II， etc.),-,-,-,-,-,-
平成27,2015,2,保全処分（民執法55Ⅰ等）,Temporary restraining order (Civil Execution Act 55 I， etc.),12,-,16,7,-,7
平成27,2015,2,強制管理の管理人等,Administrator of sequestration， etc.,2,4,8,-,1,2
平成27,2015,1,執行ハ,Type C,564,648,751,80,90,38
平成27,2015,2,仮差押え,Provisional seizure ,22,12,19,1,2,1
平成27,2015,2,仮処分,Provisional disposition,539,633,732,79,88,37
平成27,2015,2,特別法による保全処分,Temporary restraining order under special laws,3,3,-,-,-,-
平成27,2015,1,不動産等売却,Sale of real property， etc.,1271,1275,71,545,544,57
平成27,2015,2,不動産・船舶・航空機,Real property， vessels， aircraft,1264,1268,71,545,544,57
平成27,2015,2,自動車・建設機械,Automobiles and construction machinery,5,5,-,-,-,-
平成27,2015,2,債権その他の財産権,Claims and other property rights,2,2,-,-,-,-
平成27,2015,1,現況調査等,Investigation into the current status， etc.,1532,1535,111,696,701,47
平成27,2015,2,現況調査,Investigation into the current status,1532,1535,111,696,701,47
平成27,2015,2,評価,Evaluation,-,-,-,-,-,-
平成27,2015,1,内覧,Preliminary inspection,-,-,-,-,-,-
平成27,2015,1,提訴前現況調査,Investigation prior to filing suits,-,-,-,-,-,-
平成27,2015,1,その他,Others,-,-,-,-,-,-
平成27,2015,2,拒絶証書の作成等,Preparation of certificates of refusal， etc.,-,-,-,-,-,-
平成27,2015,2,財産調査の援助・立会い・封印等,Asset investigation assistance， attendance， sealing， etc.,-,-,-,-,-,-
,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,
20-3  執行官事務の種類別件数 （平成23～27年） 20-3 WORK OF COURT ENFORCEMENT OFFICERS BY KIND ( 2011-2015 ),,,,,,,,,,
資料：東京地方裁判所事務局総務課 Source: Tokyo District Court,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,
