年次,Year,月次,Month,平均海面気圧 Average atmospheric pressure (sea level) (hPa),気温 Temperature／平均 Average (℃),気温 Temperature／最高気温平均 Average highs (℃) ,気温 Temperature／最低気温平均 Average lows (℃),湿度 Humidity／平均 Average (%),湿度 Humidity／最小湿度 Minimum humidity／湿度 Humidity (%),湿度 Humidity／最小湿度 Minimum humidity／年／月／日 Year／Month／Date,平均雲量 Average amount of clouds (0-10),日照 Sunshine／日照時間 Duration of sunshine (Hour),日照 Sunshine／日照率 Percentage of sunshine (%),風速 Wind speed／平均 Average (m／s),風速 Wind speed／最大風速 Maximum wind speed／風速 Speed (m／s),風速 Wind speed／最大風速 Maximum wind speed／方向 Direction,風速 Wind speed／最大風速 Maximum wind speed／年／月／日 Year／Month／Date,降水 Precipitation／総数 Total precipitation (mm),降水 Precipitation／最大日量 Maximum daily precipitation／降水量 Precipitation (mm),降水 Precipitation／最大日量 Maximum daily precipitation／年／月／日 Year／Month／Date,降水 Precipitation／日数 Number of days／≧0.5mm,降水 Precipitation／日数 Number of days／≧1.0mm,降水 Precipitation／日数 Number of days／≧10mm,降水 Precipitation／日数 Number of days／≧30mm,天気日数 Weather days／快晴 Clear,天気日数 Weather days／曇天 Cloudy,天気日数 Weather days／雨 Rainy,天気日数 Weather days／雪 Snowy,天気日数 Weather days／積雪 Snow cover,天気日数 Weather days／霧 Fog,天気日数 Weather days／雷 Thunder storm,天気日数 Weather days／不照 No sunshine,天気日数 Weather days／風速10m以上 Maximum wind speed 10m／s or more,地震回数（震度1以上） Earthquakes on record (seismic intensity of one or greater)
平成27,2015,5,May,1009.7,21.1,26.4,16.6,62,12,2015-05-11,6.9,240.6,55,3.2,10.1,南南西 SSW,2015-05-04,88,58.5,2015-05-12,7,6,1,1,3,13,7,-,-,-,1,3,2,12
平成27,2015,6,June,1008.4,22.1,26.4,18.6,75,22,2015-06-04,8.9,137.3,32,2.7,8.2,南東 SE,2015-06-18,195.5,33,2015-06-09,15,12,9,2,-,23,15,-,-,-,1,4,-,2
平成27,2015,7,July,1009.3,26.2,30.1,23.2,80,42,2015-07-14， 2015-07-31,7.5,181.8,41,3.1,10.7,南南西 SSW,2015-07-22,234.5,67.5,2015-07-03,14,12,8,2,-,18,14,-,-,-,2,7,2,6
平成27,2015,8,Aug.,1009.4,26.7,30.5,23.9,78,42,2015-08-07,7.7,137.6,33,2.8,8.9,南 S,2015-08-17,103.5,35.5,2015-08-26,13,12,2,2,1,18,13,-,-,-,2,6,-,7
平成27,2015,9,Sept.,1012.4,22.6,26.4,19.8,79,22,2015-09-30,8.3,113.3,30,2.5,9.1,南 S,2015-09-02,503.5,156.5,2015-09-09,15,15,9,6,-,18,15,-,-,-,5,6,-,5
平成27,2015,10,Oct.,1015.4,18.4,22.7,14.8,66,22,2015-10-25,6.2,181.3,52,2.8,10.9,南南西 SSW,2015-10-01， 2015-10-02,57,22,2015-10-02,6,5,2,-,3,10,6,-,-,-,1,2,3,4
平成27,2015,11,Nov.,1021.2,13.9,17.8,10.7,74,17,2015-11-27,7.1,120.1,39,2.2,8.2,北北西 NNW,2015-11-24,139.5,38,2015-11-02,13,12,5,1,4,15,13,-,-,-,-,9,-,3
平成27,2015,12,Dec.,1019.3,9.3,13.4,5.8,57,22,2015-12-29,5.7,162,54,2.5,11,南南西 SSW,2015-12-11,82.5,64,2015-12-11,7,7,1,1,4,8,7,-,-,-,-,3,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑 （平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5  気象概況 （平成5～27年） 1-5  CLIMATE ( 1993-2015 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表の気圧，気温，湿度の平均値は1～24時毎正時の24回平均，雲量は 3，9，15，21時の4回平均である。最高気温平均と最低気温平均は毎日の最高，最低の1カ月の平均値を示し，平均風速は毎10分の144回平均 （ただし平成20年6月までは24時間の全風程から求めた)，天気日数における「快晴日」は日平均雲量1.5未満，「曇天日」は日平均雲量8.5以上をいう。雲量は雲が全天を占める時を10とし全天に対する雲の占める比である。各年の雪日数及び積雪日数は，前年8月から当年7月までの期間で算出している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average atmospheric pressure， temperature， and humidity are the average of 24 observations a day  (at every hour on the hour) and average cloudiness is the average of  4 observations (at 3， 9， 15 and 21hours). Average maximum and minimum temperatures are the monthly averages of daily highs and lows. Average wind speed is the average of 144 observations a day taken every 10 minutes (but are 24 hour averages up to June 2008). “Clear days” are days with an average amount of clouds less than 1.5， and “cloudy days” 8.5 or more. “Average amount of clouds” shows the ratio of cloudiness， assuming this to be 10 when clouds cover the entire sky. The number of snowy days and snow cover days of each year are derived over the period from the previous August to July of the stated year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：気象庁ホームページ（地震回数は千代田区大手町の観測所で観測した地震回数） Source: Japan Meteorological Agency website  (earthquake frequency data from Otemachi monitoring station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
