年度,Fiscal year,種類 ,Kind,発生量 Generated,有償物量 Valuables recovered,排出量 Discharged,直接再生利用量 Direct recycle use 1,直接最終処分量 Direct final disposal 2,中間処理 Intermediate processing ／処理量 Processed 3,中間処理 Intermediate processing／処理残さ量 Residues 4,中間処理 Intermediate processing／処理後再生利用量 Recycled after processing 5,中間処理 Intermediate processing／最終処分量 Final disposal 6,再生利用量 Recycled 1＋5,減量化量 Reduced disposal 3-4,最終処分量 Final disposal 2＋6
平成22,2010,総数 ,Total,22755,190,22565,92,120,22499,7273,6461,666,6553,15226,786
平成23,2011,総数 ,Total,23887,133,23754,44,412,23298,7203,6584,619,6628,16095,1031
平成24,2012,総数 ,Total,23644,78,23566,48,203,23315,7820,7146,674,7194,15495,877
平成25,2013,総数 ,Total,24738,146,24592,15,61,24516,9365,8679,685,8694,15152,747
平成26,2014,総数 ,Total,24812,138,24674,36,69,24569,9875,9240,635,9276,14694,704
平成26,2014,燃えがら ,Cinder,15,-,15,-,8,7,6,5,1,5,1,9
平成26,2014,汚でい ,Sludge,16179,2,16177,1,5,16171,1874,1751,123,1752,14297,128
平成26,2014,廃油 ,Waste oil,28,4,24,-,-,24,4,4,-,4,20,-
平成26,2014,廃酸 ,Waste acid,8,-,8,-,-,8,2,2,-,2,6,-
平成26,2014,廃アルカリ ,Waste alkaline,9,-,9,-,-,9,2,2,-,2,7,-
平成26,2014,廃プラスチック類 ,Waste plastics,356,19,337,-,6,331,239,205,34,205,92,40
平成26,2014,紙くず ,Paper scrap,79,30,49,1,-,48,20,20,-,21,28,-
平成26,2014,木くず ,Wood scrap,383,-,383,-,-,383,278,275,3,275,105,3
平成26,2014,繊維くず ,Textile scrap,6,-,6,-,-,6,1,1,-,1,5,-
平成26,2014,動植物性残さ ,Plant and animal scraps,53,10,43,-,-,43,21,20,1,20,22,1
平成26,2014,ゴムくず ,Rubber scrap,-,-,-,-,-,-,-,-,-,-,-,-
平成26,2014,金属くず ,Metal scrap,215,59,156,1,-,155,155,149,6,150,-,6
平成26,2014,ガラス・コンクリート・陶磁器くず ,Glass， concrete， and porcelain scrap,735,14,721,2,4,715,687,552,135,554,28,139
平成26,2014,鉱さい ,Slag,1,-,1,-,-,1,1,1,-,1,-,-
平成26,2014,がれき類 ,Rubble,6219,-,6219,31,17,6171,6157,5981,176,6012,14,193
平成26,2014,ばいじん ,Dust,10,-,10,-,5,5,5,2,3,2,-,8
平成26,2014,動物の糞尿 ,Animal excretions,40,-,40,-,-,40,26,26,-,26,14,-
平成26,2014,動物の死体 ,Animal carcasses,-,-,-,-,-,-,-,-,-,-,-,-
平成26,2014,混合廃棄物 ,Mixed waste,348,-,348,-,6,342,341,202,139,202,1,145
平成26,2014,その他の廃棄物 ,Other waste,50,-,50,-,10,40,38,29,9,29,2,19
平成26,2014,政令13号物 ,Wastes described in Art. 2-13， Cabinet Order on Waste Management & Public Cleansing Act ,-,-,-,-,-,-,-,-,-,-,-,-
平成26,2014,特別管理産業廃棄物 ,Specially controlled industrial waste,78,-,78,-,8,70,18,13,5,13,52,13
,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,
19-10  産業廃棄物処理・処分状況 (平成22～平成26年度) 19-10  PROCESSING AND DISPOSAL OF INDUSTRIAL WASTES ( Fiscal Years 2010-2014 ),,,,,,,,,,,,,,,
この表は， 推計である。　,,,,,,,,,,,,,,,
Figures are estimates.,,,,,,,,,,,,,,,
資料：都環境局資源循環推進部「東京都産業廃棄物経年変化実態調査報告書」 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,,
（単位 千トン）(In thousands of tons),,,,,,,,,,,,,,,
