年次,Year,地域階層,地域コード,項番 Item number,地域,District,発生件数 Number of fires／総数 Total,発生件数 Number of fires／建物 Buildings,発生件数 Number of fires／車両 Vehicles,発生件数 Number of fires／船舶 Vessels,発生件数 Number of fires／林野 Forests,発生件数 Number of fires／その他 Others,被災世帯数 Households damaged／全損 Total destruction,被災世帯数 Households damaged／半損 Significant partial destruction,被災世帯数 Households damaged／小損 Partial destruction,被災延面積 Total area damaged／建物 Buildings (m2),被災延面積 Total area damaged／林野 Forests (m2),死傷者 Killed or injured／死者 Killed,死傷者 Killed or injured／傷者 Injured,損害見積額 Estimated amount of loss (千円 in thousand yen)
平成26,2014,0,13000,,総数,Tokyo-to,4830,3014,334,2,6,1474,222,185,2190,24036,871,97,794,4981293
平成27,2015,0,13000,,総数,Tokyo-to,4477,2940,299,3,4,1231,205,198,2008,21200,97,99,827,3980046
平成27,2015,1,13100,,区部,All ku　,3252,2251,187,2,-,812,152,153,1513,14535,-,70,622,3155149
平成27,2015,2,13101,1,千代田区,Chiyoda-ku ,112,94,4,-,-,14,1,-,14,295,-,-,13,72151
平成27,2015,2,13102,2,中央区,Chuo-ku,127,90,10,1,-,26,1,1,23,205,-,1,22,78992
平成27,2015,2,13103,3,港区,Minato-ku,199,153,8,-,-,38,1,-,36,20,-,-,23,17669
平成27,2015,2,13104,4,新宿区,Shinjuku-ku,202,152,4,-,-,46,22,-,101,588,-,4,32,171625
平成27,2015,2,13105,5,文京区,Bunkyo-ku,66,46,4,-,-,16,4,1,25,246,-,-,15,181088
平成27,2015,2,13106,6,台東区,Taito-ku,114,75,7,-,-,32,1,6,46,480,-,1,17,56678
平成27,2015,2,13107,7,墨田区,Sumida-ku,101,68,5,-,-,28,4,2,49,362,-,3,19,40443
平成27,2015,2,13108,8,江東区,Koto-ku,175,120,18,1,-,36,5,10,98,1039,-,4,33,337718
平成27,2015,2,13109,9,品川区,Shinagawa-ku ,136,89,11,-,-,36,12,7,55,1334,-,5,21,234588
平成27,2015,2,13110,10,目黒区,Meguro-ku,83,64,3,-,-,16,3,-,43,289,-,1,12,68989
平成27,2015,2,13111,11,大田区,Ota-ku,209,141,16,-,-,52,5,18,101,1063,-,1,46,199187
平成27,2015,2,13112,12,世田谷区,Setagaya-ku,226,152,15,-,-,59,5,22,125,902,-,3,61,273526
平成27,2015,2,13113,13,渋谷区,Shibuya-ku,149,97,14,-,-,38,4,1,38,158,-,1,30,51151
平成27,2015,2,13114,14,中野区,Nakano-ku,103,77,3,-,-,23,3,8,67,541,-,5,30,137386
平成27,2015,2,13115,15,杉並区,Suginami-ku,128,95,7,-,-,26,4,-,74,631,-,2,22,57633
平成27,2015,2,13116,16,豊島区,Toshima-ku,118,75,7,-,-,36,7,2,38,358,-,3,17,42007
平成27,2015,2,13117,17,北区,Kita-ku,100,69,2,-,-,29,1,8,71,427,-,4,14,79522
平成27,2015,2,13118,18,荒川区,Arakawa-ku,65,48,-,-,-,17,1,3,34,194,-,1,9,18566
平成27,2015,2,13119,19,板橋区,Itabashi-ku,186,123,13,-,-,50,19,11,112,1332,-,8,37,154961
平成27,2015,2,13120,20,練馬区,Nerima-ku,154,105,11,-,-,38,9,10,97,836,-,6,29,114244
平成27,2015,2,13121,21,足立区,Adachi-ku,205,125,9,-,-,71,15,16,133,1728,-,7,52,354271
平成27,2015,2,13122,22,葛飾区,Katsushika-ku,111,71,5,-,-,35,7,5,54,719,-,3,13,168365
平成27,2015,2,13123,23,江戸川区,Edogawa-ku ,183,122,11,-,-,50,18,22,79,788,-,7,55,244389
平成27,2015,1,13200,,市部,All shi ,1179,663,110,-,3,403,43,45,491,5861,21,26,190,764365
