年度,Fiscal year,会社名,Company name,系統,Line,旅客営業キロ Passanger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成23,2011,総数,Total,,,406.8,373,31384753,19741355,11643398
平成24,2012,総数,Total,,,406.8,373,32012234,19982170,12030063
平成25,2013,総数,Total,,,406.8,373,32744315,20572638,12171675
平成26,2014,総数,Total,,,406.8,373,32627385,20465914,12161471
平成27,2015,総数,Total,,,406.8,373,33388283,20959882,12428401
平成27,2015,小田急電鉄,Odakyu Electric Railway,,,26.5,23,4851184,3113266,1737918
平成27,2015,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,21.3,20,4731564,3030503,1701061
平成27,2015,小田急電鉄,Odakyu Electric Railway,多摩線,Tama Line,5.2,3,119620,82763,36857
平成27,2015,西武鉄道,Seibu Railway,,,93.4,71,6873197,4578930,2294267
平成27,2015,西武鉄道,Seibu Railway,池袋線,Ikebukuro Line,21.8,16,3238919,2143291,1095628
平成27,2015,西武鉄道,Seibu Railway,西武有楽町線,Seibu Yurakucho Line,2.6,3,120002,77838,42164
平成27,2015,西武鉄道,Seibu Railway,豊島線,Toshima Line,1,2,5027,2610,2417
平成27,2015,西武鉄道,Seibu Railway,山口線,Yamaguchi Line,0.3,1,238,61,177
平成27,2015,西武鉄道,Seibu Railway,新宿線,Shinjuku Line,26,21,2844020,1922677,921343
平成27,2015,西武鉄道,Seibu Railway,拝島線,Haijima Line,14.3,8,334721,217873,116848
平成27,2015,西武鉄道,Seibu Railway,西武園線,Seibuen Line,2.4,2,3393,1659,1734
平成27,2015,西武鉄道,Seibu Railway,国分寺線,Kokubunji Line,7.8,5,190022,130825,59197
平成27,2015,西武鉄道,Seibu Railway,多摩湖線,Tamako Line,9.2,7,76885,43739,33146
平成27,2015,西武鉄道,Seibu Railway,多摩川線,Tamagawa Line,8,6,59970,38357,21613
平成27,2015,東京急行電鉄,Tokyu Corporation,,,60,75,5846999,3743373,2103626
平成27,2015,東京急行電鉄,Tokyu Corporation,東横線,Toyoko Line,9,9,1789119,1078247,710872
平成27,2015,東京急行電鉄,Tokyu Corporation,目黒線,Meguro Line,7.3,9,523171,337500,185672
平成27,2015,東京急行電鉄,Tokyu Corporation,田園都市線,Den-En-Toshi Line,11.8,10,2182533,1490907,691625
平成27,2015,東京急行電鉄,Tokyu Corporation,大井町線,Oimachi Line,10.4,15,774805,473448,301357
平成27,2015,東京急行電鉄,Tokyu Corporation,池上線,Ikegami Line,10.9,15,348351,221885,126466
平成27,2015,東京急行電鉄,Tokyu Corporation,東急多摩川線,Tokyu Tamagawa Line,5.6,7,180661,116528,64133
平成27,2015,東京急行電鉄,Tokyu Corporation,世田谷線,Setagaya Line,5,10,48359,24858,23501
平成27,2015,京浜急行電鉄,Keikyu Corporation,,,18.3,20,1882987,985584,897403
平成27,2015,京浜急行電鉄,Keikyu Corporation,本線,Main Line,11.8,14,1604282,914359,689923
平成27,2015,京浜急行電鉄,Keikyu Corporation,空港線,Airport Line,6.5,6,278705,71225,207480
平成27,2015,京王電鉄,Keio Corporation,,,77.6,66,7209745,4497835,2711910
平成27,2015,京王電鉄,Keio Corporation,京王線,Keio Line,64.9,50,6094240,3839866,2254374
平成27,2015,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,12.7,17,1115505,657969,457536
平成27,2015,京成電鉄,Keisei Electric Railway,,,23.9,19,1210281,718740,491541
平成27,2015,京成電鉄,Keisei Electric Railway,本線,Main Line,15.7,12,792655,436746,355909
平成27,2015,京成電鉄,Keisei Electric Railway,押上線,Oshiage Line,5.7,6,392865,266374,126491
平成27,2015,京成電鉄,Keisei Electric Railway,金町線,Kanamachi Line,2.5,3,24761,15620,9141
平成27,2015,東武鉄道,Tobu Railway ,,,28.2,28,3056025,2056278,999747
平成27,2015,東武鉄道,Tobu Railway ,東武ｽｶｲﾂﾘｰﾗｲﾝ,Tobu Skytree Line,13.4,13,1458549,979685,478864
平成27,2015,東武鉄道,Tobu Railway ,大師線,Daishi Line,1,2,5102,3301,1801
平成27,2015,東武鉄道,Tobu Railway ,亀戸線,Kameido Line,3.4,5,31500,19417,12083
平成27,2015,東武鉄道,Tobu Railway ,東上線,Tojo Line,10.4,10,1560874,1053875,506999
平成27,2015,北総鉄道,Hokuso Railway,,,2,2,29389,21227,8162
平成27,2015,北総鉄道,Hokuso Railway,北総線,Hokuso Line,2,2,29389,21227,8162
平成27,2015,高尾登山電鉄,Takao Tozan Railway,,,1.9,4,2115,15,2100
平成27,2015,高尾登山電鉄,Takao Tozan Railway,清滝高尾山,Kiyotaki-Takaosan,1,2,1354,15,1339
平成27,2015,高尾登山電鉄,Takao Tozan Railway,リフト,Chair Lift,0.9,2,761,-,761
平成27,2015,東京モノレール,Tokyo Monorail,,,17.8,11,512881,147263,365618
平成27,2015,御岳登山鉄道,Mitake Tozan Railway,,,1.1,4,540,1,539
平成27,2015,御岳登山鉄道,Mitake Tozan Railway,滝本御岳山,Takimoto-Mitakesan,1,2,465,1,464
平成27,2015,御岳登山鉄道,Mitake Tozan Railway,リフト,Chair Lift,0.1,2,75,-,75
平成27,2015,ゆりかもめ,Yurikamome Inc. ,,,14.7,16,256807,60061,196746
平成27,2015,東京臨海高速鉄道,Tokyo Waterfront Area Rapid TransitInc.,,,12.2,8,512040,259772,252268
平成27,2015,多摩都市モノレール,Tokyo Tama Intercity Monorail Co.， Ltd,,,16,19,258638,165744,92894
平成27,2015,首都圏新都市鉄道,Metropolitan Intercity Railway Company  ,,,13.2,7,885455,611793,273662
,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,
4-12　私鉄の運輸成績 (平成23～27年度) 4-12 TRANSPORTATION BY PRIVATE RAILWAYS ( Fiscal Years 2011-2015 ),,,,,,,,,,
この表は東京都内分である。,,,,,,,,,,
Figures refer only to Tokyo Metropolis.,,,,,,,,,,
注) 乗換駅を重複して数えているので， 会社別の駅数と路線別の駅の合計とは必ずしも一致しない。,,,,,,,,,,
Note: Since transit stations are counted in duplicate， the total number of stations by company and by line are not always the same.,,,,,,,,,,
資料：私鉄各社 Source: Private railway companies,,,,,,,,,,
