年度,Fiscal year,地域階層,地域コード,地域,District,総数 Total,大気汚染 Air pollution,水質汚濁 Water pollution,土壌汚染 Soil pollution,騒音 Noises,振動 Vibration,地盤沈下 Ground subsidence,悪臭 Offensive odors,典型7公害以外計 Other pollution
平成23,2011,0,13000,東京都,Tokyo-to,7131,1458,59,16,3160,519,1,940,978
平成24,2012,0,13000,東京都,Tokyo-to,7388,1447,75,15,3334,509,2,988,1018
平成25,2013,0,13000,東京都,Tokyo-to,7043,1342,70,9,3160,521,1,873,1067
平成26,2014,0,13000,東京都,Tokyo-to,7025,1339,58,11,3423,475,1,817,901
平成27,2015,0,13000,東京都,Tokyo-to,6641,1265,56,5,3238,463,2,802,810
平成27,2015,1,13100,区部,All ku,4101,530,8,3,2383,388,1,514,274
平成27,2015,2,13101,千代田区,Chiyoda-ku,162,6,-,-,100,10,-,24,22
平成27,2015,2,13102,中央区,Chuo-ku,143,3,-,1,84,12,-,32,11
平成27,2015,2,13103,港区,Minato-ku,261,16,1,-,176,12,1,29,26
平成27,2015,2,13104,新宿区,Shinjuku-ku,178,16,-,1,127,6,-,19,9
平成27,2015,2,13105,文京区,Bunkyo-ku,94,7,-,-,53,18,-,9,7
平成27,2015,2,13106,台東区,Taito-ku,112,16,-,-,55,5,-,7,29
平成27,2015,2,13107,墨田区,Sumida-ku,283,31,1,-,149,17,-,30,55
平成27,2015,2,13108,江東区,Koto-ku,145,26,1,-,67,9,-,40,2
平成27,2015,2,13109,品川区,Shinagawa-ku,170,17,-,-,99,14,-,19,21
平成27,2015,2,13110,目黒区,Meguro-ku,160,15,-,-,99,4,-,21,21
平成27,2015,2,13111,大田区,Ota-ku,215,29,1,-,109,23,-,27,26
平成27,2015,2,13112,世田谷区,Setagaya-ku,250,48,-,-,123,33,-,34,12
平成27,2015,2,13113,渋谷区,Shibuya-ku,146,16,1,-,97,16,-,16,-
平成27,2015,2,13114,中野区,Nakano-ku,75,8,-,-,41,18,-,8,-
平成27,2015,2,13115,杉並区,Suginami-ku,172,44,-,-,86,23,-,17,2
平成27,2015,2,13116,豊島区,Toshima-ku,123,19,-,-,81,10,-,13,-
平成27,2015,2,13117,北区,Kita-ku,161,21,-,-,88,31,-,18,3
平成27,2015,2,13118,荒川区,Arakawa-ku,70,7,-,-,28,1,-,13,21
平成27,2015,2,13119,板橋区,Itabashi-ku,226,33,1,-,140,30,-,22,-
平成27,2015,2,13120,練馬区,Nerima-ku,192,44,-,-,111,24,-,13,-
平成27,2015,2,13121,足立区,Adachi-ku,305,49,-,-,160,32,-,62,2
平成27,2015,2,13122,葛飾区,Katsushika-ku,165,25,-,-,100,21,-,16,3
平成27,2015,2,13123,江戸川区,Edogawa-ku,293,34,2,1,210,19,-,25,2
平成27,2015,1,13200,市部,All shi,2424,706,44,1,837,75,1,279,481
平成27,2015,2,13201,八王子市,Hachioji-shi,236,107,1,-,98,6,-,22,2
平成27,2015,2,13202,立川市,Tachikawa-shi,142,45,3,1,54,4,-,17,18
平成27,2015,2,13203,武蔵野市,Musashino-shi,68,12,-,-,35,7,-,14,-
平成27,2015,2,13204,三鷹市,Mitaka-shi,115,24,-,-,56,15,-,19,1
平成27,2015,2,13205,青梅市,Ome-shi,152,74,5,-,55,3,-,13,2
平成27,2015,2,13206,府中市,Fuchu-shi,110,43,-,-,44,3,-,17,3
平成27,2015,2,13207,昭島市,Akishima-shi,40,6,-,-,8,-,-,3,23
平成27,2015,2,13208,調布市,Chofu-shi,92,21,4,-,48,4,1,11,3
平成27,2015,2,13209,町田市,Machida-shi,174,72,1,-,65,7,-,28,1
平成27,2015,2,13210,小金井市,Koganei-shi,78,17,-,-,12,1,-,5,43
平成27,2015,2,13211,小平市,Kodaira-shi,81,26,-,-,39,5,-,11,-
平成27,2015,2,13212,日野市,Hino-shi,70,27,-,-,33,1,-,8,1
平成27,2015,2,13213,東村山市,Higashimurayama-shi,21,9,-,-,10,1,-,1,-
平成27,2015,2,13214,国分寺市,Kokubunji-shi,17,10,-,-,6,-,-,1,-
平成27,2015,2,13215,国立市,Kunitachi-shi,41,2,-,-,23,1,-,14,1
平成27,2015,2,13218,福生市,Fussa-shi,57,6,-,-,6,2,-,2,41
平成27,2015,2,13219,狛江市,Komae-shi,114,7,-,-,30,1,-,10,66
平成27,2015,2,13220,東大和市,Higashiyamato-shi,35,13,4,-,8,1,-,4,5
平成27,2015,2,13221,清瀬市,Kiyose-shi,92,31,-,-,32,-,-,2,27
平成27,2015,2,13222,東久留米市,Higashikurume-shi,52,21,5,-,20,2,-,3,1
平成27,2015,2,13223,武蔵村山市,Musashimurayama-shi,123,31,2,-,12,-,-,11,67
平成27,2015,2,13224,多摩市,Tama-shi,112,28,16,-,53,8,-,6,1
平成27,2015,2,13225,稲城市,Inagi-shi,107,-,1,-,14,-,-,30,62
平成27,2015,2,13227,羽村市,Hamura-shi,48,3,1,-,19,1,-,7,17
平成27,2015,2,13228,あきる野市,Akiruno-shi,171,51,1,-,19,1,-,4,95
平成27,2015,2,13229,西東京市,Nishitokyo-shi,76,20,-,-,38,1,-,16,1
平成27,2015,1,13300,郡部,All gun,116,29,4,1,18,-,-,9,55
平成27,2015,2,13303,瑞穂町,Mizuho-machi,67,15,4,1,13,-,-,4,30
平成27,2015,2,13305,日の出町,Hinode-machi,49,14,-,-,5,-,-,5,25
平成27,2015,2,13307,檜原村,Hinohara-mura,-,-,-,-,-,-,-,-,-
平成27,2015,2,13308,奥多摩町,Okutama-machi,-,-,-,-,-,-,-,-,-
平成27,2015,1,13350,島部,All islands,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,
19-11 公害の種類別苦情件数（平成23～平成27年度） 19-11 COMPLAINTS ABOUT POLLUTIONS BY KIND  ( Fiscal Years 2011-2015 ),,,,,,,,,,,,,,
資料：都環境局総務部総務課 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,
