年次,Year,地域階層,地域コード,地域,District,施設数 Facilities／総数 Total,施設数 Facilities／公立 Public,施設数 Facilities／私立 Private,児童定員 Capacity／総数 Total,児童定員 Capacity／公立 Public,児童定員 Capacity／私立 Private,入所児童数 Children enrolled／総数 Total,入所児童数 Children enrolled／公立 Public,入所児童数 Children enrolled／私立 Private
平成23,2011,0,13000,東京都,Tokyo-to,1800,961,839,181384,96736,84648,178955,94246,84709
平成24,2012,0,13000,東京都,Tokyo-to,1855,954,901,186698,96547,90151,185263,94596,90667
平成25,2013,0,13000,東京都,Tokyo-to,1915,948,967,193757,96850,96907,193150,95318,97832
平成26,2014,0,13000,東京都,Tokyo-to,2019,935,1084,203170,96036,107134,202008,95034,106974
平成27,2015,0,13000,東京都,Tokyo-to,2184,914,1270,216699,94584,122115,213259,93796,119463
平成27,2015,1,13100,区部,All ku,1455,725,730,143076,76075,67001,139775,75660,64115
平成27,2015,2,13101,千代田区,Chiyoda-ku,11,6,5,938,487,451,880,520,360
平成27,2015,2,13102,中央区,Chuo-ku,36,16,20,3259,1702,1557,2979,1668,1311
平成27,2015,2,13103,港区,Minato-ku,46,18,28,4125,2372,1753,3589,2270,1319
平成27,2015,2,13104,新宿区,Shinjuku-ku,43,19,24,4586,2059,2527,4296,2027,2269
平成27,2015,2,13105,文京区,Bunkyo-ku,46,19,27,3492,1850,1642,3351,1815,1536
平成27,2015,2,13106,台東区,Taito-ku,25,13,12,2269,1273,996,2233,1252,981
平成27,2015,2,13107,墨田区,Sumida-ku,51,27,24,5060,2842,2218,4777,2672,2105
平成27,2015,2,13108,江東区,Koto-ku,93,44,49,9635,4517,5118,9262,4421,4841
平成27,2015,2,13109,品川区,Shinagawa-ku,73,43,30,6611,4262,2349,6924,4634,2290
平成27,2015,2,13110,目黒区,Meguro-ku,36,22,14,3341,2265,1076,3294,2239,1055
平成27,2015,2,13111,大田区,Ota-ku,105,49,56,10523,5878,4645,10320,5832,4488
平成27,2015,2,13112,世田谷区,Setagaya-ku,111,49,62,10991,4771,6220,11246,5148,6098
平成27,2015,2,13113,渋谷区,Shibuya-ku,34,19,15,3204,1746,1458,3130,1707,1423
平成27,2015,2,13114,中野区,Nakano-ku,41,21,20,3996,2053,1943,3893,2062,1831
平成27,2015,2,13115,杉並区,Suginami-ku,74,43,31,6800,4016,2784,6637,4050,2587
平成27,2015,2,13116,豊島区,Toshima-ku,36,22,14,3643,2340,1303,3714,2400,1314
平成27,2015,2,13117,北区,Kita-ku,66,42,24,6308,4432,1876,6096,4331,1765
平成27,2015,2,13118,荒川区,Arakawa-ku,38,23,15,4430,2699,1731,4375,2750,1625
平成27,2015,2,13119,板橋区,Itabashi-ku,103,41,62,9311,3888,5423,9359,3838,5521
平成27,2015,2,13120,練馬区,Nerima-ku,122,60,62,11761,6596,5165,11166,6328,4838
平成27,2015,2,13121,足立区,Adachi-ku,96,48,48,9669,5011,4658,9485,4900,4585
平成27,2015,2,13122,葛飾区,Katsushika-ku,84,43,41,8998,4835,4163,8696,4652,4044
平成27,2015,2,13123,江戸川区,Edogawa-ku,85,38,47,10126,4181,5945,10073,4144,5929
平成27,2015,1,13200,市部,All shi,699,174,525,71281,17442,53839,71495,17365,54130
平成27,2015,2,13201,八王子市,Hachioji-shi,97,16,81,10352,1430,8922,10547,1452,9095
平成27,2015,2,13202,立川市,Tachikawa-shi,30,9,21,3359,943,2416,3379,831,2548
平成27,2015,2,13203,武蔵野市,Musashino-shi,18,4,14,1668,402,1266,1705,428,1277
平成27,2015,2,13204,三鷹市,Mitaka-shi,34,16,18,2743,1408,1335,2764,1431,1333
平成27,2015,2,13205,青梅市,Ome-shi,31,-,31,3170,-,3170,3127,-,3127
平成27,2015,2,13206,府中市,Fuchu-shi,42,16,26,4550,1751,2799,4604,1799,2805
平成27,2015,2,13207,昭島市,Akishima-shi,21,2,19,2600,145,2455,2541,137,2404
平成27,2015,2,13208,調布市,Chofu-shi,43,12,31,3854,1175,2679,3898,1194,2704
平成27,2015,2,13209,町田市,Machida-shi,71,5,66,6392,527,5865,6372,504,5868
平成27,2015,2,13210,小金井市,Koganei-shi,16,5,11,1639,563,1076,1608,551,1057
平成27,2015,2,13211,小平市,Kodaira-shi,32,10,22,2780,1148,1632,2760,1186,1574
平成27,2015,2,13212,日野市,Hino-shi,31,11,20,2959,1135,1824,3192,1179,2013
平成27,2015,2,13213,東村山市,Higashimurayama-shi,20,7,13,2032,710,1322,2221,769,1452
平成27,2015,2,13214,国分寺市,Kokubunji-shi,22,7,15,2199,755,1444,2075,670,1405
平成27,2015,2,13215,国立市,Kunitachi-shi,13,4,9,1213,424,789,1261,411,850
平成27,2015,2,13218,福生市,Fussa-shi,14,-,14,1321,-,1321,1319,-,1319
平成27,2015,2,13219,狛江市,Komae-shi,13,6,7,1202,643,559,1147,651,496
平成27,2015,2,13220,東大和市,Higashiyamato-shi,16,1,15,1959,105,1854,1913,87,1826
平成27,2015,2,13221,清瀬市,Kiyose-shi,14,6,8,1334,416,918,1244,398,846
平成27,2015,2,13222,東久留米市,Higashikurume-shi,18,9,9,1791,929,862,1799,932,867
平成27,2015,2,13223,武蔵村山市,Musashimurayama-shi,13,1,12,1972,146,1826,1922,123,1799
平成27,2015,2,13224,多摩市,Tama-shi,20,2,18,2572,247,2325,2542,231,2311
平成27,2015,2,13225,稲城市,Inagi-shi,14,4,10,1775,408,1367,1701,387,1314
平成27,2015,2,13227,羽村市,Hamura-shi,12,1,11,1238,100,1138,1256,77,1179
平成27,2015,2,13228,あきる野市,Akiruno-shi,15,3,12,1783,200,1583,1724,163,1561
平成27,2015,2,13229,西東京市,Nishitokyo-shi,29,17,12,2824,1732,1092,2874,1774,1100
平成27,2015,1,13300,郡部,All gun,15,2,13,1385,230,1155,1321,225,1096
平成27,2015,1,13350,島部,All islands,15,13,2,957,837,120,668,546,122
,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
18-4  地域別保育所の状況（平成23～27年） 18-4  CHILDREN DAY CARE CENTERS BY DISTRICT ( 2011-2015 ) ,,,,,,,,,,,,,,
各年4月1日現在。休止中の施設を除く。 ,,,,,,,,,,,,,,
As of April 1 of the year noted．Figures exclude facilities currently inactive.,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,
