地域階層,地域コード,項番 Item number,地域,District,総数 Total 1) ,結核 Tuberculosis,生活習慣病 Lifestyle-related diseases／悪性新生物 Malignant neoplasm,生活習慣病 Lifestyle-related diseases／(再掲)(Relisted)肝臓がん Liver cancer,生活習慣病 Lifestyle-related diseases／(再掲)(Relisted) 前立腺がん Prostate cancer,生活習慣病 Lifestyle-related diseases／循環器疾患 Cardiovascular disease,生活習慣病 Lifestyle-related diseases／その他 Others,生活習慣病 Lifestyle-related diseases／その他 Others／(再掲)(Relisted) 骨粗しょう症 Osteoporosis,その他 Others
0,13000,0,総数,Tokyo-to,1428147,1137369,157658,76,65306,34123,94420,12069,4577
1,13100,1,区部,All Ku,914927,788583,92183,-,44729,17828,12309,7078,4024
1,13200,2,市部,All shi,501587,344610,60528,-,19766,15156,80740,3620,553
1,13300,3,郡部,All gun,7253,1800,4885,76,769,-,568,568,-
1,13350,4,島部,All islands,4380,2376,62,-,42,1139,803,803,-
,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,
19-5  地域保健活動 (1) 健康診断 (平成26年度) 19-5  LOCAL PUBLIC HEALTH CARE ACTIVITIES (1) HEALTH EXAMINATIONS ( Fiscal Year 2014 )　,,,,,,,,,,,,,
注 1) 高齢者の医療の確保に関する法律に基づく特定健康診査，健康増進法第19条の２に基づく健康診査，地域保健・健康増進事業報告 「母子保健（健康診査）」に該当するもの及び歯科健診を除く。,,,,,,,,,,,,,
Note: 1) Exclude article 12 of  Old Age Health Care Law,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部）,,,,,,,,,,,,,
