年度末,End of fiscal year,地域階層,地域コード,地域,District,マーク Mark,総数 Total,都営住宅 Metropolitan housing,福祉住宅等 Welfare housing etc. 2),都民住宅 Tokyo Metropolitan Tomin housing／都施行 Built by TMG,都民住宅 Tokyo Metropolitan Tomin housing／その他 Others,区市町村住宅 Municipal housing 4)／公営 Public,区市町村住宅 Municipal housing 4)／その他 Others,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／都施行 Built by TMG,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／区市施行 Built by municipalities,公社一般賃貸住宅 Tokyo Metropolitan Public Housing Corporation housing,都市機構賃貸住宅 Urban Renaissance Agency housing 1)
平成24,2012,0,13000,総数,Tokyo-to,,553724,257174,526,3891,28528,21177,10123,60,994,62652,168599
平成25,2013,0,13000,総数,Tokyo-to,,550809,255585,511,3891,27408,21241,10129,60,1052,63213,167719
平成26,2014,0,13000,総数,Tokyo-to,,549671,255563,484,3890,25771,21523,9863,60,1123,64202,167192
平成27,2015,0,13000,総数,Tokyo-to,,545524,255620,468,3875,22587,21595,9274,60,1143,63622,167280
平成27,2015,1,13100,区部,All ku,,342711,164699,73,1907,17953,13673,8695,26,1067,31575,103043
平成27,2015,2,13101,千代田区,Chiyoda-ku,,1474,292,-,14,150,325,474,-,114,55,50
平成27,2015,2,13102,中央区,Chuo-ku,,8652,1453,-,-,418,130,1156,-,75,425,4995
平成27,2015,2,13103,港区,Minato-ku,,10650,4985,-,175,867,273,723,-,-,339,3288
平成27,2015,2,13104,新宿区,Shinjuku-ku,,10275,7116,-,4,288,989,511,-,-,311,1056
平成27,2015,2,13105,文京区,Bunkyo-ku,,2282,563,-,1,159,225,228,-,-,264,842
平成27,2015,2,13106,台東区,Taito-ku,,1987,921,-,-,336,196,375,-,-,-,159
平成27,2015,2,13107,墨田区,Sumida-ku,,11921,6589,-,122,1025,388,423,-,61,269,3044
平成27,2015,2,13108,江東区,Koto-ku,,45112,20333,-,352,2033,570,78,-,-,5016,16730
平成27,2015,2,13109,品川区,Shinagawa-ku,,10338,3442,-,27,474,361,1192,-,168,544,4130
平成27,2015,2,13110,目黒区,Meguro-ku,,2833,659,-,119,206,697,330,-,-,-,822
平成27,2015,2,13111,大田区,Ota-ku,,14817,6485,31,94,1368,1663,658,-,-,1295,3223
平成27,2015,2,13112,世田谷区,Setagaya-ku,,20033,6166,-,1,420,1453,765,-,-,5405,5823
平成27,2015,2,13113,渋谷区,Shibuya-ku,,4143,2443,-,-,190,460,114,-,-,130,806
平成27,2015,2,13114,中野区,Nakano-ku,,5669,2258,-,12,479,546,163,-,20,1989,202
平成27,2015,2,13115,杉並区,Suginami-ku,,6533,3134,-,3,388,1198,176,-,-,774,860
平成27,2015,2,13116,豊島区,Toshima-ku,,3679,1345,-,-,187,380,312,-,85,146,1224
平成27,2015,2,13117,北区,Kita-ku,5),29050,13794,14,76,577,872,191,-,7,964,12555
平成27,2015,2,13118,荒川区,Arakawa-ku,,6685,4070,-,131,606,86,265,-,-,6,1521
平成27,2015,2,13119,板橋区,Itabashi-ku,,27160,11059,21,30,1186,664,362,-,-,2682,11156
平成27,2015,2,13120,練馬区,Nerima-ku,,23378,12465,-,98,2198,888,71,26,-,1642,5990
平成27,2015,2,13121,足立区,Adachi-ku,,47901,30677,-,411,1462,680,77,-,73,2240,12281
平成27,2015,2,13122,葛飾区,Katsushika-ku,,20741,11682,7,54,1248,564,51,-,240,116,6779
平成27,2015,2,13123,江戸川区,Edogawa-ku,,27398,12768,-,183,1688,65,-,-,224,6963,5507
平成27,2015,1,13200,市部,All shi,,200023,89943,0,1951,4634,6650,451,34,76,32047,64237
平成27,2015,2,13201,八王子市,Hachioji-shi,,24994,10741,-,608,896,1448,-,-,-,2927,8374
平成27,2015,2,13202,立川市,Tachikawa-shi,,12621,5190,-,58,513,545,5,-,-,1352,4958
平成27,2015,2,13203,武蔵野市,Musashino-shi,,4493,1967,-,2,156,199,105,-,-,-,2064
