年齢 (歳) Age (years old),東京都 Tokyo-to／12年(都道府県別生命表) 2000 (Prefectural life tables) 2000／男 Male,東京都 Tokyo-to／to／12年(都道府県別生命表) 2000 (Prefectural life tables) 2000／女 Female,東京都 Tokyo-to／17年(都道府県別生命表) 2005 (Prefectural life tables) 2005／男 Male,東京都 Tokyo-to／17年(都道府県別生命表) 2005 (Prefectural life tables) 2005／女 Female,東京都 Tokyo-to／22年(都道府県別生命表) 2010 (Prefectural life tables) 2010／男 Male,東京都 Tokyo-to／22年(都道府県別生命表) 2010 (Prefectural life tables) 2010／女 Female,全国 Japan／12年(第19回生命表) 2000 (The 19th  Life tables) 2000／男 Male,全国 Japan／12年(第19回生命表) 2000 (The 19th  Life tables) 2000／女 Female,全国 Japan／17年(第20回生命表) 2005 (The 20th  Life tables) 2005／男 Male,全国 Japan／17年(第20回生命表) 2005 (The 20th  Life tables) 2005／女 Female,全国 Japan／22年(第21回生命表) 2010 (The 21st  Life tables) 2010／男 Male,全国 Japan／22年(第21回生命表) 2010 (The 21st  Life tables) 2010／女 Female
0,77.98,84.38,79.36,85.7,79.82,86.39,77.72,84.6,78.56,85.52,79.55,86.3
5,73.36,79.72,74.68,80.98,75.05,81.61,73.1,79.95,73.88,80.81,74.82,81.55
10,68.41,74.76,69.72,76.01,70.08,76.64,68.15,74.98,68.93,75.84,69.85,76.58
15,63.44,69.79,64.76,71.04,65.13,71.67,63.19,70.01,63.97,70.87,64.89,71.61
20,58.54,64.85,59.84,66.11,60.2,66.72,58.33,65.08,59.08,65.93,59.99,66.67
25,53.68,59.93,54.96,61.19,55.33,61.8,53.52,60.16,54.25,61.02,55.16,61.75
30,48.83,55.02,50.09,56.29,50.47,56.88,48.69,55.26,49.43,56.12,50.33,56.83
35,44.02,50.14,45.26,51.39,45.61,51.98,43.89,50.37,44.62,51.23,45.51,51.94
40,39.24,45.28,40.46,46.53,40.8,47.11,39.13,45.52,39.86,46.38,40.73,47.08
45,34.55,40.49,35.75,41.72,36.06,42.29,34.45,40.73,35.18,41.57,36.02,42.27
50,30.04,35.79,31.17,36.98,31.44,37.52,29.91,36.01,30.63,36.84,31.42,37.52
55,25.73,31.19,26.78,32.36,26.99,32.87,25.58,31.4,26.25,32.2,26.98,32.86
60,21.64,26.67,22.62,27.82,22.78,28.31,21.44,26.85,22.09,27.66,22.75,28.28
65,17.79,22.26,18.72,23.35,18.82,23.85,17.54,22.42,18.13,23.19,18.74,23.8
70,14.26,18.04,15.05,19.06,15.11,19.49,13.97,18.19,14.39,18.88,14.96,19.43
75,11.08,14.1,11.73,15,11.67,15.33,10.75,14.19,11.07,14.83,11.45,15.27
80,8.26,10.56,8.81,11.32,8.59,11.5,7.96,10.6,8.22,11.13,8.42,11.46
85,6.07,7.61,6.4,8.18,6.08,8.17,5.76,7.61,5.89,7.99,6,8.15
90,4.46,5.34,4.55,5.74,4.22,5.58,4.1,5.29,4.15,5.53,4.19,5.53
95,3.56,3.87,3.22,4.09,2.86,3.7,2.97,3.73,2.93,3.77,2.9,3.66
,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,
2-8  平均余命（平成12～22年） 2-8  LIFE EXPECTANCY ( 2000-2010 ),,,,,,,,,,,,
資料：厚生労働省 「生命表」「都道府県別生命表」 Source: Ministry of Health， Labour and Welfare,,,,,,,,,,,,
