品目,Item,区分,Classification,項番 Item number,区分,Classification,銘柄,Specification,単位,Unit,マーク Mark,27年平均 2015 Av.,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月 Oct.,11月 Nov.,12月 Dec.
食料,Food,穀類,Cereals,1,うるち米(単一原料米，｢ｺｼﾋｶﾘ｣以外),"Non-glutinous rice(single ingredient， excluding ""Koshihikari"")",国内産精米単一原料米(産地品種及び産年が同一のもの)袋入り(5kg入り)コシヒカリを除く,"Domestic， polished， single ingredient (those area， year of production and variety are the same)， in bag (5kg)， excluding ""Koshihikari""",1袋,1 bag,,1973,2035,1981,1969,1972,2002,1970,1946,1931,1942,1961,1983,1990
食料,Food,穀類,Cereals,2,食パン,White bread,普通品,Ordinary quality,1kg,1kg,,423,411,415,414,418,412,420,422,427,430,435,433,433
食料,Food,穀類,Cereals,3,即席めん,Instant noodles,中華タイプ，カップ入り（77g入り），「カップヌードル」,"Chinese type， in cup (77g)， ""Cup Noodle""",1個,1 cup,,153,147,152,153,151,153,154,154,152,155,156,153,153
食料,Food,魚介類,Fish & seafood,1,まぐろ,Tuna fish,めばち 又は きはだ，刺身用，さく，赤身,"Big-eyed tuna or Yellowfin tuna， for  ""Sashimi""， not sliced， lean",100g,100g,,403,425,411,411,405,401,388,401,401,387,405,400,405
食料,Food,魚介類,Fish & seafood,2,あじ,Horse mackerel,まあじ，丸(長さ約15cm以上）,Jack mackerel， whole (about 15cm or more in length),100g,100g,,110,118,137,121,124,114,100,112,112,111,94,88,87
食料,Food,魚介類,Fish & seafood,3,いか,Cuttlefish,するめいか，丸,Sagittated calamary， whole,100g,100g,,96,85,86,100,100,107,107,102,105,90,87,89,90
食料,Food,肉類,Meats,1,牛肉(ロース),Beef (loin),国産品，ロース,Domestic，loin,100g,100g,,857,822,814,845,848,831,864,858,850,890,879,880,898
食料,Food,肉類,Meats,2,豚肉(もも),Pork (legs),もも（黒豚を除く）,Legs (excluding berkshire),100g,100g,,194,191,200,194,193,195,196,192,191,196,195,195,196
食料,Food,肉類,Meats,3,鶏肉,Chicken,ブロイラー，もも肉,Broiler， legs,100g,100g,,136,137,135,136,136,136,135,135,137,135,135,135,138
食料,Food,肉類,Meats,4,ハム,Ham,ロースハム， ＪＡＳ格付けなし， 普通品,Ham (Loin)， not Japanese Agricultural Standard (JAS) certified， ordinary quality,100g,100g,,225,223,224,225,227,224,224,227,226,226,224,225,221
