年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Ku assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成25,2013,13100,,区部,All ku,3179555,18356,404619,1615333,252272,7993,972,42994,287310,22219,418733,826,107799,131
平成26,2014,13100,,区部,All ku,3442340,18467,467469,1727632,261671,7289,1092,41456,327218,31730,459514,122,98548,132
平成27,2015,13100,,区部,All ku,3504316,19583,491524,1774099,255987,7127,1050,44795,330450,25882,464425,144,88921,331
平成27,2015,13101,1,千代田区,Chiyoda-ku,53489,583,11242,16718,4717,100,-,1590,8653,774,8583,-,528,-
平成27,2015,13102,2,中央区,Chuo-ku,83026,641,10793,24073,5976,183,50,3414,20024,558,16657,-,656,-
平成27,2015,13103,3,港区,Minato-ku,119971,769,15660,57801,9848,261,-,2138,11010,1904,19438,-,1142,-
平成27,2015,13104,4,新宿区,Shinjuku-ku,139268,810,19603,74330,12680,909,-,2124,12208,1161,13020,-,2425,-
平成27,2015,13105,5,文京区,Bunkyo-ku,85380,692,17254,36764,6486,119,-,706,4876,861,16123,-,1497,-
平成27,2015,13106,6,台東区,Taito-ku,95789,709,13920,50432,7510,185,-,3686,5349,2006,9281,-,2713,-
平成27,2015,13107,7,墨田区,Sumida-ku,108207,685,12244,58785,7343,267,-,1898,9085,740,13590,-,3570,-
平成27,2015,13108,8,江東区,Koto-ku,188508,925,30251,91437,13393,125,-,1183,8973,1375,37941,119,2785,-
平成27,2015,13109,9,品川区,Shinagawa-ku,144014,865,16676,66938,10921,497,-,1861,20210,2135,21768,7,2137,-
平成27,2015,13110,10,目黒区,Meguro-ku,95067,747,20941,41392,8056,213,7,792,5812,434,12427,-,4247,-
平成27,2015,13111,11,大田区,Ota-ku,241618,1139,26910,133800,16503,126,17,4254,29368,1481,22632,-,5388,-
平成27,2015,13112,12,世田谷区,Setagaya-ku,270544,1033,40002,127863,20334,179,216,1782,30932,925,37114,-,10165,-
平成27,2015,13113,13,渋谷区,Shibuya-ku,83990,777,16762,41199,7102,147,-,786,5257,1104,8851,-,2005,-
平成27,2015,13114,14,中野区,Nakano-ku,130119,907,23544,58457,10059,68,1,838,13822,784,11972,-,9666,-
平成27,2015,13115,15,杉並区,Suginami-ku,166962,994,22380,91835,13999,601,91,1260,12130,1116,19906,-,2649,-
平成27,2015,13116,16,豊島区,Toshima-ku,135620,862,43535,56850,7241,505,-,1048,8917,649,12695,-,3318,-
平成27,2015,13117,17,北区,Kita-ku,137207,870,15696,70901,8582,213,0,2770,14262,1136,19756,18,3003,-
平成27,2015,13118,18,荒川区,Arakawa-ku,90140,661,11453,49559,6465,126,-,1884,5718,640,10515,-,3092,27
平成27,2015,13119,19,板橋区,Itabashi-ku,198544,970,19002,116515,14318,260,103,1523,9665,694,28494,-,7001,-
平成27,2015,13120,20,練馬区,Nerima-ku,240882,1113,27160,137613,17108,657,297,2058,17310,1384,30739,-,5444,-
平成27,2015,13121,21,足立区,Adachi-ku,272051,1013,21735,150117,20298,551,81,1791,28871,1120,38130,-,8344,-
平成27,2015,13122,22,葛飾区,Katsushika-ku,181350,864,23016,93810,11022,482,37,3589,18702,2373,22273,-,4876,304
平成27,2015,13123,23,江戸川区,Edogawa-ku,242572,954,31745,126910,16026,354,150,1820,29298,528,32518,-,2268,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,
21-5  区普通会計決算額 (2) 歳出 (平成25～27年度) 21-5  SETTLEMENT OF THE ORDINARY ACCOUNTS OF KU (2) EXPENDITURE ( Fiscal Years 2013-2015 ),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部区政課「特別区決算状況」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
