総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素材原料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,輸出品,(参考)国内需要財/生産財(1)+(2),(参考)国内需要財/投資財注),,,,
品目数,,,1439,1092,347,97,753,476,141,20,116,589,155,434,105,329,257,850,299,,,,
ウエイト,,,855.24,741.81,113.43,47.76,445.179,268.61,62.917,47.393,66.259,362.301,127.198,235.103,73.963,161.14,144.76,492.939,191.417,,,,
平成14年平均,2002,,96.4,95.7,101,103.7,96.6,94.6,99.1,101.4,98.8,95.2,92.3,96.8,90.4,99.7,101.9,97.3,94.5,,,,
平成15年平均,2003,,95.6,94.9,100.1,107.7,96.5,94.2,100.3,102.1,98.5,93,88.7,95.2,85.8,99.6,97.8,97.6,92.5,,,,
平成16年平均,2004,,97.2,96.1,104.3,118.5,99.3,97,105.1,105.1,99,91.8,86.6,94.6,82.9,100,96.4,101.2,92.7,,,,
平成17年平均,2005,,100.4,97.7,118,144.4,103.2,100.8,108.8,114.4,99.7,91.2,85.1,94.6,80.9,100.9,98.3,107.2,92.9,,,,
平成14年度平均,2002,,96.2,95.5,101.2,106.4,96.6,94.5,99.2,101.9,98.7,94.5,91.3,96.2,89.1,99.5,100.3,97.5,93.9,,,,
平成15年度平均,2003,,95.6,95,99.4,107.9,96.6,94.3,101,101.7,98.5,92.6,88,95.1,84.9,99.7,96.8,97.7,92.3,,,,
平成16年度平均,2004,,97.7,96.4,106,121.5,100.2,98,106.3,106.5,99.1,91.4,86.1,94.3,82.2,99.9,96.6,102.3,92.8,,,,
平成17年度平均,2005,,101.9,98.4,124.3,154.5,104.7,102.1,109.6,119,100.1,91.5,85.1,94.9,80.7,101.4,99.5,109.5,93.2,,,,
平成17年３月,2005,3,98.3,96.8,108.5,127,101.3,99.3,107.6,107.5,99.1,90.9,85.2,94,81,100,96.9,103.8,92.6,,,,
平成17年４月,2005,4,100,97.5,116.4,142.1,102.6,100.4,108.4,111.5,99.5,91.3,85.3,94.5,81,100.6,97.9,106.4,93,,,,
平成17年５月,2005,5,99.9,97.4,115.8,142.5,102.5,100,108.5,112.3,99.5,91.1,84.9,94.4,80.9,100.6,96.6,106.3,92.7,,,,
平成17年６月,2005,6,99.8,97.3,115.8,141.6,102.5,100.1,108.7,111.6,99.7,91,85,94.2,80.7,100.5,97.1,106.3,92.8,,,,
平成17年７月,2005,7,101,98,120.6,150,103.6,100.8,109.2,117.4,99.9,91.3,85.1,94.7,80.9,101,98.8,108.1,93.1,,,,
平成17年８月,2005,8,101.2,98.2,120.8,151.6,103.8,100.9,109.2,119,100,91.3,85,94.7,80.7,101.2,98.4,108.5,93,,,,
平成17年９月,2005,9,101.7,98.4,123.1,156.7,104.1,101,109.2,120.3,100,91.4,85,95,80.6,101.6,98.5,109.2,93,,,,
平成17年10月,2005,10,102.5,98.7,127.1,160.5,105,102.4,109.8,120.4,100.3,91.6,85.1,95.1,80.7,101.7,100.3,110.4,93.3,,,,
平成17年11月,2005,11,102.7,98.7,129.2,160.8,105.5,103.1,110.1,120.5,100.3,91.6,85,95.2,80.8,101.9,101.9,110.9,93.3,,,,
平成17年12月,2005,12,102.8,98.9,128.8,158.5,105.9,103.6,110.1,121,100.4,91.8,85.2,95.3,80.8,102,101.9,111,93.5,,,,
平成18年１月,2006,1,102.8,99,127.8,157.2,106.2,103.6,110.3,123.4,100.5,91.5,85,95,80.5,101.7,99.9,111.1,93.4,,,,
平成18年２月,2006,2,103.9,99.4,133.3,166.7,107,104.4,110.7,125.2,100.7,91.8,85.1,95.4,80.6,102.2,101.4,112.7,93.6,,,,
平成18年３月,2006,3,103.9,99.4,132.7,166.2,107.1,104.5,111,125.2,100.7,91.7,85,95.3,80.6,102,101.1,112.8,93.6,,,,
対前月比(%),,,0,0,-0.5,-0.3,0.1,0.1,0.3,0,0,-0.1,-0.1,-0.1,0,-0.2,-0.3,0.1,0,,,,
対前年同月比(%),,,5.7,2.7,22.3,30.9,5.7,5.2,3.2,16.5,1.6,0.9,-0.2,1.4,-0.5,2,4.3,8.7,1.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成18年4月,,,,,,,,,,,,,,,,,,,,,,,
付属資料３ 需要段階別・用途別指数,,,,,,,,,,,,,,,,,,,,,,,
２０００年＝１００／（平成１２年平均＝１００）,,,,,,,,,,,,,,,,,,,,,,,
注) 投資財：(3)＋(4)＋素原材料内建設用材料 ,,,,,,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,,,,,,
