分類/品目/銘柄/単位,2005年1月,2005年11月,2005年12月,2006年1月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリ(5kg入り）/1袋(円),2815,2807,2773,2776,
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリを除く(5kg入り）/1袋(円),2424,2358,2357,2330,
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),2097,1970,1960,2008,
（穀類）/もち米/国内産、精米、複数原料米(1～2kg入り）/1kg(円),688,631,601,617,
（穀類）/食パン/普通品/1kg(円),426,411,411,412,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),85,89,88,88,
（穀類）/カレーパン/揚げパン、普通品/100g(円),94,90,92,92,平成17年1月から追加品目
（穀類）/ゆでうどん/1食入り（200～250g入り）、普通品/1袋(円),77,78,78,79,
（穀類）/干しうどん/普通品/1kg(円),511,507,500,498,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋(円),153,154,161,150,
（穀類）/即席めん/即席カップめん、中華タイプ、「カップヌードル(77g入り)」/1個(円),144,140,136,136,
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),261,251,255,259,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワー」/1袋(円),186,192,192,191,
（穀類）/もち/包装生もち/1kg(円),1019,1051,1038,1091,
（魚介類）/まぐろ/めばち又はきはだ、刺身用、さく、赤身/100g(円),405,395,407,399,平成18年1月から基本銘柄改正
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),128,110,127,100,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),147,134,141,116,
（魚介類）/かつお/切り身（刺身用）/100g(円),-,-,-,-,
（魚介類）/かれい/まがれい、丸（長さ約25～35cm）/100g(円),163,156,151,159,
（魚介類）/さけ/トラウトサーモン､ぎんざけ､アトランティックサーモン､べにざけ､又はキングサーモン､切り身/100g(円),209,216,216,224,
（魚介類）/さば/まさば、丸(長さ約25～40cm)/100g(円),142,109,112,112,
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),77,68,65,68,
（魚介類）/たい/まだい、丸（長さ約20cm以上）/100g(円),249,194,202,209,
（魚介類）/ぶり/切り身/100g(円),259,234,238,242,
（魚介類）/いか/するめいか/100g(円),96,93,97,85,
（魚介類）/たこ/まだこ（ゆでもの）/100g(円),241,241,242,251,
（魚介類）/えび/輸入品、冷凍（解凍含む）、パック包装[長さ]無頭8～10cm/100g(円),264,258,246,265,
（魚介類）/あさり/殻付き/100g(円),120,116,114,117,
（魚介類）/かき/まがき、むき身/100g(円),306,301,308,308,
（魚介類）/ほたて貝/養殖もの、むき身（ゆでもの）/100g(円),182,214,217,221,
（魚介類）/塩さけ/ぎんざけ、切り身/100g(円),190,190,185,184,
（魚介類）/たらこ/並/100g(円),654,650,651,656,
（魚介類）/しらす干し/並/100g(円),455,465,460,463,
（魚介類）/干しあじ/まあじ、開き、並/100g(円),169,173,172,176,
（魚介類）/丸干しいわし/まいわし（長さ約12cm）、並/100g(円),128,143,138,147,
（魚介類）/煮干し/かたくちいわし、小羽（約6cm）、上/100g(円),290,287,287,286,
（魚介類）/ししゃも/子持ちししゃも、パック入り（8～12匹入り）、並/100g(円),194,199,199,200,
（魚介類）/さつま揚げ/並/100g(円),96,94,92,99,
（魚介類）/ちくわ/焼ちくわ（冷凍ものを除く）、並/100g(円),102,105,107,109,
（魚介類）/かまぼこ/蒸かまぼこ、板付き、140g～160g、普通品/100g(円),160,161,160,162,
（魚介類）/かつお節/かつおぶし削りぶし、パック入り（3g×5袋入り）、普通品/1パック(円),140,130,129,131,
（魚介類）/塩辛/いかの塩辛、並/100g(円),259,261,261,260,
（魚介類）/魚みそ漬/さわら/100g(円),241,246,235,225,
（魚介類）/あさりつくだ煮/並/100g(円),343,379,373,376,
（魚介類）/まぐろ缶詰/油漬、きはだまぐろ、フレーク、内容量80g入り/1缶(円),164,159,154,157,
（肉類）/牛肉/ロース/100g(円),846,848,873,856,
（肉類）/牛肉/肩肉/100g(円),466,471,477,487,
（肉類）/牛肉/輸入品、チルド（冷蔵）、ロース（肩ロースは除く）/100g(円),348,322,317,338,
