分類/品目/銘柄/単位,2005年11月,2006年9月,2006年10月,2006年11月,銘柄改正等
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリ(5kg入り）/1袋(円),2807,2728,2696,2718,
（穀類）/うるち米/国内産、精米、単一品種、コシヒカリを除く(5kg入り）/1袋(円),2358,2313,2311,2325,
（穀類）/うるち米/国内産、精米、複数原料米(5kg入り）/1袋(円),1970,1971,1959,1973,
（穀類）/もち米/国内産、精米、複数原料米(1～2kg入り）/1kg(円),631,605,614,613,
（穀類）/食パン/普通品/1kg(円),411,410,400,409,
（穀類）/あんパン/あずきあん入り、丸型、普通品/100g(円),89,89,87,88,
（穀類）/カレーパン/揚げパン、普通品/100g(円),90,94,95,97,
（穀類）/ゆでうどん/1食入り（200～250g入り）、普通品/1袋(円),78,79,80,79,
（穀類）/干しうどん/普通品/1kg(円),507,493,490,501,
（穀類）/スパゲッティ/袋入り（300g入り）、JAS規格品/1袋(円),154,151,153,148,
（穀類）/即席めん/即席カップめん、中華タイプ、「カップヌードル(77g入り)」/1個(円),140,136,137,138,
（穀類）/生中華めん/普通品、2食入り（220～260g入り）/1袋(円),251,261,264,264,
（穀類）/小麦粉/薄力粉、袋入り（1kg入り）「日清フラワー」/1袋(円),192,191,191,193,
（穀類）/もち/包装生もち/1kg(円),1051,1032,1032,1046,
（魚介類）/まぐろ/めばち又はきはだ、刺身用、さく、赤身/100g(円),395,411,423,428,平成18年1月から基本銘柄改正
（魚介類）/あじ/まあじ、丸（長さ約15cm以上）/100g(円),110,115,114,107,
（魚介類）/いわし/まいわし、丸（長さ約12cm以上）/100g(円),134,110,116,120,
（魚介類）/かつお/切り身（刺身用）/100g(円),        -,211,217,        -,
（魚介類）/かれい/まがれい、丸（長さ約25～35cm）/100g(円),156,168,162,188,
（魚介類）/さけ/トラウトサーモン､ぎんざけ､アトランティックサーモン､べにざけ､又はキングサーモン､切り身/100g(円),216,243,244,244,
（魚介類）/さば/まさば、丸(長さ約25～40cm)/100g(円),109,103,109,108,
（魚介類）/さんま/丸（長さ約25cm以上）/100g(円),68,85,74,71,
（魚介類）/たい/まだい、丸（長さ約20cm以上）/100g(円),194,209,210,221,
（魚介類）/ぶり/切り身/100g(円),234,275,287,271,
（魚介類）/いか/するめいか/100g(円),93,96,97,119,
（魚介類）/たこ/まだこ（ゆでもの）/100g(円),241,257,262,253,
（魚介類）/えび/輸入品、冷凍（解凍含む）、パック包装[長さ]無頭8～10cm/100g(円),258,263,263,256,
（魚介類）/あさり/殻付き/100g(円),116,116,123,119,
（魚介類）/かき/まがき、むき身/100g(円),301,        -,322,313,
（魚介類）/ほたて貝/養殖もの、むき身（ゆでもの）/100g(円),214,221,212,203,
（魚介類）/塩さけ/ぎんざけ、切り身/100g(円),190,177,179,173,
