年月,西暦（年）,月,消費者物価指数（平成17年基準）/全国,消費者物価指数（平成17年基準）/東京都区部,戦前基準指数(昭和9～11年=1)/東京都区部消費者物価指数,戦前基準指数(昭和9～11年=1)/企業物価指数,1)消費水準指数全国(平成17年=100）/全世帯,1)消費水準指数全国(平成17年=100）/勤労者世帯,生計（東京都勤労者世帯）/実収入（円）,生計（東京都勤労者世帯）/消費支出（円）,生計（東京都勤労者世帯）/2)平均消費性向（％）,生計（東京都勤労者世帯）/3)公共的料金負担率（％）
昭和60年平均,1985,,88.1,88.4,1578.1168,822.4,94.8,95.2,501450,319891,77,26.4
昭和61年平均,1986,,88.6,89.2,1592.3984,747.3,95.6,96.1,519227,328660,77,26.7
昭和62年平均,1987,,88.7,89.6,1599.5392,719.3,97.7,97.1,534700,336659,76.2,25.4
昭和63年平均,1988,,89.3,90.5,1615.606,712.1,100.7,100.2,552315,344943,75.4,25.8
平成元年平均,1989,,91.3,92.9,1658.4508,730.4,101.7,101.4,567395,350986,73.8,25.5
平成2年平均,1990,,94.1,95.8,1710.2216,745.4,102.9,103.2,611320,373462,73.4,25.2
平成3年平均,1991,,97.3,98.9,1765.5628,741.3,104.8,104,630856,389877,74.4,24.8
平成4年平均,1992,,98.9,100.9,1801.2668,729.3,105.4,104.4,646147,392114,73.2,25.1
平成5年平均,1993,,100.2,102.1,1822.6892,708.1,105.5,104.6,677044,397896,71.6,26.2
平成6年平均,1994,,100.8,102.8,1835.1856,693.7,104.8,103.6,669665,395193,70.9,27
平成7年平均,1995,,100.7,102.5,1829.83,687.2,104.1,103.3,648892,380868,70.7,27.8
平成8年平均,1996,,100.8,102.5,1829.83,688,104.8,104.1,629627,379877,72.6,28.5
平成9年平均,1997,,102.7,103.8,1853.0376,698.4,104.8,104.4,655940,386106,71.7,28.9
平成10年平均,1998,,103.3,104.6,1867.3192,687.5,102.8,102.9,656646,377118,69.2,27.4
平成11年平均,1999,,103,104.2,1860.1784,664.3,101.8,100.8,642848,366762,68.5,28.2
平成12年平均,2000,,102.2,103.2,1842.3264,664.2,101.2,100.5,643946,372835,69.7,28.9
平成13年平均,2001,,101.5,102.1,1822.6892,658,100,99.9,628068,364721,69.8,29.5
平成14年平均,2002,,100.6,101,1803.052,645.7,100.6,99.7,633711,361608,68.2,29.4
平成15年平均,2003,,100.3,100.6,1795.9112,637.3,99.6,98.4,583065,355982,73.2,29.8
平成16年平均,2004,,100.3,100.5,1794.126,644.7,100,99.7,596372,362122,72.7,30.1
平成17年平均,2005,,100,100,1785.2,664.9,100,100,578340,352303,72.8,29.5
平成16年４月,2004,4,100.1,100.5,1794.126,639.6,110.3,112.5,556209,404083,86.4,35.3
平成16年５月,2004,5,100.2,100.6,1795.9112,645.6,97.6,95.7,497165,352354,88.3,29.8
平成16年６月,2004,6,100.4,100.7,1797.6964,644.9,95.3,94.3,803072,344468,53.5,29.1
平成16年７月,2004,7,100.1,100.2,1788.7704,648.3,99.3,99.8,685748,383819,66.9,27.2
平成16年８月,2004,8,100.2,100.4,1792.3408,650.3,97.9,97.1,542264,377829,83,26.7
平成16年９月,2004,9,100.5,100.5,1794.126,652.2,95.8,96.8,492816,363247,87.4,31.3
平成16年10月,2004,10,101,101,1803.052,651.6,95.4,95.5,521292,368868,83.1,29.4
平成16年11月,2004,11,100.8,100.9,1801.2668,648.9,95.5,93.8,473493,332838,83.9,31.1
平成16年12月,2004,12,100.3,100.5,1794.126,646.9,111.5,109.4,1035696,388817,44.4,25.7
平成17年１月,2005,1,100.1,100.1,1786.9852,644.3,98.4,100.5,487393,366735,89.1,32.3
平成17年２月,2005,2,99.8,99.8,1781.6296,648.3,98.9,99.6,521992,320178,72.4,34.6
平成17年３月,2005,3,100.1,100.2,1788.7704,651.6,104.4,105.3,510518,387064,90,29.3
平成17年４月,2005,4,100.2,100.2,1788.7704,662.2,107.3,109.3,529212,364547,81.3,34.4
平成17年５月,2005,5,100.3,100.4,1792.3408,660.2,96.1,94.4,481354,350694,91.3,29.8
平成17年６月,2005,6,99.9,100,1785.2,660.2,95.9,94.9,863222,329829,46.8,29.5
平成17年７月,2005,7,99.8,99.8,1781.6296,668.8,96.3,97,599632,352002,70.5,26.2
平成17年８月,2005,8,99.9,99.8,1781.6296,669.5,98,96.2,516540,340648,77.5,27.5
平成17年９月,2005,9,100.2,100.1,1786.9852,672.2,97.4,96.9,463193,331477,85.9,30.2
平成17年10月,2005,10,100.2,100.1,1786.9852,678.1,97.8,97.1,511063,341163,78.9,30.2
平成17年11月,2005,11,99.8,99.8,1781.6296,681.5,96.2,95.1,473919,348456,87.7,26.7
