年次（和暦）,年次（西暦）,増減人口,社会動態／社会増減,社会動態／転入,社会動態／転出,都内間の移動増減,自然動態／自然増減,自然動態／出生,自然動態／死亡,その他の増減／外国人登録人口,その他の増減／記載・消除等
昭和61年中,1986年中,56944,-6129,486672,492801,8090,58953,121811,62858,10817,-14787
62,1987,1292,-55491,474706,530197,8418,54910,118390,63480,14341,-20886
63,1988,-1324,-71570,455801,527371,5500,47500,113094,65594,32401,-15155
平成元年中,1989年中,-25280,-61055,454815,515870,3748,39123,106614,67491,7390,-14486
2,1990,-14192,-50441,453116,503557,2815,33963,104237,70274,9605,-10134
3,1991,21832,-36917,447461,484378,2376,33048,103736,70688,29526,-6201
4,1992,-9661,-51186,434519,485705,1625,28581,101440,72859,13408,-2089
5,1993,-38466,-68433,424367,492800,1912,23698,98973,75275,6283,-1926
6,1994,-39608,-60951,420050,481001,1935,27070,102469,75399,-4530,-3132
7,1995,-19001,-33692,430369,464061,1015,18743,98061,79318,-4628,-439
8,1996,23932,-6963,431545,438508,492,21205,98384,77179,1539,7659
9,1997,50830,16184,435693,419509,928,19352,98638,79286,4840,9526
10,1998,67727,30704,440098,409394,702,18872,99620,80748,6868,10581
11,1999,75307,36624,436805,400181,390,12958,98746,85788,12670,12665
12,2000,94299,53245,444118,390873,-343,16602,101089,84487,19506,5289
13,2001,109444,68457,449888,381431,775,14255,99109,84854,25123,834
14,2002,101805,72050,442925,370875,-24,15279,100414,85135,12944,1556
15,2003,89455,64859,441013,376154,-310,11256,98730,87474,11068,2582
16,2004,84968,71558,433270,361712,480,10989,100191,89202,-1463,3404
17,2005,96822,78847,436245,357398,-293,3446,97346,93900,10827,3995
,,,,,,,,,,,
人口の動き（平成17年中）,,,,,,,,,,,
第６表　変動要因別増減人口の推移（昭和61年～平成17年）,,,,,,,,,,,
注)　この表における「社会増減」は、他県との移動の増減数をいう。,,,,,,,,,,,
