和暦（年次）,西暦（年次）,他県との移動／総数／増減,他県との移動／総数／転入,他県との移動／総数／転出,他県との移動／区部／増減,他県との移動／区部／転入,他県との移動／区部／転出,他県との移動／市部／増減,他県との移動／市部／転入,他県との移動／市部／転出,他県との移動／郡部／増減,他県との移動／郡部／転入,他県との移動／郡部／転出,他県との移動／島部／増減,他県との移動／島部／転入,他県との移動／島部／転出,他県との移動／（再掲）市郡部／増減,他県との移動／（再掲）市郡部／転入,他県との移動／（再掲）市郡部／転出,都内間移動／総数／増減,都内間移動／総数／転入,都内間移動／総数／転出,都内間移動／区部／増減,都内間移動／区部／転入,都内間移動／区部／転出,都内間移動／市部／増減,都内間移動／市部／転入,都内間移動／市部／転出,都内間移動／郡部／増減,都内間移動／郡部／転入,都内間移動／郡部／転出,都内間移動／島部／増減,都内間移動／島部／転入,都内間移動／島部／転出,都内間移動／（再掲）市郡部／増減,都内間移動／（再掲）市郡部／転入,都内間移動／（再掲）市郡部／転出
平成8年中,1996年中,-6963,431545,438508,-5311,305851,311162,-1548,124114,125662,-173,568,741,69,1012,943,-1721,124682,126403,492,414623,414131,-2803,270427,273230,3207,140990,137783,187,2128,1941,-99,1078,1177,3394,143118,139724
平成9年中,1997年中,16184,435693,419509,10475,308197,297722,5845,125841,119996,-199,598,797,63,1057,994,5646,126439,120793,928,402425,401497,-2777,262484,265261,3697,136910,133213,204,2009,1805,-196,1022,1218,3901,138919,135018
平成10年中,1998年中,30704,440098,409394,21134,312887,291753,9565,125578,116013,-106,604,710,111,1029,918,9459,126182,116723,702,395603,394901,-2050,259243,261293,2649,133207,130558,225,2077,1852,-122,1076,1198,2874,135284,132410
平成11年中,1999年中,36624,436805,400181,23403,309729,286326,13346,125501,112155,-101,609,710,-24,966,990,13245,126110,112865,390,401890,401500,-2233,263741,265974,2311,134859,132548,374,2179,1805,-62,1111,1173,2685,137038,134353
平成12年中,2000年中,53245,444118,390873,37366,316691,279325,16063,125928,109865,-127,590,717,-57,909,966,15936,126518,110582,-343,407370,407713,-886,273054,273940,296,131205,130909,328,2121,1793,-81,990,1071,624,133326,132702
平成13年中,2001年中,68457,449888,381431,49045,321652,272607,19681,126823,107142,-148,605,753,-121,808,929,19533,127428,107895,775,399544,398769,605,268309,267704,41,128275,128234,359,2067,1708,-230,893,1123,400,130342,129942
平成14年中,2002年中,72050,442925,370875,50612,315730,265118,21376,125668,104292,31,646,615,31,881,850,21407,126314,104907,-24,391457,391481,952,263736,262784,-1061,124874,125935,263,2048,1785,-178,799,977,-798,126922,127720
平成15年中,2003年中,64859,441013,376154,43428,313845,270417,21613,125806,104193,-70,614,684,-112,748,860,21543,126420,104877,-310,405310,405620,-995,270768,271763,874,131857,130983,-11,1785,1796,-178,900,1078,863,133642,132779
平成16年中,2004年中,71558,433270,361712,49069,309427,260358,22699,122567,99868,-107,575,682,-103,701,804,22592,123142,100550,480,401239,400759,-1333,270470,271803,2026,128110,126084,-73,1752,1825,-140,907,1047,1953,129862,127909
平成17年中,2005年中,78847,436245,357398,59496,317707,258211,19605,117114,97509,-107,546,653,-147,878,1025,19498,117660,98162,-293,402333,402626,1714,278353,276639,-1846,120998,122844,88,1820,1732,-249,1162,1411,-1758,122818,124576
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人口の動き（平成17年中）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第11表　地域別社会動態　（昭和61年～平成17年）             ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注)　都内間移動における転入、転出は、都内区市町村間の移動者であり、同一区市町村内の移動者は含まない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
