年次（和暦）,年次（西暦）,社会動態／転入,社会動態／転出,自然動態／出生,自然動態／死亡,移動指数,移動率(％),移動者数に対する割合（％)／転入,移動者数に対する割合（％)／転出,移動者総数,10月1日現在住民基本台帳人口
昭和61年中,1986年中,100,100,100,100,100,8.3,49.7,50.3,979473,11743428
62,1987,97.5,107.6,97.2,101,102.6,8.5,47.2,52.8,1004903,11756523
63,1988,93.7,107,92.8,104.4,100.4,8.4,46.4,53.6,983172,11729428
平成元年中,1989年中,93.5,104.7,87.5,107.4,99.1,8.3,46.9,53.1,970685,11709398
2,1990,93.1,102.2,85.6,111.8,97.7,8.2,47.4,52.6,956673,11693477
3,1991,91.9,98.3,85.2,112.5,95.1,8,48,52,931839,11694052
4,1992,89.3,98.6,83.3,115.9,94,7.9,47.2,52.8,920224,11683185
5,1993,87.2,100,81.3,119.8,93.6,7.9,46.3,53.7,917167,11643378
6,1994,86.3,97.6,84.1,120,92,7.8,46.6,53.4,901051,11607137
7,1995,88.4,94.2,80.5,126.2,91.3,7.7,48.1,51.9,894430,11592359
8,1996,88.7,89,80.8,122.8,88.8,7.5,49.6,50.4,870053,11604177
9,1997,89.5,85.1,81,126.1,87.3,7.3,50.9,49.1,855202,11641165
10,1998,90.4,83.1,81.8,128.5,86.7,7.3,51.8,48.2,849492,11691277
11,1999,89.8,81.2,81.1,136.5,85.5,7.1,52.2,47.8,836986,11744762
12,2000,91.3,79.3,83,134.4,85.2,7.1,53.2,46.8,834991,11814109
13,2001,92.4,77.4,81.4,135,84.9,7,54.1,45.9,831319,11895235
14,2002,91,75.3,82.4,135.4,83.1,6.8,54.4,45.6,813800,11988676
15,2003,90.6,76.3,81.1,139.2,83.4,6.8,54,46,817167,12065354
16,2004,89,73.4,82.3,141.9,81.2,6.5,54.5,45.5,794982,12148203
17,2005,89.6,72.5,79.9,149.4,81,6.5,55,45,793643,12234975
,,,,,,,,,,,
人口の動き（平成17年中）,,,,,,,,,,,
第７表　変動要因別人口指数の推移／(参考) 移動指数､移動率の推移（昭和61年～平成17年）,,,,,,,,,,,
注１）　昭和61年=100,,,,,,,,,,,
注２）　移動率とは、10月1日現在の住民基本台帳人口に対する移動者総数の割合をいう。,,,,,,,,,,,
注３）　移動者総数とは、転入、転出の合計である。,,,,,,,,,,,
