和暦（年次）,西暦（年次）,総数,区部,市部,郡部,島部
昭和61年中,1986,56944,5370,51142,622,-190
昭和62年中,1987,1292,-45968,46524,1047,-311
昭和63年中,1988,-1324,-38536,36702,765,-255
平成元年中,1989,-25280,-65676,39890,643,-137
平成2年中,1990,-14192,-50980,36440,656,-308
平成3年中,1991,21832,-15482,37097,500,-283
平成4年中,1992,-9661,-37532,27911,178,-218
平成5年中,1993,-38466,-57096,18320,229,81
平成6年中,1994,-39608,-52131,12410,88,25
平成7年中,1995,-19001,-32555,13489,-26,91
平成8年中,1996,23932,6170,18122,-174,-186
平成9年中,1997,50830,25596,25763,-296,-233
平成10年中,1998,67727,40320,27619,-128,-84
平成11年中,1999,75307,45402,30194,-148,-141
平成12年中,2000,94299,67449,30723,-40,-3815
平成13年中,2001,109444,76451,33495,-43,-267
平成14年中,2002,101805,69379,32716,30,-153
平成15年中,2003,89455,56182,33965,-261,-289
平成16年中,2004,84968,51411,34337,-365,-288
平成17年中,2005,96822,72865,24879,-380,-235
,,,,,,
人口の動き（平成17年中）,,,,,,
第９表　地域別増減人口　（昭和61年～平成17年）             ,,,,,,
注)　平成12年国勢調査において三宅村の人口がゼロとなったため、その後の住民基本台帳等の増減数は三宅村には加えず、総数のみに加えた。このため、総数と各地域の合計は、平成12年から平成17年までにおいて一致しない。,,,,,,
