規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18,150.8,135.4,15.4,12.8,81.8,78.7,3.1
100～499人,17.9,152.1,136.8,15.3,14.1,87.5,84.6,2.9
100人以上,17.9,151.4,136.1,15.3,13.6,85.2,82.2,3
30～99人,17.9,150,136.8,13.2,13.6,78.9,76.5,2.4
５～29人,18.2,152.1,140.2,11.9,12.1,74.4,71.9,2.5
30人以上,17.9,150.9,136.3,14.6,13.6,82.1,79.4,2.7
５人以上,18,151.2,137.3,13.9,12.9,78.5,75.9,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
