規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,568365,457315,419113,38202,111050,133704,130003,123811,6192,3701
100～499人,450115,410906,377681,33225,39209,124679,121965,116460,5505,2714
100人以上,507388,433384,397749,35635,74004,128350,125235,119451,5784,3115
30～99人,418238,392726,367981,24745,25512,105302,103658,101218,2440,1644
５～29人,382765,354901,334012,20889,27864,95432,94799,91823,2976,633
30人以上,479660,420738,388490,32248,58922,116680,114310,110219,4091,2370
５人以上,454342,403535,374255,29280,50807,106685,105132,101565,3567,1553
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年１１月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
