規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,493928,461215,423590,37625,32713,130686,129553,123478,6075,1133
100～499人,436919,416023,384383,31640,20896,124613,122469,117324,5145,2144
100人以上,464392,437802,403278,34524,26590,127114,125386,119858,5528,1728
30～99人,394122,381370,358871,22499,12752,105038,104212,101676,2536,826
５～29人,368555,354729,334373,20356,13826,95208,94757,91744,3013,451
30人以上,442477,420202,389428,30774,22275,116024,114749,110724,4025,1275
５人以上,423123,403060,375014,28046,20063,106326,105435,101881,3554,891
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年１０月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
