規模,産業,１人平均支給額（円）,１人平均支給額／前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,平均支給月数／前年支給月数差（か月）
30人以上,調査産業計,609756,-3.7,87.9,88,1.28,0.01
30人以上,建設業,775108,-6.3,87.3,87,1.62,-0.06
30人以上,製造業,934042,-1.1,83.9,88.2,1.6,0.02
30人以上,電気・ガス・熱供給・水道業,879793,4.2,9.1,42.1,2.06,0.02
30人以上,情報通信業,646164,-1.7,87.1,92.7,1.37,0.08
30人以上,運輸業，郵便業,532834,-14.4,98.4,98.1,1.13,-0.18
30人以上,卸売業，小売業,631839,-6.4,92,93.2,1.31,-0.09
30人以上,"金融業,保険業",1036809,-0.8,97,87.4,2.3,0.16
30人以上,不動産業，物品賃貸業,663163,7,88.3,89.6,1.68,0.05
30人以上,学術研究，専門・技術サービス業,758955,-6,84.3,85.6,1.56,0.07
30人以上,宿泊業，飲食サービス業,103101,-8.8,87.7,82.4,0.38,0.01
30人以上,生活関連サービス業，娯楽業,227637,11.2,77.9,66.4,0.87,-0.07
30人以上,教育，学習支援業,541767,-3.3,99.3,99.4,1.44,0.01
30人以上,医療，福祉,384895,-3.6,80.8,79.3,1.13,-0.04
30人以上,複合サービス事業,623185,20.4,100,100,1.88,0.52
30人以上,サービス業（他に分類されないもの）,301801,-4.1,77.5,77.8,1.17,0.12
30～99人,調査産業計,416890,-0.1,87,85.4,1.18,0.01
30～99人,建設業,528736,-0.1,83.3,86.3,1.35,-0.08
30～99人,製造業,567578,-12.8,81,84.7,1.31,-0.11
30～99人,電気・ガス・熱供給・水道業,X,X,X,X,X,X
30～99人,情報通信業,469391,9.1,84.2,84.6,1.21,0.08
30～99人,運輸業，郵便業,225127,-33.6,100,100,0.99,-0.16
30～99人,卸売業，小売業,450721,6.2,92,93.4,1.24,-0.09
30～99人,"金融業,保険業",923146,15.4,100,100,2.31,0.23
30～99人,不動産業，物品賃貸業,540104,-3.2,88.1,91.6,1.6,0
30～99人,学術研究，専門・技術サービス業,610911,-9.4,82.4,85.4,1.5,0.08
30～99人,宿泊業，飲食サービス業,56135,-17.4,87.5,81.1,0.36,0.01
30～99人,生活関連サービス業，娯楽業,217827,0.2,75,53.7,0.89,-0.09
30～99人,教育，学習支援業,423375,-0.2,100,100,1.39,0.02
30～99人,医療，福祉,279912,2.1,80,76.4,1.1,0.03
30～99人,複合サービス事業,X,X,X,X,X,X
30～99人,サービス業（他に分類されないもの）,390435,14.1,72.7,68.5,1.38,0.3
100～499人,調査産業計,561302,-3.3,90.5,89.8,1.48,-0.06
100～499人,建設業,848386,-8.2,100,100,2.23,-0.02
100～499人,製造業,855865,3.1,89.2,81,1.96,0.05
100～499人,電気・ガス・熱供給・水道業,X,X,X,X,X,X
100～499人,情報通信業,488997,-9.8,92,94.4,1.54,0
100～499人,運輸業，郵便業,586765,-10.1,94.4,96.4,1.43,-0.15
100～499人,卸売業，小売業,639632,5.5,92,93.2,1.47,-0.08
100～499人,"金融業,保険業",964638,4.4,90.5,90.6,2.29,0.03
100～499人,不動産業，物品賃貸業,589034,11.1,87.6,84.9,1.77,0.16
100～499人,学術研究，専門・技術サービス業,673912,-9.2,94.4,97.1,1.73,-0.1
100～499人,宿泊業，飲食サービス業,250761,4,94.1,91.4,0.79,0.03
100～499人,生活関連サービス業，娯楽業,X,X,X,X,X,X
100～499人,教育，学習支援業,656110,-10.6,93.4,97.3,1.77,-0.08
100～499人,医療，福祉,433032,-6.8,82.9,69.9,1.24,-0.32
100～499人,複合サービス事業,X,X,X,X,X,X
100～499人,サービス業（他に分類されないもの）,237108,-13.5,87.9,91,0.81,-0.14
500人以上,調査産業計,915548,-5.3,90.5,89,2.21,-0.05
500人以上,建設業,1057174,-5,80,67.1,2.46,0.04
500人以上,製造業,1126255,-1.2,93.8,93.8,2.76,-0.06
500人以上,電気・ガス・熱供給・水道業,X,X,X,X,X,X
500人以上,情報通信業,870944,-1.8,94.2,96.1,2.27,0.01
500人以上,運輸業，郵便業,964235,5.6,100,100,2.02,0.07
500人以上,卸売業，小売業,937648,-24.9,93.3,92.8,2.16,-0.15
500人以上,"金融業,保険業",1140872,-5.3,88.2,80.3,2.24,-0.12
500人以上,不動産業，物品賃貸業,1062334,6.1,100,100,2.49,0.04
500人以上,学術研究，専門・技術サービス業,1363045,9.2,76.3,68.2,2.55,0.21
500人以上,宿泊業，飲食サービス業,350125,-2.9,72.7,82.6,1.42,-0.02
500人以上,生活関連サービス業，娯楽業,X,X,X,X,X,X
500人以上,教育，学習支援業,643220,-2,100,100,1.79,-0.03
500人以上,医療，福祉,473807,0.5,97.7,99.2,1.44,-0.13
500人以上,複合サービス事業,X,X,X,X,X,X
500人以上,サービス業（他に分類されないもの）,530767,1.8,57.5,44.1,1.61,-0.03
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年夏季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
注１）「１人平均支給額」は、賞与を支給した事業所における常用労働者１人当たりの平均賞与支給額です。,,,,,,,
　２）「支給事業所数割合」は、賞与を支給した事業所数を全事業所数で除した値です。,,,,,,,
　３）「支給労働者数割合」は、賞与を支給した事業所の全常用労働者数を全事業所の全常用労働者数で除した値です。,,,,,,,
　４）「平均支給月数」は、賞与を支給した各事業所における賞与の所定内給与に対する割合を単純平均したものです。,,,,,,,
