規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.9,157.9,142.5,15.4,13.7,87.8,84.8,3
100～499人,18.8,157.3,142.8,14.5,14.4,88.1,84.9,3.2
100人以上,18.8,157.5,142.6,14.9,14.1,88,84.9,3.1
30～99人,18.9,157.8,144.5,13.3,14.3,83.3,81,2.3
５～29人,19.3,161.9,149.7,12.2,12.9,79,76.5,2.5
30人以上,18.8,157.6,143.2,14.4,14.2,85.6,82.9,2.7
５人以上,19,158.8,144.9,13.9,13.6,82.5,79.9,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年５月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
