規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.3,161.5,145.5,16,13.5,87.7,84.7,3
100～499人,19.5,164.1,148.6,15.5,14.7,90.1,87,3.1
100人以上,19.4,162.8,147.1,15.7,14.2,89.2,86.1,3.1
30～99人,20.1,167,152.8,14.2,13.8,78.5,76.6,1.9
５～29人,20.6,171.5,158.4,13.1,12.7,77.1,74.4,2.7
30人以上,19.6,164.2,148.9,15.3,14,83.8,81.3,2.5
５人以上,19.9,166.1,151.4,14.7,13.4,80.6,78,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年１１月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
