事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,TL 調査産業計,平成24,2012,年平均,7184606,4318675,2865931,142218,74404,67813,144126,76476,67650,7182698,4316603,2866094,22.8,12.3,38.5
５人以上,TL 調査産業計,平成25,2013,年平均,7170624,4312369,2858254,149495,79217,70278,147002,79747,67255,7173117,4311839,2861277,23.3,12.8,39.2
５人以上,TL 調査産業計,平成26,2014,年平均,7260718,4324756,2935962,153349,78862,74487,143719,75726,67994,7270348,4327892,2942455,23.7,13.1,39.3
５人以上,TL 調査産業計,平成27,2015,年平均,7266994,4327113,2939882,163454,84595,78858,159153,83562,75591,7271295,4328146,2943149,24.5,14,39.8
５人以上,TL 調査産業計,平成28,2016,年平均,7361871,4348643,3013228,172829,87561,85268,162179,84747,77432,7372521,4351457,3021064,24.7,14,40.1
５人以上,TL 調査産業計,平成29,2017,年平均,7485857,4396588,3089268,176456,90101,86356,166653,84990,81663,7495660,4401699,3093961,24.9,14.3,39.9
５人以上,TL 調査産業計,平成29,2017,1月,7433921,4381476,3052445,120151,61261,58890,144867,67571,77296,7409205,4375166,3034039,24.7,14,40.1
５人以上,TL 調査産業計,平成29,2017,2月,7389935,4344166,3045769,119075,54359,64716,134808,65994,68814,7374202,4332531,3041671,25,14,40.7
５人以上,TL 調査産業計,平成29,2017,3月,7369934,4331696,3038238,150236,71214,79022,165183,77968,87215,7354987,4324942,3030045,25.2,14.2,41
５人以上,TL 調査産業計,平成29,2017,4月,7354987,4325264,3029723,503689,275812,227877,352065,191339,160726,7506611,4409737,3096874,24.6,14,39.8
５人以上,TL 調査産業計,平成29,2017,5月,7526628,4428403,3098225,196584,93017,103567,179311,93278,86033,7543901,4428142,3115759,24.4,14.1,39.1
５人以上,TL 調査産業計,平成29,2017,6月,7554533,4435162,3119371,160923,72772,88151,142954,73530,69424,7572502,4434404,3138098,24.8,14,40.1
５人以上,TL 調査産業計,平成29,2017,7月,7561622,4435630,3125992,148918,82153,66765,153959,77790,76169,7556581,4439993,3116588,24.5,14.1,39.3
５人以上,TL 調査産業計,平成29,2017,8月,7550209,4447005,3103204,133233,67630,65603,157976,76865,81111,7525466,4437770,3087696,24.7,14.4,39.4
５人以上,TL 調査産業計,平成29,2017,9月,7511239,4406931,3104308,147216,71998,75218,139575,70515,69060,7518880,4408414,3110466,25.2,14.6,40.2
５人以上,TL 調査産業計,平成29,2017,10月,7515130,4416169,3098961,177375,93506,83869,176244,97249,78995,7516261,4412426,3103835,25,14.9,39.5
５人以上,TL 調査産業計,平成29,2017,11月,7513093,4399021,3114072,148481,80904,67577,133276,68052,65224,7528298,4411873,3116425,24.9,14.5,39.6
５人以上,TL 調査産業計,平成29,2017,12月,7549047,4408138,3140909,111593,56581,55012,119617,59723,59894,7541023,4404996,3136027,25.2,14.7,39.8
