規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.7,166.4,149.9,16.5,13.5,87.8,84.6,3.2
100～499人,19.8,166.7,150.9,15.8,14.9,89.7,86.8,2.9
100人以上,19.8,166.5,150.4,16.1,14.3,88.9,85.9,3
30～99人,20.3,170,155,15,14.3,82.1,79.7,2.4
５～29人,20.9,173.6,160.8,12.8,13,80,77.3,2.7
30人以上,19.9,167.6,151.8,15.8,14.3,85.4,82.7,2.7
５人以上,20.2,169.2,154.2,15,13.7,82.9,80.2,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年４月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
