事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成24,2012,年平均,99.1,106.9,104.5,107.7,105.3,95.7,86.2,87,69.8,125.2,95.4,99.7,89.2,101.1,103.9,107.8
５人以上,平成25,2013,年平均,99,99,109.4,99.7,104,86.7,94.5,93.4,73.9,125.1,89.1,97.2,95.5,108.3,109.9,103.5
５人以上,平成26,2014,年平均,99.6,96.6,106.5,91.2,104.9,82.6,95.5,97.4,96.2,120.1,85.7,126.7,98.5,109.5,90.5,104.1
５人以上,平成27,2015,年平均,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成28,2016,年平均,95.1,93.6,94.6,110.1,97,95.2,95.2,95.7,96.2,101.6,99.4,71.7,105,98.8,95.6,88.7
５人以上,平成29,2017,年平均,94.7,111,94.1,88.4,87.8,94.4,96,93.8,100.8,106.9,101,79.9,119.4,90.8,89.2,83.2
５人以上,平成29,2017,1月,92.5,107,88.6,103.8,88.9,102,94.1,89.2,96.5,94.7,97.1,72.4,90,100,84.8,83.9
５人以上,平成29,2017,2月,96.7,126.2,99.2,86.8,94.2,94.9,94.1,90.3,99.3,115.2,88.4,72.4,110,98.2,77.2,81.5
５人以上,平成29,2017,3月,100,121.9,99.2,112.6,94.7,101,95.3,100.5,109.2,121.2,98.6,75.9,120,96.4,94.9,87.1
５人以上,平成29,2017,4月,99.2,107,97.6,113.8,93.7,101.5,98.8,98.4,111.3,122.5,104.3,90.8,125,91.1,97.5,84.7
５人以上,平成29,2017,5月,92.5,97.3,91.1,101.3,82.6,93.4,95.3,95.1,93.6,117.2,104.3,71.3,115,87.5,89.9,83.1
５人以上,平成29,2017,6月,93.3,105.3,91.9,75.5,84.2,92.4,90.6,98.9,95.7,115.9,101.4,82.8,115,94.6,93.7,79
５人以上,平成29,2017,7月,94.2,107.5,89.4,76.1,84.7,96.5,100,92.4,95.7,109.3,105.8,80.5,120,83.9,91.1,82.3
５人以上,平成29,2017,8月,88.3,106.4,83.7,67.9,80,87.9,91.8,87,91.5,102.6,100,73.6,90,82.1,63.3,80.6
５人以上,平成29,2017,9月,91.7,113.9,95.1,96.2,83.7,89.9,92.9,90.3,100,92.1,97.1,72.4,142.5,85.7,81,80.6
