規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.9,19.3,18.2,155.3,163,142.5,140.3,145.7,131.3,15,17.3,11.2
100～499人,18.8,19.3,17.9,153.5,163.5,135.1,139.5,146.7,126.3,14,16.8,8.8
100人以上,18.9,19.3,18.1,154.4,163.2,138.7,139.9,146.2,128.7,14.5,17,10
30～99人,18.3,19.4,17.1,142.9,159.9,121.7,131.5,144.3,115.6,11.4,15.6,6.1
５～29人,17.5,18.8,16,135.6,153.4,114.5,126.7,141,109.7,8.9,12.4,4.8
30人以上,18.7,19.3,17.7,150.4,162.2,131.9,137,145.6,123.5,13.4,16.6,8.4
５人以上,18.3,19.2,17.1,145.7,159.7,125.9,133.7,144.3,118.7,12,15.4,7.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年３月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
