規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,459569,453118,418211,34907,6451,132703,131850,126114,5736,853
100～499人,426676,405972,376013,29959,20704,123331,121957,116610,5347,1374
100人以上,442418,428535,396208,32327,13883,127379,126230,120715,5515,1149
30～99人,403597,382938,361556,21382,20659,107555,106960,104327,2633,595
５～29人,386954,354873,334594,20279,32081,94672,93660,90616,3044,1012
30人以上,430336,414344,385423,28921,15992,117458,116586,112513,4073,872
５人以上,419087,398923,372243,26680,20164,106681,105743,102157,3586,938
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年８月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
