事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
30人以上,TL 調査産業計,平成24,2012,年平均,5016328,3136233,1880095,92336,50948,41388,94391,52499,41892,5014273,3134682,1879591,17.6,8.9,32.1
30人以上,TL 調査産業計,平成25,2013,年平均,5004937,3134864,1870073,95372,53156,42216,93680,53652,40029,5006629,3134368,1872260,17.8,9.2,32.3
30人以上,TL 調査産業計,平成26,2014,年平均,5051564,3127988,1923576,94820,51394,43426,89561,50469,39092,5056823,3128913,1927910,17.6,9.1,31.4
30人以上,TL 調査産業計,平成27,2015,年平均,5039024,3097411,1941613,104235,55782,48453,101392,54982,46410,5041867,3098211,1943656,18.7,10.2,32.3
30人以上,TL 調査産業計,平成28,2016,年平均,5083165,3106100,1977064,107253,56371,50882,103105,54982,48123,5087313,3107489,1979823,19.3,10.4,33.4
30人以上,TL 調査産業計,平成29,2017,年平均,5148390,3126096,2022294,110612,58174,52438,102837,55057,47779,5156165,3129213,2026953,19.3,10.4,33.1
30人以上,TL 調査産業計,平成29,2017,1月,5105175,3122236,1982939,80098,39438,40660,91415,44419,46996,5093858,3117255,1976603,19.2,10.4,33.2
30人以上,TL 調査産業計,平成29,2017,2月,5074588,3097939,1976649,70198,34638,35560,82446,44659,37787,5062340,3087918,1974422,19.5,10.3,33.7
30人以上,TL 調査産業計,平成29,2017,3月,5058072,3078576,1979496,85317,42698,42619,95541,49715,45826,5047848,3071559,1976289,19.9,10.6,34.5
30人以上,TL 調査産業計,平成29,2017,4月,5047848,3076569,1971279,369959,209338,160621,234453,133132,101321,5183354,3152775,2030579,19.4,10.5,33.3
30人以上,TL 調査産業計,平成29,2017,5月,5203371,3164647,2038724,109127,49984,59143,109045,58678,50367,5203453,3155953,2047500,18.9,10.3,32.1
