事業所規模,和暦年,西暦年,年平均・月,調査産業計／入職率(％),調査産業計／離職率(％),建設業／入職率(％),建設業／離職率(％),製造業／入職率(％),製造業／離職率(％),電気・ガス・熱供給・水道業／入職率(％),電気・ガス・熱供給・水道業／離職率(％),情報通信業／入職率(％),情報通信業／離職率(％),運輸業，郵便業／入職率(％),運輸業，郵便業／離職率(％),卸売業，小売業／入職率(％),卸売業，小売業／離職率(％),金融業，保険業／入職率(％),金融業，保険業／離職率(％),不動産業，物品賃貸業／入職率(％),不動産業，物品賃貸業／離職率(％),学術研究，専門・技術サービス業／入職率(％),学術研究，専門・技術サービス業／離職率(％),宿泊業，飲食サービス業／入職率(％),宿泊業，飲食サービス業／離職率(％),生活関連サービス業，娯楽業／入職率(％),生活関連サービス業，娯楽業／離職率(％),教育，学習支援業／入職率(％),教育，学習支援業／離職率(％),医療，福祉／入職率(％),医療，福祉／離職率(％),複合サービス事業／入職率(％),複合サービス事業／離職率(％),サービス業（他に分類されないもの）／入職率(％),サービス業（他に分類されないもの）／離職率(％)
30人以上,平成24,2012,年平均,1.84,1.88,1.31,1.27,1.3,1.27,0.92,1.16,1.17,1.28,1.51,1.73,1.41,1.71,2.01,2.08,1.64,1.65,2.35,1.75,3.25,2.8,1.69,1.9,3.47,3.31,1.93,1.8,2.67,2.81,2.58,2.68
30人以上,平成25,2013,年平均,1.91,1.88,1.15,1.22,1.21,1.33,1.04,4.27,1.12,1.21,1.62,1.7,1.26,1.42,1.93,1.94,1.55,1.65,3.12,2.11,3.19,3.11,2.2,2.06,4.05,3.68,1.96,1.83,2.47,2.87,2.7,2.43
30人以上,平成26,2014,年平均,1.88,1.78,1.28,1.15,1.16,1.21,1.38,1.72,1.26,1.01,1.77,1.65,1.41,1.42,1.65,1.71,1.57,1.47,2.81,2.42,3.15,3.1,1.85,1.61,3.52,3.4,1.76,1.65,2.49,2.36,2.64,2.42
30人以上,平成27,2015,年平均,2.08,2.02,1.12,0.97,1.38,1.43,1.31,1.42,1.53,1.56,1.97,1.85,1.76,1.77,1.7,1.59,1.73,1.76,1.71,1.24,3.51,3.61,2.79,2.61,3.68,3.54,2.37,2.2,2.32,2.27,2.82,2.77
30人以上,平成28,2016,年平均,2.11,2.03,0.94,0.97,1.3,1.19,1.22,1.1,1.58,1.48,1.92,2.02,1.76,1.75,1.79,1.57,1.84,1.65,1.63,1.33,4,4.02,3.46,3.44,3.77,3.49,2.25,2.15,1.89,1.66,2.93,2.86
30人以上,平成29,2017,年平均,2.16,2,0.97,0.8,1.25,1.21,1.65,0.7,1.7,1.41,1.87,1.77,1.74,1.6,1.65,1.6,1.54,1.57,1.46,1.47,3.92,3.68,3.44,3.18,3.89,3.77,2.28,2.2,2.06,2.55,3.36,3.01
30人以上,平成29,2017,1月,1.57,1.79,0.4,0.49,0.54,1.26,0.41,0.97,1.04,1.01,0.51,0.88,1.31,1.35,2.12,1.25,1.03,1.93,1.29,1.39,2.03,4.06,2.15,3.18,2.27,3.14,1.58,1.89,0.98,0.04,3.6,3.19
30人以上,平成29,2017,2月,1.38,1.62,0.34,0.54,1.24,0.88,0.01,0.63,0.63,0.82,0.92,1.49,1.35,1.54,0.65,1.04,0.91,1.26,1.06,0.7,4.88,3.4,3.13,2.86,1.01,3.82,0.79,1.46,1.04,2.09,2.67,2.5
30人以上,平成29,2017,3月,1.69,1.89,0.62,0.77,0.8,1.01,0.06,0.31,0.92,1.23,2.73,1.85,1.56,1.19,0.88,1.22,1.62,1.7,1.38,1.75,4.08,3.45,4.24,2.59,0.62,4.19,1.37,2.19,0.12,0.45,3.13,3
30人以上,平成29,2017,4月,7.33,4.64,4.08,1.8,5.12,2.67,16.91,0.54,7.72,2.93,6.02,3.97,5.09,2.96,6.31,4.52,5.65,2.71,5.96,3.82,6.74,5.97,8.67,6.54,17.44,11.66,11.09,7.85,16.87,20.89,7.24,5.95
30人以上,平成29,2017,5月,2.1,2.1,0.47,1.1,1.07,1.46,0.21,0.9,1.46,1.73,1.33,1.46,1.85,2.41,1.67,1.38,1.9,1.61,0.92,1.66,3.99,4.15,4.46,3.36,4.29,1.76,1.83,2.07,2.14,0.05,3.67,3.23
30人以上,平成29,2017,6月,1.73,1.66,0.4,0.65,0.83,0.99,0.31,2.07,1.31,1.17,1.77,1.47,1.55,1.3,0.75,1.1,1.12,1.37,0.92,0.91,3.59,3.21,3.78,2.41,2.07,1.32,1.91,1.75,0.02,0.11,3.29,3.76
30人以上,平成29,2017,7月,1.84,1.89,0.91,0.63,0.89,1.23,0.01,1.22,1.89,1.98,2.46,2.44,1.34,1.65,1.33,1.67,1.19,1.2,1.28,1.86,4.04,2.87,3.17,2.51,1.35,2.5,1.89,1.23,0.08,1.32,3.06,2.66
30人以上,平成29,2017,8月,1.4,1.89,0.43,0.77,0.65,0.97,0.21,0.03,1.03,1.13,0.96,1.76,1.42,1.46,1.17,1.13,1.07,1.06,0.79,1.08,3.36,3.94,2.93,2.25,0.58,6.16,2.09,1.7,0.12,1.05,2.46,2.45
30人以上,平成29,2017,9月,1.74,1.54,1.33,0.79,0.83,1.39,0.31,0.43,1.1,1.5,0.72,0.87,1.09,1.19,0.72,1.18,1.11,1.75,0.73,0.96,4.35,3.39,2.8,2.57,6.46,1.76,1.13,1.94,0.05,1.14,2.77,2.04
30人以上,平成29,2017,10月,2.24,2.25,1.06,1.01,1.19,1.3,1.31,0.28,1.82,1.7,3.07,3.47,1.76,1.79,2.06,2.17,1.04,2.6,1.71,1.6,3.58,3.59,2.08,3.43,5.34,3.44,1.46,2.02,1.13,1.15,3,2.97
30人以上,平成29,2017,11月,1.6,1.48,0.9,0.53,0.83,0.67,0,0.2,0.75,0.83,1.09,0.83,1.65,1.19,1.33,1.56,1,1.03,0.7,0.95,2.83,3.45,2.09,3.49,3.24,3.11,1.35,1.06,2.19,1.18,2.94,2.48
30人以上,平成29,2017,12月,1.27,1.27,0.69,0.56,1.03,0.7,0,0.79,0.78,0.86,0.86,0.79,0.87,1.14,0.77,1,0.84,0.67,0.76,0.95,3.6,2.66,1.82,2.98,2,2.34,0.86,1.24,0.02,1.12,2.46,1.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成29年年報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第12－２表　産業別労働異動率（事業所規模30人以上）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
