規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.7,156.3,142,14.3,13.2,86,83.2,2.8
100～499人,18.8,158.1,144.1,14,14.6,91.7,88.5,3.2
100人以上,18.8,157.3,143.1,14.2,14,89.2,86.2,3
30～99人,18.8,156.3,144,12.3,14.1,81.5,79.5,2
５～29人,19.5,162.6,150.4,12.2,12.6,77.2,74.5,2.7
30人以上,18.8,156.9,143.3,13.6,14.1,85.4,82.9,2.5
５人以上,19,158.4,145.2,13.2,13.3,81.5,78.9,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２９年８月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
